KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K03336	4440	1	11700	3	0.75	1.5	1.5	1.5	0.75	1.5	1.5	1.5	1.5	1.5	1.5	12.9	8.03	1.5	0.375	1.5	0.375	1.5	1.5	0.375	1.5	1.5	1.5	1.5	0.75	5.09	1.5	1.5	0.375	4020	2100	1.5	0.375	0.375	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	542	0.75	0.75	0.75	0.75	4860	0.75	11000	0.75	0.75	19600	0.75	63400	0.75	0.75	0.75	14300	182000	6170	15000	54400
K03337	4440	1	11700	3	0.75	1.5	1.5	1.5	0.75	1.5	1.5	1.5	1.5	1.5	1.5	12.9	8.03	1.5	0.375	1.5	0.375	1.5	1.5	0.375	1.5	1.5	1.5	1.5	0.75	5.09	1.5	1.5	0.375	4020	2100	1.5	0.375	0.375	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	542	0.75	0.75	0.75	0.75	4860	0.75	11000	0.75	0.75	19600	0.75	63400	0.75	0.75	0.75	14300	182000	6170	15000	54400
K03427	82444	100871	65770.9	262412	41740	3714.7	115030.5	327013.5	157805.25	388193.9865	714954.5	364146.5	19158.8	51001.65	10949.5	435484.3	55115.06	146212	25196.25	157485.6	363003.375	264221.1	479309	2122202.25	583929.7	110270.5	199012	135016.5	432006.75	11929.18	240016.5	955212	575153.875	663597.5	284567.5	5550.5	36903.375	281003.375	672908.062	484603.5	133124.05	245883.75	190211.42	685242.7	2209003.75	749064.5	330678.25	147606	798201	7234805.25	210132.5	231602.62	1605225.25	532033.25	1694564.75	102006.75	997235.25	3570944.5	3540561.75	111553.9	3660006.75	2927006.95	245022.25	2719892.25	2023272.25	157505.06	2721714.5
K03437	282532	740837	152179.4	224610.5	41739.415	3634.3	288177.5	327012	144915.9	381638.86541	3778450	617934.2987	143122.8	272998.65	85068.5	749469.9	181505.83	350992.5	24959.25	681782.6	363053.325	1243018.1	476161.91	1906757.8	886302.9	106140.5	2260607.5	135066.4	1156040.8	27630.39	240013.5	3252339	421578.25	657476	346166	302512.5	36903	281003	561914.98369	484365.19172	133064.65	343444.2	946110.67	541841.95	5635003	2903063.75	179189.59361	201016.2	1483598.75	7352410.5288	207038.75	440741.87	1602615.25	1589032.5	1709564	102022.25	2726635.25	3667784.15	13667476.25	103024.07666	3660006	6634506.2	758821.5	5635891.5	2783101.5	761004.31	7168313.75
K03458	66472	46005	38803	130804.5	136.25	168.3	9074.5	327004.5	144901.5	6596.3	207138.5	363214.5	4014.5	14754.5	771.5	229315.9	48141.03	69804.5	1557.75	26260.5	363001.125	79204.5	106153	1807000.75	526504.5	4134.5	83804.5	135006	326003	3838.09	240006	878204.5	421000.75	485923	178903	4363	1.5	281001.125	561004.9	1118.5	61.65	174201.5	67201.5	301001.5	1711001.5	164002.25	15582.75	147601.5	798002.25	7187401.5	206381.5	199460.75	1602611.5	192200.75	383162.5	102002.25	269200.75	3570807.75	1848485.5	8858.5	3660002.25	1163001.5	75270.75	724000.75	1343170.75	44860.75	1112400.75
K03495	149532	178837	48179.4	224609	41738.5	3632.8	115177.5	327010.5	144904.5	381632.86541	3281450	359934.2987	9122.8	117998.65	8068.5	672169.9	51505.83	112992.5	24958.875	81782.6	363002.625	292018.1	476157.5	1905237.8	590302.9	106139	250607.5	135012	379040.8	26450.39	240012	892339	421577.875	590276	161166	4512.5	36902.625	281002.625	561899.88369	484124.19172	133063.9	148444.2	328110.67	377841.95	3075003	703063.75	165289.59361	133016.2	814598.75	7187410.5288	206751.75	175741.87	1602614.5	1256032.5	1217564	102005.25	576635.25	3571184.15	6947476.25	102963.87666	3660005.25	1294506.2	245821.5	2795891.5	1856101.5	335004.31	5358313.75
K03498	105848	234033	63858.3	15	6	12	128354.5	12	6	45.75191	3490123	4221.2987	10988.1	130084.5	8626.5	481330.3	11040.86	55591	3	106742.7	3	336225.7	12	38.925	88819.1	12	253606	12	53040.8	24642.48	12	78537.5	578.625	139841.5	253221.5	155.5	3	3	14.53369	9.44172	6	99723.45	395702.25	407042.25	4934002.25	868122.25	172342.09361	14616.2	16793.75	12.0288	6	195480	6	1264862	1669802.25	6	647066.75	1790.26	5978380	11.52666	6	1725508.65	303800	3191780	1311200	369719.52	5169200
K03499	111529	212633	79274.9	15	6	12	125454.5	12	6	44.06541	3695313	8429.7987	13809.8	140744.5	9242.5	500628.8	14869.36	61789.5	3	132323.6	3	397915.1	12	38.925	101299.9	12	297004.5	12	53040.8	25650.98	12	110736	578.625	151091.5	373461.5	155.5	3	3	17.93369	9.44172	6	160843.45	416902.25	568822.25	6464002.25	1031062.25	182290.09361	29215.45	16599.5	12.0288	6	298000	6	1353131	1983402.25	6	796633.75	2489.18	6350790	9.12666	6	2522505.45	352450	3566890	1701270	394509.76	5557500
K03500	71813	49436	46394.5	224606	41737	3629.8	57376	327007.5	144903	381597.8	460140	364139	11546	31957.15	5843	332466.9	51622.53	108006	24958.125	91862	363001.875	171706	476154.5	1905201.125	555206	106136	141406	135009	379003.75	7879.59	240009	916706	421577.125	571924.5	226304.5	4366	36901.875	281001.875	561901.231	484119.25	133062.4	209502.25	113309.92	492021.2	1875002.25	456003	172583.5	147603	798003.75	7187403	206750.25	212361.87	1602613	356201.5	1004163.25	102003.75	623201.5	3570825.07	2661486.25	102959.25	3660003.75	2045002.25	151771.5	1630001.5	1679171.5	93694.55	1883613.75
K03521	132019	295862	121664.9	18	8.25	16.5	193103	16.5	8.25	48.56541	4569311.5	21059.7987	30038.3	195443	16255	661515.9	29831.33	118588	4.125	274722.1	4.125	675513.6	16.5	40.05	167498.4	16.5	484803	16.5	106042.3	32715.89	16.5	245834.5	1155.375	271771.5	805761.5	160	4.125	4.125	34.96469	11.69172	8.25	382742.7	619001.5	1251821.5	11728001.5	1815061.5	370248.09361	73015.45	16601.75	14.2788	8.25	618040	8.25	1773431	3753401.5	8.25	1581033.75	4617.03	8225390	11.37666	8.25	5795504.7	567950	5421890	3207100	502709.76	7477100
