KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K00057	371382	817006	203189.4	224609	41739.415	3634.3	264526	327012	144915.9	381639.87341	3970448.5	657141.2987	140941.3	442297.15	104545	683757	188697.8	335591	24959.25	706881.1	363053.325	1239016.6	476161.91	1906757.8	954701.4	106140.5	2534406	135066.4	1170440.8	36495.3	240013.5	3669037.5	421002.625	652656	491066	305131	36903	281003	561913.80269	484364.81672	133064.65	384443.45	1005909.92	628841.2	7481002.25	3531063	34507.59361	258114.7	1483598.75	7357059.7788	207038.75	548181.87	1602615.25	1589832.5	1717563.25	102022.25	2784035.25	3669100.8	13407076.25	103024.07666	3660006	6704505.45	834121.5	5195891.5	3351931.5	743304.31	6891913.75
K00067	182880	235602	87586.4	93807.5	41603.75	3467.5	88903	9	4.5	375040.57341	3473311.5	40138.2987	5828.3	285044.15	27423	396454	14394.8	33988	23401.875	106222.1	2.25	270513.6	370007.5	98237.8	144698.4	102007.5	484003	9	67439.3	32492.3	9	463034.5	2.25	116453	258263	2771	36901.875	2.25	898.70269	483006.81672	133003.75	77442.7	372709.17	327840.45	4910001.5	1331061.5	16066.84361	57113.95	16598	4659.7788	371.75	192581.12	4.5	1164731.75	1225401.5	4.5	534434.5	2399.8	5276990.75	94106.87666	4.5	998504.7	311250.75	2190890.75	1479930.75	312243.56	4424913
K00075	387692	847037	237979.4	224615	41741.665	3638.8	319277.5	327016.5	144918.15	381644.37341	4430450	661354.2987	151372.8	471998.65	110264.5	806069.9	196015.83	379992.5	24960.375	798082.6	363054.45	1393218.1	476166.41	1906758.925	995902.9	106145	2635407.5	135070.9	1223442.3	41550.39	240018	3739739	421579.375	755576	669566	305135.5	36904.125	281004.125	561924.03369	484367.06672	133066.9	481944.2	1104010.67	983841.95	9345003	3987063.75	202549.59361	272716.2	1483601	7357062.0288	207041	669941.87	1602617.5	1853932.5	2721564	102024.5	3307635.25	3669818.15	14658476.25	103026.32666	3660008.25	8383506.2	976021.5	6660891.5	4086101.5	831904.31	8118313.75
K00077	234880	618431	178090	7.5	3.165	6	239501.5	6	13.65	11.508	988001.5	293003	143981.5	346201.5	105971.5	198312.9	140338.03	292801.5	1.5	730701.5	51.825	1070301.5	8.91	1521.125	409301.5	6	2355601.5	58.9	897400.75	17125.09	6	2821501.5	577.125	229520	299900	300623	1.5	1.5	21.931	242.875	3	244400.75	718000.75	469000.75	3034000.75	3248000.75	173802	110501.5	669002.25	169651.5	289.25	303960	3	594700	1359000.75	19.25	2804600	97233.35	7837400	62.45	3	6377000.75	718800	4199000	1788170	511100	2783400
K00088	514162	1382437	326479.4	224615	41741.83	3638.8	485827.5	327016.5	144928.8	381648.87341	4720450	915144.2987	282472.8	614498.65	186616.5	864069.9	322185.83	611792.5	24960.375	1372482.6	363104.775	2282518.1	476169.32	1908278.55	1279402.9	106145	4602007.5	135123.8	2000441.55	41720.39	240018	6067539	421579.375	809876	725566	603134	36904.125	281004.125	561934.98369	484607.31672	133066.9	614744.2	1670010.67	983841.95	10205003	6023063.75	205949.59361	326116.2	2152600.25	7522061.2788	207327.25	830941.87	1602617.5	2097832.5	2830564	102040.75	5307635.25	3765712.15	21003476.25	103085.77666	3660008.25	12926506.2	1437921.5	9123891.5	4621101.5	1233104.31	9527313.75
K00099	192659	239032	106874.9	12	5.25	10.5	137203	10.5	5.25	43.57341	3726311.5	39218.2987	13358.3	302243	32493	499315.9	17881.33	72188	2.625	171822.1	2.625	363013.6	10.5	38.55	173398.4	10.5	541603	10.5	120439.3	36535.89	10.5	501534.5	578.25	206471.5	307761.5	2772.5	2.625	2.625	13.78369	8.31672	5.25	112742.7	418801.5	518821.5	5074001.5	1623061.5	173608.09361	57114.7	16598.75	4660.5288	5.25	210340	5.25	1339731	1846401.5	5.25	908033.75	2404.43	6153390	8.37666	5.25	1880504.7	402050	3278890	1822100	376009.76	5250100
K00134	391842	827297	237659.4	224616.5	41742.415	3640.3	409427.5	327018	144918.9	381645.87341	4729450	657147.2987	163532.8	493898.65	119756.5	992769.9	199145.83	450192.5	24960.75	903682.6	363054.825	1516518.1	476167.91	1906759.3	1040802.9	106146.5	2707207.5	135072.4	1329441.55	48620.39	240019.5	3784539	422731	914676	635366	305137	36904.5	281004.5	561930.54569	484367.81672	133067.65	490344.2	1144210.67	1201841.95	7973003	4407063.75	506049.59361	258117.7	1483601.75	7357062.7788	207041.75	591741.87	1602618.25	2092832.5	3580564	102025.25	3865635.25	3669133.35	15909476.25	103027.07666	3660009	9350506.2	1077921.5	8095891.5	4366101.5	904704.31	9259313.75
K00226	514160	1382433	326476.4	186815	41741.08	3558.4	485824.5	327015	132028.8	375058.87341	4720447	915141.2987	282469.8	614495.65	186613.5	864066.9	322182.83	611789.5	24723.375	1372479.6	363104.4	2282515.1	473019.32	1691278.55	1279399.9	102015	4602004.5	135120.8	2000440.05	41717.39	240015	6067536	268579.375	809873	725563	601954	36903.75	281003.75	450934.98369	484125.31672	133007.5	614743.45	1670009.92	983841.2	10205002.25	6023063	205948.84361	326115.45	2152599.5	7474661.2788	203947.25	830941.12	1600007.5	2097831.75	2830563.25	102040	5307634.5	3765611.15	21003390.75	94495.77666	3660007.5	12926505.45	1437920.75	9123890.75	4621100.75	1233103.56	9527313
K00266	192659	239032	106874.9	12	5.25	10.5	137203	10.5	5.25	43.57341	3726311.5	39218.2987	13358.3	302243	32493	499315.9	17881.33	72188	2.625	171822.1	2.625	363013.6	10.5	38.55	173398.4	10.5	541603	10.5	120439.3	36535.89	10.5	501534.5	578.25	206471.5	307761.5	2772.5	2.625	2.625	13.78369	8.31672	5.25	112742.7	418801.5	518821.5	5074001.5	1623061.5	173608.09361	57114.7	16598.75	4660.5288	5.25	210340	5.25	1339731	1846401.5	5.25	908033.75	2404.43	6153390	8.37666	5.25	1880504.7	402050	3278890	1822100	376009.76	5250100
K00287	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00384	631835	972443	370883.9	449221	83478.665	7268.6	358303.5	654024	289821.15	763244.18941	4906590	1091281.7987	157388.8	822255.8	158189.5	1052236.8	254028.36	476798.5	49918.5	928944.6	726056.325	1464324.1	952320.91	3811960.05	1679108.9	212281	3251813.5	270079.9	1684245.3	68179.98	480027	5431745	842580.875	1373200.5	850270.5	314738.5	73806	562006	1123817.28369	968485.56672	266129.3	622146.45	1227020.59	1348863.15	9976005.25	5499066.75	212353.09361	490718.45	2281604.75	14553763.5288	413791.25	807803.74	3205230.5	2130434	3213727.25	204028.25	3988836.75	7241170.62	16613962.5	205985.57666	7320012	9059508.45	1230193	7549893	6075273	894598.86	9125927.5
K00525	460068	973003	232169.8	93016.5	141.665	99.9	328774.5	327015	132018.15	87.93882	6998755.5	656222.0974	141415.1	540834.5	107415.5	1042618.9	192414.63	346774.5	1323.75	722398.7	363054.075	1421025.7	103017.91	1591595.225	1002295.3	16.5	2687004.5	135067.9	1170477.1	56076.69	240015	3676867.5	268003.75	687923	557023	304099	4.125	281003.75	450026.35538	889.25844	8.25	385584.65	1272702.25	678642.25	10381002.25	3942123	38254.18722	258127.15	1500193.75	7309668.0576	203293.75	620420	1600007.5	2589762	2313963.25	102023.75	2907067.5	3670058.91	18131380	340.20332	3660007.5	6751008.65	993570	6920780	3927030	1024379.52	10821800
K00526	375820	817003	214886.4	186812	41739.415	3555.4	264524.5	327012	132016.65	375051.37341	3970447	657139.7987	140939.8	442295.65	104543.5	683766.9	188702.83	335589.5	24722.625	706879.6	363053.325	1239015.1	473013.41	1689758.175	954699.9	102012	2534404.5	135064.9	1170440.05	36497.39	240012	3669036	268003	656673	493163	303952.5	36903	281003	450914.55269	483883.56672	133006	384443.45	1005909.92	628841.2	7481002.25	3531063	35048.84361	258114.7	1483598.75	7309660.5288	203659.5	553041.12	1600006	1600831.75	1717563.25	102022.25	2803634.5	3669000.55	13470390.75	94434.82666	3660006	6704505.45	848420.75	5377890.75	3358100.75	758303.56	6946313
K00527	387692	847037	237979.4	224615	41741.665	3638.8	319277.5	327016.5	144918.15	381644.37341	4430450	661354.2987	151372.8	471998.65	110264.5	806069.9	196015.83	379992.5	24960.375	798082.6	363054.45	1393218.1	476166.41	1906758.925	995902.9	106145	2635407.5	135070.9	1223442.3	41550.39	240018	3739739	421579.375	755576	669566	305135.5	36904.125	281004.125	561924.03369	484367.06672	133066.9	481944.2	1104010.67	983841.95	9345003	3987063.75	202549.59361	272716.2	1483601	7357062.0288	207041	669941.87	1602617.5	1853932.5	2721564	102024.5	3307635.25	3669818.15	14658476.25	103026.32666	3660008.25	8383506.2	976021.5	6660891.5	4086101.5	831904.31	8118313.75
K00528	236070	641601	186000	7.5	3.165	6	197651.5	6	13.65	11.508	942001.5	297211.5	139351.5	341501.5	101549.5	114612.9	140688.03	260801.5	1.5	690701.5	51.825	1039501.5	8.91	1521.125	393101.5	6	2341401.5	58.9	844401.5	14095.09	6	2815201.5	1.5	156420	381500	300623	1.5	1.5	20.75	242.875	3	271300.75	723900.75	442000.75	4570000.75	3120000.75	27302	125100.75	669002.25	169651.5	289.25	395060	3	519800	1121000.75	19.25	2600600	97928.75	7399400	62.45	3	6292000.75	693400	3670000	1844170	487100	2413400
K00540	366341	930435	200961.3	131610.5	41606.165	3550.9	368004.5	13.5	12916.65	381664.581	1104624.5	293935.0974	144935.1	543285.65	111718.5	198460	140461.1	293577.5	23639.625	761742.7	53.7	1434325.7	373163.41	316794.1	409498.3	106140.5	2549007.5	67.9	897476.35	17286.1	15	2837167.5	153578.625	288004.5	425524.5	302096	36903	3.375	111916.28638	483734.00844	133064.65	246683.9	1251609.17	568660.45	8834001.5	4070121.5	174373.68722	110527.15	702193	217066.5576	4039.5	386661.87	2616	607563.5	2551801.5	23	2991867.5	97848.48	7956066.25	102760.95332	6.75	6470007.9	841201.5	4342781.5	2287861.5	554354.07	3380613.75
K00554	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K00560	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00566	248162	258437	118479.4	224612	41740	3635.8	139827.5	327013.5	144906	381636.87341	3726450	399144.2987	14472.8	304498.65	32616.5	709469.9	62185.83	135792.5	24959.625	172482.6	363003.375	380518.1	476160.5	1905238.55	687402.9	106142	582007.5	135015	446441.55	39360.39	240015	1347539	421578.625	675476	355566	7134	36903.375	281003.375	561904.78369	484125.31672	133065.4	224744.2	434010.67	655841.95	5085003	1623063.75	178149.59361	190116.2	814600.25	7192061.2788	206753.25	300941.87	1602616	1431832.5	1846564	102006.75	1007635.25	3572512.15	7563476.25	102965.37666	3660006.75	2246506.2	411921.5	3443891.5	2767101.5	381104.31	5907313.75
K00599	517851	898236	361377.9	130819.5	143.915	183.3	313676	327019.5	144919.65	6623.28941	5263948.5	738849	161674.3	748296	156519	880517.4	217312.53	425206	1561.5	963981.1	363055.2	1388216.6	106170.91	1808524.125	1190023.7	4149.5	3201506	135073.9	1358206.75	67289.59	240021	4642307.5	421580.125	896374.5	1003264.5	310232	5.25	281004.875	561041.531	1365.125	69.15	634482.25	1079802.25	1492222.25	10635002.25	5417063	228264.75	386903.75	1467203.25	7366356	206675.25	878040.75	1602619	2194431.75	3452563.25	102026	4066634.5	3672220.43	15802075.5	8927.85	3660009.75	10241005.45	1242320.75	7795890.75	5657100.75	894970.51	8903100.75
K00602	410808	960462	224049.8	16.5	8.415	16.5	422753	16.5	18.9	86.13882	7504620	297223.5974	155363.6	572983	117435	1038606	155066.6	359573	4.125	852941.2	54.45	1588524.2	19.41	1595.6	545693.8	16.5	2761803	69.4	950476.35	61331.6	16.5	2907866	1155.375	386903	601923	300920.5	4.125	4.125	36.26738	255.00844	8.25	344183.9	1349701.5	923641.5	10698001.5	4526121.5	347172.18722	125127.9	702194.5	169668.8076	294.5	550760	8.25	2814662	3555801.5	24.5	3495867.5	100079.36	18283980	73.95332	8.25	8149007.9	1122400	8385780	3647860	1101919.52	11652400
K00604	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00605	160049	209000	72083.4	4.5	2.25	4.5	82450	4.5	2.25	34.7945	296310	35003.7987	2925.3	272540	26772	18003	6913.3	16986.5	1.125	80619.1	1.125	208810.6	4.5	37.05	84696.9	4.5	384701.5	4.5	67437.05	11980.8	4.5	430831.5	1.125	103550	129260	2766.5	1.125	1.125	2.80269	5.31672	2.25	15241.2	320700	163820	3210000	1167060	2916.09361	42512.45	16595.75	4657.5288	2.25	64980	2.25	98631	842400	2.25	384433	876.08	331990	5.37666	2.25	201503.2	183350	433890	771930	50409.76	473700
K00609	381160	820433	222476.4	186813.5	41740.165	3556.9	312824.5	327013.5	132017.4	375052.87341	4223447	657141.2987	148469.8	459495.65	109613.5	786766.9	192182.83	373789.5	24723	772479.6	363053.7	1331515.1	473014.91	1689758.55	983399.9	102013.5	2592004.5	135066.4	1223440.05	40537.39	240013.5	3707536	268579	742673	540563	303954	36903.375	281003.375	450919.88369	483884.31672	133006.75	419743.45	1052009.92	819841.2	7645002.25	3823063	192048.84361	258115.45	1483599.5	7309661.2788	203660.25	565941.12	1600006.75	1764831.75	2338563.25	102023	3157634.5	3669011.15	14283390.75	94435.57666	3660006.75	7586505.45	924920.75	6283890.75	3694100.75	807103.56	7717313
K00611	116133	132806	113004.5	131609	41604.5	3547.9	37556	10.5	12904.5	381598.508	859006	48557.5	11156	211507.15	25850	76066.9	18352.53	35206	23638.875	141906	2.625	211906	373157.5	315201.875	122106	106137.5	418206	12	67405.25	14939.59	12	519606	153002.25	115024.5	454504.5	3807.5	36902.25	2.625	111904.95	483485.375	133063.15	200702.25	209909.92	606021.2	5410002.25	1248002.25	34403.5	86302.25	5.25	52053.75	3751.75	338061.87	2614.5	365001.5	1395002.25	5.25	750601.5	2848.47	1429486.25	102693.75	5.25	2546002.25	282601.5	1584001.5	1701171.5	110734.55	1405613.75
K00615	623609	993493	417654.9	25.5	11.415	22.5	467854.5	22.5	21.9	63.09741	5650313	406432.7987	172669.8	1026144.5	191982.5	855928.8	179229.36	442589.5	5.625	1123923.6	55.95	1641115.1	25.41	1561.175	793099.9	22.5	3574204.5	75.4	1205640.8	82510.98	22.5	4239736	1732.5	679491.5	914861.5	308638.5	5.625	5.625	46.69569	253.44172	11.25	482843.45	1342702.25	1570822.25	10592002.25	6839062.25	519630.09361	267216.95	685604	183613.5288	297.5	673600	11.25	2360931	4701402.25	27.5	4778633.75	101598.38	15660790	73.82666	11.25	10246505.45	1478450	9302890	5376270	1003309.76	9501500
K00616	317202	668004	213603	37804.5	3.165	84.9	209403	6	12912.9	6601.016	973003	328003	138903	503003	124803	113303	143703	271203	238.125	730203	51.825	1004603	3157.41	218520.75	465203	4134.5	2586003	60.4	911801.5	24983	7.5	3206003	153001.125	211803	315803	304420	1.5	1.5	111016.6	723.75	61.65	223200.75	725800.75	392000.75	3180000.75	3712000.75	18620.75	153000.75	669002.25	221700	3668.5	307400.75	2612.25	506400.75	984000.75	19.25	2712000.75	97945	7202085.5	8651.7	3	5650000.75	743000.75	3382000.75	1965000.75	468600.75	2106000.75
K00625	248162	258437	118479.4	224612	41740	3635.8	139827.5	327013.5	144906	381636.87341	3726450	399144.2987	14472.8	304498.65	32616.5	709469.9	62185.83	135792.5	24959.625	172482.6	363003.375	380518.1	476160.5	1905238.55	687402.9	106142	582007.5	135015	446441.55	39360.39	240015	1347539	421578.625	675476	355566	7134	36903.375	281003.375	561904.78369	484125.31672	133065.4	224744.2	434010.67	655841.95	5085003	1623063.75	178149.59361	190116.2	814600.25	7192061.2788	206753.25	300941.87	1602616	1431832.5	1846564	102006.75	1007635.25	3572512.15	7563476.25	102965.37666	3660006.75	2246506.2	411921.5	3443891.5	2767101.5	381104.31	5907313.75
K00656	250900	628721	200860	12	5.415	10.5	384401.5	10.5	15.9	16.008	1747001.5	293007.5	166571.5	397801.5	121181.5	507312.9	150778.03	407401.5	2.625	927501.5	52.95	1347801.5	13.41	1522.25	495401.5	10.5	2528401.5	63.4	1056400.75	29245.09	10.5	2937001.5	2305.125	487520	442100	300627.5	2.625	2.625	37.924	245.125	5.25	350300.75	856300.75	1042000.75	3526000.75	4124000.75	644802	110503.75	669004.5	169653.75	291.5	342660	5.25	1086700	3222000.75	21.5	3866600	97265.15	10276400	64.7	5.25	9023000.75	948300	6917000	2796170	657500	5096400
K00688	405889	824002	242584.9	12	5.415	10.5	273653	10.5	15.9	49.08141	4001311.5	328006.7987	139378.3	601543	127675	472315.9	147421.33	282388	2.625	745722.1	52.95	1186613.6	13.41	1558.175	512798.4	10.5	2738603	63.4	911838.55	44565.89	10.5	3213834.5	2.625	247071.5	381761.5	303389.5	2.625	2.625	20.15269	248.19172	5.25	224342.7	992601.5	441821.5	6080001.5	4123061.5	22368.09361	153013.95	685598	174309.0288	291.5	379640	5.25	1506331	1580401.5	21.5	2835033.75	98909.83	11926390	67.82666	5.25	5696504.7	902450	5106890	2540100	749709.76	6036100
K00700	313789	771002	187784.9	10.5	4.665	9	255453	9	15.15	46.57341	3763311.5	293006.7987	136928.3	427543	103775	454315.9	140571.33	265788	2.25	680622.1	52.575	1159813.6	11.91	1557.8	428198.4	9	2450603	61.9	844438.55	32665.89	9	2790834.5	2.25	174771.5	316361.5	300769.5	2.25	2.25	19.40269	247.81672	4.5	210242.7	938701.5	327821.5	5770001.5	3367061.5	20008.09361	110513.95	685597.25	169659.0288	290.75	358440	4.5	1419631	1334401.5	20.75	2554033.75	98287.83	11685390	67.07666	4.5	5541504.7	787450	4835890	2021100	728409.76	5888100
K00703	180789	209002	83784.9	9	3.75	7.5	82453	7.5	3.75	40.57341	3266311.5	35006.7987	2928.3	272543	26775	377015.9	10571.33	27788	1.875	80622.1	1.875	208813.6	7.5	37.8	132198.4	7.5	440603	7.5	67438.55	31485.89	7.5	430834.5	1.875	107571.5	131361.5	2769.5	1.875	1.875	4.30269	6.81672	3.75	15242.7	320701.5	163821.5	3210001.5	1167061.5	6108.09361	42513.95	16597.25	4659.0288	3.75	93440	3.75	1086631	842401.5	3.75	404033.75	1687.83	4965390	6.87666	3.75	201504.7	274450	1995890	1094100	302409.76	4078100
K00705	446789	1333002	291784.9	12	5.58	10.5	428453	10.5	26.55	52.57341	4260311.5	551006.7987	270928.3	582543	180775	531615.9	270571.33	503788	2.625	1280622.1	103.275	2110813.6	16.32	3077.8	724198.4	10.5	4460603	116.3	1621438.55	33845.89	10.5	5150834.5	2.625	241971.5	501361.5	598769.5	2.625	2.625	34.50269	488.81672	5.25	405242.7	1556701.5	491821.5	8330001.5	5567061.5	33908.09361	178513.95	1354597.25	334659.0288	577.75	623440	5.25	1752631	1826401.5	37.75	4704033.75	194887.83	18405390	127.27666	5.25	10881504.7	1300450	7675890	2948100	1154409.76	7698100
K00759	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00760	381163	820438	222480.9	318413.5	83340.915	7097.3	312829	327016.5	144918.15	756642.87341	4223451.5	658067.2987	148474.3	459501.3	109618	786920.9	192187.33	373794	48360	772484.1	363054.45	1331519.6	846164.91	2004958.55	983404.4	208143.5	2592009	135070.9	1223442.3	40541.89	240018	3707540.5	421579.375	742677.5	540567.5	305135.5	73803.75	281004.125	562810.88369	967366.31672	266066.15	419744.95	1052019.09	819861.65	7645003.75	3823064.5	192050.34361	258116.95	1483601	7357062.0288	207408.25	565942.99	1602617.5	1764833.25	2338564.75	102024.5	3157636	3669118.87	14283477	197125.57666	3660008.25	7586506.95	924922.25	6283892.25	3694102.25	807138.11	7717526.75
K00761	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K00762	381160	820433	222476.4	186813.5	41740.165	3556.9	312824.5	327013.5	132017.4	375052.87341	4223447	657141.2987	148469.8	459495.65	109613.5	786766.9	192182.83	373789.5	24723	772479.6	363053.7	1331515.1	473014.91	1689758.55	983399.9	102013.5	2592004.5	135066.4	1223440.05	40537.39	240013.5	3707536	268579	742673	540563	303954	36903.375	281003.375	450919.88369	483884.31672	133006.75	419743.45	1052009.92	819841.2	7645002.25	3823063	192048.84361	258115.45	1483599.5	7309661.2788	203660.25	565941.12	1600006.75	1764831.75	2338563.25	102023	3157634.5	3669011.15	14283390.75	94435.57666	3660006.75	7586505.45	924920.75	6283890.75	3694100.75	807103.56	7717313
K00763	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00764	327749	827631	214674.9	12	6.165	12	316651.5	12	16.65	49.57341	4430310	301426.7987	150256.8	469741.5	110139.5	595903	151703.3	316386.5	3	797420.6	53.325	1375712.1	14.91	1558.55	481896.9	12	2595001.5	64.9	897439.3	38720.8	12	2893733	578.625	282551.5	619661.5	300772.5	3	3	32.28369	249.31672	6	369941.95	1088800.75	846820.75	9334000.75	3987060.75	197466.09361	139713.95	685598.75	169660.5288	292.25	574480	6	1750831	2721400.75	22.25	3188433.75	99709.68	13184990	68.57666	6	8017503.95	951850	6313890	3134930	811809.76	7406700
K00766	92100	53000	54800	1.5	0.75	1.5	18200	1.5	0.75	2.508	238000	35000	2450	174000	23900	18000	6850	16600	0.375	65100	0.375	26800	1.5	0.375	84600	1.5	288000	1.5	67400	11900	1.5	423000	0.375	72300	65400	2620	0.375	0.375	0.75	0.375	0.75	14100	53900	114000	310000	756000	2360	42500	0.75	4650	0.75	21200	0.75	86700	246000	0.75	281000	622	241000	0.75	0.75	155000	115000	271000	519000	21300	148000
K00773	325659	801032	210874.9	13.5	6.165	12	310203	12	16.65	49.57341	4223311.5	297218.2987	147358.3	457243	109493	576615.9	147881.33	310188	3	771822.1	53.325	1314013.6	14.91	1558.55	469398.4	12	2551603	64.9	897439.3	37715.89	12	2861534.5	578.625	273671.5	492761.5	300772.5	3	3	28.88369	249.31672	6	307742.7	1036801.5	682821.5	7634001.5	3823061.5	187508.09361	125114.7	685598.75	169660.5288	292.25	475340	6	1672731	2338401.5	22.25	3058033.75	99004.43	12873390	68.57666	6	7220504.7	915050	6118890	2749100	802009.76	7060100
K00789	387692	847037	237979.4	224615	41741.665	3638.8	319277.5	327016.5	144918.15	381644.37341	4430450	661354.2987	151372.8	471998.65	110264.5	806069.9	196015.83	379992.5	24960.375	798082.6	363054.45	1393218.1	476166.41	1906758.925	995902.9	106145	2635407.5	135070.9	1223442.3	41550.39	240018	3739739	421579.375	755576	669566	305135.5	36904.125	281004.125	561924.03369	484367.06672	133066.9	481944.2	1104010.67	983841.95	9345003	3987063.75	202549.59361	272716.2	1483601	7357062.0288	207041	669941.87	1602617.5	1853932.5	2721564	102024.5	3307635.25	3669818.15	14658476.25	103026.32666	3660008.25	8383506.2	976021.5	6660891.5	4086101.5	831904.31	8118313.75
