Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec27	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx30	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wk37	NoAbx6wk38	NoAbx6wk39	NoAbx6wk40	NoAbx6wk41	NoAbx6wk42	NoAbx6wk43	NoAbx6wk44	KEGG
0.7392	0.8805	0.7377	0.7095	0.7215	0.6732	2.4266	1.7629	1.0835	1.7009	0.9794	1.2575	1.8945	1.9961	0.9517	0.6842	0.943	0.8266	1.8486	1.0451	1.2937	2.3891	0.7069	1.0794	0.765	1.3389	1.0206	1.2278	0.8811	1.0758	C00785
0.7854	1.4541	0.9831	0.8286	0.9147	0.5403	2.6505	2.7102	1.5995	0.9408	1.9971	1.5298	1.4002	1.0737	0.8063	0.2918	0.5474	0.4783	1.6486	2.2833	0.5967	1.0592	1.4752	0.6221	9.7659	1.9145	0.4037	1.6163	5.9247	1.3042	C01595
0.6327	1.6902	1.8444	1.0953	0.7935	0.7176	1.1758	0.6318	1.0245	2.8329	1.1323	0.8317	1.0331	0.7193	2.201	2.7669	2.1256	1.5471	1.4065	2.2191	3.0621	3.1264	0.9755	2.0872	0.8123	0.9256	0.9654	0.8402	1.3995	2.0527	C00219
0.3159	0.3159	0.3159	0.3159	0.3159	0.3159	0.1053	0.107	0.9879	0.7318	0.1261	0.129	1.2422	1.2404	1.3029	0.7241	1.1224	0.8102	1.8372	1.0121	1.2786	1.2347	1.3214	1.1182	0.7119	0.7645	0.525	0.5015	1.9986	1.222	C04483
0.5664	21.8268	0.5664	22.7262	0.5664	21.8103	0.8682	2.1982	1.9735	1.0571	1.2363	0.8387	1.1535	1.0295	1.109	0.6732	1.1295	1.1975	0.427	0.1888	0.1888	0.6921	0.4899	0.1888	0.6261	0.8201	0.5399	0.5046	0.6856	1	C01697
1.2228	0.8919	1.4349	1.0755	0.8919	1.1946	2.3906	1.5982	0.9458	0.8737	1.5671	1.9002	1.4249	0.9921	0.8279	0.6475	0.8235	0.6537	2.118	2.2901	1.0079	2.4099	0.7725	0.9085	1.9565	1.0455	1.3277	1.3373	1.7632	1.2125	C06425
2.8686	1.896	2.5494	2.5143	2.1054	1.6782	1.5665	1.2872	1.0992	1.5046	1.1821	1.4473	1.4111	1.4679	0.9339	0.7615	1.0179	0.7648	0.8086	1.0346	0.9821	1.593	0.839	1.0449	0.64	0.8084	0.7986	1.0558	1.0636	1.1364	C00407
2.589	1.5351	2.3364	2.166	1.689	1.2576	1.7066	1.4852	1.4048	1.8825	1.5996	1.5716	1.5357	1.635	0.9972	0.9895	0.9715	0.7871	1.0021	0.9141	1.0146	1.9807	0.8724	1.121	0.8945	0.9979	0.854	1.0834	1.5868	1.253	C00041
5.6064	6.1893	4.4187	3.9675	3.8637	5.0166	1.1666	1.0416	0.9207	1.1799	0.9104	1.0591	0.9936	1.0394	0.9232	0.7934	0.8968	0.7789	0.7997	0.8969	1.0064	1.4206	0.7185	0.9668	0.7498	0.8083	0.8116	0.8937	1.0372	0.9843	C00188
2.0118	1.1715	1.4544	1.689	1.3638	1.005	1.6058	1.337	1.2798	1.8428	1.1488	1.552	1.4236	1.2697	0.9195	0.7852	0.9873	0.8764	0.9803	1.245	1.0127	1.6755	0.9872	1.3262	0.8869	1.0911	0.9821	1.1626	1.1491	1.1905	C00082
3.5571	2.4384	2.6712	2.31	2.4039	2.2752	1.7214	1.6353	1.3957	1.7878	1.1037	1.4889	1.4226	1.2974	0.8641	0.7876	0.7917	0.8299	1.0164	1.1448	0.8871	1.3785	1.0395	1.1795	0.9836	0.9662	0.9765	1.1223	0.9128	0.9401	C00047
1.3431	0.7503	1.1013	1.2186	1.011	0.6636	1.7141	1.5032	1.4263	2.0255	1.2814	1.5872	1.7367	1.494	0.9102	0.7217	0.9945	0.889	0.8627	1.0055	0.9196	1.608	0.9132	1.1691	0.8227	1.0261	1.0098	1.0298	1.0369	1.1678	C00073
1.0473	0.5565	0.8412	1.071	0.7893	0.6582	0.6562	1.1201	0.8995	0.718	0.4725	0.5983	0.5035	0.5254	2.1624	1.8231	1.6562	2.0279	1.6079	2.0531	1.6204	2.5319	1.3798	1.4846	1.1005	1.1686	0.8602	1.1324	1.5647	1.7495	C00149
0.6096	0.8547	0.7896	0.7875	0.7515	0.6192	1.87	1.6413	1.2676	0.8745	1.2751	1.0417	1.058	0.7231	1.2571	0.5499	0.887	0.9204	2.4582	2.9748	0.9583	1.3227	1.4984	0.7276	11.0448	1.7895	0.796	1.5768	4.2705	1.4729	C00249
0.1869	0.9609	0.996	0.2655	0.2208	0.3666	2.0964	0.6136	0.5134	1.2082	2.1197	0.2337	1.3299	0.4101	2.1559	1.1147	1.3324	0.1741	1.7763	1.5739	2.5348	1.1938	0.4764	0.8853	3.1987	1.1363	1.2773	0.5126	2.4587	2.3641	C16535
0.8559	1.0935	1.2051	0.9699	1.0908	0.8241	1.618	1.2371	0.8167	0.9617	1.1224	1.2327	0.9074	0.6794	1.081	0.5731	1.0383	0.8216	1.9609	2.1923	1.3065	2.0672	0.8822	0.8503	2.6264	1.3474	1.123	1.3397	1.7954	1.2153	C01530
0.549	1.0122	0.6585	0.6867	0.5607	0.3576	2.2502	1.9621	1.7002	0.8371	1.5772	1.2069	1.2632	0.8262	1.4733	0.497	0.8922	0.9799	2.4395	3.6585	0.7596	1.0201	1.8518	0.6707	15.0379	2.6446	0.7326	1.8449	6.4158	1.7063	C00712
0.4536	0.7923	0.6426	0.741	1.1178	0.5886	0.7056	0.5997	0.5531	0.5973	0.7008	0.5504	0.4838	0.4319	2.2422	1.5487	1.8838	2.0433	5.4533	5.0504	2.9803	4.2041	1.2944	2.0045	3.9953	2.6148	2.3972	2.6631	6.9581	4.3116	C16537
0.5274	0.9156	0.9504	1.0359	0.7974	0.771	1.2854	1.0716	1.0836	0.765	1.2189	1.0748	0.9006	0.7857	1.2707	0.7151	1.0475	0.9525	1.8332	2.5248	0.9068	1.077	1.8148	0.8915	9.178	1.7286	0.8577	1.3134	3.8658	1.365	C06424
8.4267	8.0805	8.5929	7.6692	6.8595	6.5961	0.3076	0.3389	2.0542	2.0371	0.5099	0.6506	0.3048	0.1744	0.4711	0.7891	0.735	0.4085	0.7404	0.5492	1.6087	0.9686	0.7389	0.8876	1.0178	1.2895	1.4596	0.9822	1.4456	1.3362	C01157
8.6775	8.5752	1.8675	0.7275	1.8975	0.5097	0.4552	0.4755	1.2241	0.8953	0.7517	1	0.8219	0.7406	3.1679	3.2835	2.3864	2.2041	0.7431	1.6688	3.1788	1.989	1.2031	1.0686	0.6334	1.4149	0.775	0.5926	3.4354	2.2484	C00330
1.3062	1.3062	1.3062	1.3062	1.3062	1.3062	0.4354	0.4354	0.4354	0.4354	0.4354	0.4354	0.4354	0.4354	0.9963	0.8754	0.9841	1.0822	0.7638	0.4354	1.0353	0.5559	1.0037	1.1611	1.169	1.1355	1.2516	0.8431	1.0956	0.7806	C05593
4.4088	2.9724	2.5242	3.2145	3.0462	2.8797	3.2014	5.9855	9.3926	4.7227	16.917	16.6831	5.8978	10.6443	0.4018	0.4632	0.3843	0.7038	0.6903	0.5523	0.6215	1.0397	0.8075	0.3871	0.8812	1.0092	0.5307	0.9725	3.4117	0.8353	C00334
1.5351	3	1.0386	2.2179	1.3626	1.3698	0.3462	0.3462	0.3462	0.3462	1.9967	2.2395	0.6322	0.3462	0.9476	1.189	1.1458	1.476	2.3287	0.3462	0.3462	1.0541	1.3613	1.2688	0.3462	0.3462	0.5764	0.7293	1.2462	1.5183	C00170
0.5898	0.2787	0.3801	0.3129	0.3927	0.1062	1.0903	1.5632	1.6142	0.69	0.6441	0.6736	0.4606	0.4767	1.0988	0.9798	1.1724	1.1162	1.4192	1.7993	1.2133	1.8733	0.4178	1.0989	0.9795	1.0202	1.2595	1.1987	1.579	1.4466	C00042
0.5475	0.2724	0.4599	0.3915	0.2724	0.2724	1.7711	1.4484	0.9942	0.9366	1.1457	1.1041	0.8691	0.8831	0.7546	0.7398	1.137	1.0736	0.9675	0.7256	0.7613	1.0058	1.1325	1.4451	1.307	1.3115	1.4961	1.3753	1.2499	1.0227	C00408
0.2757	0.2757	0.2757	0.2757	0.2757	0.2757	0.8098	1.1902	1.6345	0.5362	2.2013	0.7553	0.3394	0.4651	0.5967	1.7379	1.3567	3.0924	0.4366	0.0919	0.0919	0.1594	1.4225	1.5708	2.2216	1.3823	2.0348	0.5388	0.0919	0.5144	C00275
3.8607	3.3552	2.2677	3.0402	2.4573	3.7875	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	0.7559	C00818
0.8427	0.8427	0.8427	0.8427	0.8427	0.8427	0.337	0.2809	1.0398	1.1036	0.3508	0.3545	1.2682	1.6641	1.2369	1.0469	0.8069	1.2953	1.3405	0.9	0.7502	0.6915	1.0655	1.9134	0.7089	1.2124	0.5575	0.7696	1.0656	0.9602	C03990
2.8695	1.2045	0.8646	1.458	1.3044	1.548	0.7081	0.8403	0.501	0.4403	0.7054	0.6415	0.3695	0.7287	2.2104	1.0599	1.635	1.7307	2.3787	1.5115	1.0435	4.2952	1.2615	1.8415	2.1271	1.8933	1.3647	1.7438	1.9371	1.1214	C00077
2.9778	2.6253	2.4162	2.622	2.7957	1.9251	0.9585	1.1669	1.2181	1.3432	0.8904	0.7648	0.9953	1.198	1.1483	0.9573	0.917	0.7884	1.6522	1.3275	1.0039	1.3387	0.6742	0.9961	1.2924	1.0046	1.4564	1.2222	1.5511	1.9255	C01879
5.2758	2.8065	3.0057	5.8557	5.3541	3.9054	2.3366	2.9835	0.7366	0.5353	4.7479	3.7999	1.5152	2.9141	0.5622	0.486	0.5363	0.9798	0.8856	1.2345	0.9981	2.0496	0.7904	0.5069	0.6129	0.551	0.5607	1.0152	1.4016	0.4098	C00189
0.75	0.2499	0.5448	0.7008	0.5517	0.3609	1.5617	1.3679	1.3206	1.1663	1.5893	1.2624	1.4069	1.2779	0.9143	0.948	0.9479	1.1459	1.4215	0.8936	0.8566	1.0728	0.8693	1.2116	1.0986	1.052	1.2296	0.9368	0.8776	1.2504	C00253
49.4934	36.1509	36.3645	25.1049	26.6775	37.1034	0.3174	1.0725	0.6379	0.8269	1.1765	0.6718	0.5212	0.3174	0.3174	1.5009	0.346	0.8635	0.6418	0.4026	0.3174	0.3174	0.9483	0.6357	1.0517	1.1136	0.8032	1.0753	0.7497	0.5067	C00295
0.2868	0.5112	0.2487	0.7881	0.3801	0.2775	3.1041	2.5258	1.7034	0.6081	1.5129	1.4532	1.2586	0.8235	1.883	0.2768	0.829	1.171	3.0054	3.7229	0.5124	0.7665	2.4072	0.5568	22.2694	3.1399	0.7339	1.8338	10.649	2.673	C08362
0.2802	0.2709	0.4014	0.2595	0.3102	0.2274	1.0307	0.9091	0.9453	0.9693	0.6919	0.6744	1.214	1.1879	1.7958	0.7312	0.5623	1.3598	2.3544	1.1766	1.2027	2.5047	0.6214	1.3307	1.2217	1.4376	1.3913	1.1864	1.8533	1.924	C00864
54.2721	8.3943	11.2539	45.2622	50.1867	27.6237	0.2416	0.4698	0.7597	0.2762	0.2416	0.6614	0.5252	0.9998	0.7894	0.6949	1.0002	1.0312	1.1636	2.9009	1.1785	1.4421	0.71	0.7595	0.2416	0.9086	0.4326	1.504	0.9515	0.4047	C12144
1.1769	1.1769	1.1769	1.1769	1.1769	1.1769	0.3923	0.3923	0.3923	0.3923	0.3923	0.3923	0.3923	0.3923	1.5777	2.127	1.4647	2.0029	0.8847	1.3809	3.7513	2.6741	0.7398	0.4543	0.7206	1.1153	0.6297	0.3923	0.5147	0.7761	C00213
3.021	3.1641	2.1411	2.2245	2.0595	2.2257	1.1553	1.0239	0.8452	0.993	0.9424	1.086	0.8553	0.647	1.1742	0.8707	1.1978	0.7044	0.5081	1.0269	1.2098	1.2648	0.8459	1.018	0.9062	1.0305	0.8505	1.1517	1.2315	1.1721	C00751
195.7215	42.6579	64.1976	14.9073	26.427	77.9877	1.1641	0.8564	1.3916	1.4927	1.1345	0.7712	0.8411	1.568	0.9799	0.6462	0.9098	0.677	0.7705	0.9629	0.9054	1.0201	0.6446	0.7389	0.8807	1.171	0.7583	1.1295	0.7972	0.81	C00089
8.5371	3.8262	9.8547	9.2478	7.9083	5.6196	0.905	1	5.4301	5.3716	0.3529	0.35	1.4797	1.2084	0.5239	0.4244	0.4534	0.6628	0.6814	0.5364	1.5143	2.2998	0.35	1.1706	0.637	0.7769	0.7808	0.4646	0.6442	0.8408	C02216
1.1949	1.1949	1.1949	1.1949	1.1949	1.1949	0.3983	0.3983	0.3983	0.3983	0.3983	0.3983	0.3983	0.3983	2.0304	1.3825	1.931	1.5587	0.7207	0.7957	3.4884	1.0462	0.699	0.9538	0.6621	0.4276	0.5753	0.3983	4.8358	1.3056	C00559
1.5021	1.5021	1.5021	1.8555	1.5126	1.7328	2.88	2.9633	2.3819	2.1134	3.5265	3.862	2.2557	2.0024	0.8368	0.9693	1.0423	0.8251	1.0315	0.8193	0.9028	1.2473	1.0102	0.9898	1.0157	1.097	0.8657	0.7729	0.531	0.9273	C02946
1.0473	1.0473	1.0473	1.0473	1.0473	1.0473	0.4985	0.3491	1.5065	1.0938	0.9062	0.8145	2.5165	2.2339	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	0.3491	C00429
2.0325	1.9455	1.7772	1.9992	2.1213	1.1718	0.8448	1.0023	0.7771	0.8723	1.263	0.8939	0.7107	0.7292	1.3811	1.0594	1.75	0.9977	0.4525	1.6915	1.356	1.1604	1.1511	1.1445	0.9719	1.2257	1.1861	1.4261	1.7145	1.0101	C02477
3.129	2.4165	3.6711	2.1525	2.4426	4.2348	1.1595	1.6943	1.0874	0.7369	1.0692	0.9204	1.0377	1.1956	0.8894	1.4305	1.0744	1.9883	0.9647	0.6931	0.6707	0.8701	1.1593	1.0353	0.8262	0.9129	0.5769	0.5629	1.2034	0.5069	C00158
1.5513	1.5513	1.5513	1.5513	1.5513	1.5513	1.0511	0.9139	0.6311	0.5171	0.5171	0.6786	0.6819	0.5171	1.2084	1.0787	1.5911	0.7385	0.7015	0.6932	1.444	1.0096	2.5991	0.6845	1.0035	1.2754	0.5171	0.9965	1.5572	0.5171	C05145
0.3762	0.3762	0.5076	0.5373	0.7371	0.3762	1.7495	1.708	1.3185	1.9615	2.751	3.0976	1.86	1.571	0.8943	1.0553	0.9678	1.0624	1.4539	0.9994	1.0006	1.1254	0.5076	1.1467	0.856	0.5831	0.8273	0.6711	0.8571	0.952	C03198
4.7307	0.921	2.8752	2.0919	1.5432	2.5395	0.869	0.9618	0.8758	0.9905	1.1564	1.3366	0.9122	1.2471	1.01	1.2317	1.4886	1.0181	0.7476	1.0736	1.0499	1.192	1.0095	1.0403	0.6968	1.0523	0.7703	0.8924	1.107	0.8043	C00258
0.7038	3.8802	0.2868	0.2814	0.2637	0.9018	1.47	0.8135	0.5829	0.845	0.7118	0.8938	1.6767	2.6347	0.9819	1.1444	0.8436	0.6321	1.0181	1.578	3.0616	1.7767	1.3121	1.3462	0.9776	1.731	2.3239	2.3159	2.3374	2.2897	C00387
2.7447	2.0364	0.9654	2.427	2.2212	2.0181	2.1258	0.7857	0.6472	2.0773	3.0252	2.2361	1.29	1.9795	1.3148	1.3047	1.1214	0.8871	0.9771	1.0186	0.9397	1.8387	0.9273	1.2541	0.9873	1.0127	3.5996	4.3923	1.6	0.5417	C00388
2.0604	2.0604	2.0604	2.0604	2.0604	2.0604	1.9365	1.0612	0.735	1.1567	0.8544	0.8726	1.8073	1.8893	0.9353	0.7585	0.9663	0.6868	1.3063	0.9364	1.2611	2.5828	0.9393	0.9656	1.0337	0.8907	0.7308	1.0404	1.2904	1.1622	C02261
10.0848	9.3228	10.2372	8.7963	8.2356	8.1696	2.9871	2.4825	1.1543	1.4469	0.951	1.1474	0.9182	1.0066	0.8897	1.0946	0.9934	0.5445	0.3029	0.7087	0.7176	1.2369	0.8105	0.706	0.7512	0.6189	0.2823	0.4634	0.7671	0.6377	C02847
4.8783	2.8626	4.7844	4.7109	5.5464	3.1758	5.2485	5.2205	1.3707	0.9673	1.4227	0.573	0.8744	0.5335	0.6991	0.6894	1.212	0.6881	0.8645	0.6383	0.5335	1.1676	0.5335	1.0103	0.7517	0.9027	0.5335	0.799	0.5335	0.9897	C02710
