p6z2tr4	p6z1tr66	p6z1tr67	p6z1tr12	p6z2tr68	p6z1tr19	p6z1tr23	p6z1tr40	p7z2tr51	j22tr52	j22tr22	j22tr53	j22tr54	j22tr55	j22tr57	j22tr23	j31tr4	j22tr63	j31tr7	j31tr48	j26tr8	j26tr9	j26tr10	j31tr11	j26tr65	j26tr24	j26tr26	j26tr27	j26tr28	j31tr29	j31tr31	j31tr32	j31tr33	j31tr52	j31tr34	j31tr53	j31tr55	j31tr56	j31tr57	j31tr58	j31tr59	j31tr60	j22tr26	j31tr61	j31tr62	j31tr63	j22tr27	j31tr64	j31tr65	j31tr66	p6z1tr24	p6z2tr44	p6z2tr63	j56tr68	j56tr69	j56tr70	j56tr71	j56tr72	j56tr73	j56tr74	j56tr75	j56tr76	j56tr77	j56tr78	j56tr48	j56tr49	j56tr51	j56tr52	j56tr53	j56tr27	KEGG
10994	34265	24443	14463	20304	14650	11207	14200	30822	18500	NA	15558	13688	60271	7933	7060	2967	74390	65726	12322	45045	2619	7937	6064	40405	11226	11682	13223	30783	28073	NA	9241	10101	147027	17776	11760	8381	2001	140018	6790	19599	11406	3074	5281	5255	7676	NA	25868	4734	14499	17149	9900	10235	16469	36247	13737	7817	102182	6357	10973	44916	12588	7463	5216	73402	66807	NA	NA	23345	30881	C00108
2353596	3238763	436860	1975000	1095744	867932	1751202	1864530	1297306	1968064	355068	463421	4368316	8050565	362231	668374	612814	9660276	1229989	504260	8931489	1020420	627683	473621	2899858	577417	1945534	391910	6812055	8941818	1328727	746007	1961632	39973888	1539074	2037862	330862	6266898	34335724	2292227	6870545	1761349	855138	442868	9537284	403910	174363	2636737	2684102	1367230	3838107	1384984	1426093	4526072	1397881	374383	1219135	3893317	1158265	6045146	1407958	6144664	3246429	1383474	12399097	18953124	1798810	415211	5805945	8720627	C02630
929127	659745	376125	3170560	666031	729057	1992610	1639979	1325821	4747744	403404	505612	306332	1967763	476698	2891488	740989	3051467	1103823	238559	2382689	929087	728697	1025849	385213	1730290	3218804	249785	920889	1926596	1264070	349131	549659	2377038	194189	350267	316434	553261	1131332	755450	921616	385544	1589155	402081	1200219	111271	233625	586839	2026937	638678	886228	1905923	1450609	1535026	438215	307719	149710	747697	2061867	750305	1117497	289534	413176	646977	1232618	3446428	165447	224762	2114499	1366473	C00956
2077874	2670568	1861824	2272744	2647173	2154950	2521060	2119113	2344242	2340771	1872590	2350302	2793350	2715168	2272282	1993447	1942170	1816023	3314939	2684520	2345523	2989869	2685663	2420533	1976207	1834877	1605818	2583140	3140241	3082908	3373759	1816053	3010955	2460957	2177389	2724818	2548257	2042925	1647931	2110753	1870775	1876793	2005205	2473689	2124726	2888396	1894804	2371947	1673576	2024205	2171006	1912779	2188328	2273354	2301204	1859776	2281323	2934766	1923631	1763183	2105778	2940411	2183393	1900049	2534689	1794270	1919913	2054450	2321316	1628484	C05582
770311	1621096	969492	931116	209388	502646	1671458	1163766	1041051	676325	233125	765043	454863	677635	244034	1060507	1164749	623390	574821	359907	460512	1000943	967316	484655	397171	846096	2047456	304967	499833	343064	1022420	401552	669201	1286845	286421	227126	683695	716591	968909	759302	147460	161624	375284	580399	546330	667122	216309	469916	504552	341228	1913230	224901	509841	157783	802698	242938	175884	2137713	928889	251745	556160	178607	400834	110650	1526654	321525	62496	65947	2551428	311762	C01717
67750	135145	234926	92894	74584	48066	44013	61619	54306	30328	25817	84537	72550	150241	32362	41787	51335	108170	151151	228835	155733	14446	44708	3733	63794	32082	55310	23605	157858	153298	28198	36465	86512	816951	45607	162600	39632	30676	827011	59210	155037	51854	28975	28618	24511	87668	11622	34206	28158	53938	86677	152880	18127	108807	61593	54873	34157	226056	43584	115648	373196	143537	82792	39882	417097	245902	41709	21488	120787	177412	C02470
1856265	240736	380487	1763264	731560	598063	1211360	582938	2789662	2574228	349101	326310	1553440	1146662	237808	2111232	193920	2442783	1560164	120953	1915370	1832602	766044	758749	549141	2723794	7145406	108087	750414	1014493	1578381	248381	316276	14966148	180278	493841	479984	182215	9166075	1438295	672043	681131	153743	564532	812906	93089	57046	169523	274682	453973	309625	807687	601087	279485	1777682	366691	156682	598596	1120689	611225	3491737	1730907	329811	460949	1100247	2967033	224708	222182	7945788	3253165	C00864
1006953	524595	700447	832617	2041339	145745	405198	838204	487288	354336	147248	379795	390470	3785610	225955	261964	89718	3204075	4264551	229380	5563231	201960	174166	58414	1156696	177460	308203	207344	4843744	4973550	215087	190153	694796	36570480	199811	4735896	184690	215065	33068542	471004	5150006	1092806	399532	70787	391765	179364	48706	369500	718166	1247626	1107279	4728287	152669	3256247	1225061	853246	631063	2153272	480971	3381639	14343476	4255287	1503486	890086	11253469	9213365	1046837	211582	2170613	4922691	C00078
21497890	24530146	559469	27844592	193424	18988145	23517315	29885450	15451759	90152750	53943725	9708429	24076844	18397494	6662429	12814678	1262965	37198834	13384659	26892	34536607	3609038	1434331	7495393	769880	19032432	41096449	5214564	31562	93942	826182	29857036	1087781	136478088	12245228	19258555	13419620	44430669	50246066	32371339	27019931	1479062	57343465	2693885	42926338	6156959	2331561	13896399	726763	2717080	23263984	55098	32952385	23985	52157667	1401980	5448565	126991	24978840	23023	78666408	330908	3110655	12221	6092365	30047643	26260	36966	53082095	53179372	C00380
7690645	1226193	118311	6624771	286164	2055234	14028439	3942694	4019809	6352157	3261795	1592321	2998471	968411	445407	4147519	615670	3735150	333923	5335	443497	914603	320044	920066	13919	5473463	15284737	570613	20832	17226	490682	2608269	28850	475287	3077245	751310	1877240	5980468	72712	5374021	38373	33346	6133742	2095026	3751298	1005799	197378	1658475	98991	99658	3778773	13153	3538198	2579	588458	7016	31789	15366	4534421	201691	1403807	453342	147648	39595	632500	94236	111471	6162	3498571	1364259	C00388
