p6z2tr4	p6z1tr66	p6z1tr67	p6z1tr12	p6z2tr68	p6z1tr19	p6z1tr23	p6z1tr40	p7z2tr51	j22tr52	j22tr22	j22tr53	j22tr54	j22tr55	j22tr57	j22tr23	j31tr4	j22tr63	j31tr7	j31tr48	j26tr8	j26tr9	j26tr10	j31tr11	j26tr65	j26tr24	j26tr26	j26tr27	j26tr28	j31tr29	j31tr31	j31tr32	j31tr33	j31tr52	j31tr34	j31tr53	j31tr55	j31tr56	j31tr57	j31tr58	j31tr59	j31tr60	j22tr26	j31tr61	j31tr62	j31tr63	j22tr27	j31tr64	j31tr65	j31tr66	p6z1tr24	p6z2tr44	p6z2tr63	j56tr68	j56tr69	j56tr70	j56tr71	j56tr72	j56tr73	j56tr74	j56tr75	j56tr76	j56tr77	j56tr78	j56tr48	j56tr49	j56tr51	j56tr52	j56tr53	j56tr27	KEGG
5442187	243217	77186	1213216	178479	821041	3547154	3667971	3571543	4634054	1341745	1281199	624812	737124	1983467	751378	657418	2820838	186667	234077	651012	628886	2164602	718644	32016	1442293	3169003	211700	310607	243109	2507993	2172282	212493	1178722	1153255	2575420	2138775	2655266	1802621	3570893	200589	239006	1492589	671788	4249607	1147431	1213512	1461766	3214488	234638	1559576	301373	282323	186872	343451	175082	157600	489801	3689565	172363	629031	145921	125937	247371	57085	896391	46131	130660	3344077	9231127	C03189
356608	110624	NA	3093156	48864	173480	1166629	10178139	4144425	3761081	145263	134841	301953	256583	354297	6184494	2038143	1712102	57345	NA	287638	273072	471782	331907	54001	2533623	2630269	63888	55293	179365	378548	246359	74309	100563	835780	92373	128657	872228	182973	3148298	NA	44658	1072335	266425	1009961	118555	103691	750838	2438637	104787	210994	93721	2207723	270807	811092	57093	NA	NA	3068585	NA	73872	NA	NA	323746	84827	173691	146647	210741	6461338	2365464	C14762
17960039	17163094	17390525	18643507	17768253	16954947	18128027	17855229	17889533	17982180	16851141	17247467	17775923	18451509	17338072	18190460	18326067	19108983	18813522	17271217	18121637	18300574	18005320	17937085	17929348	18730593	18741918	17719475	18309510	18632479	18824338	18606581	17862674	24833358	17536499	18017950	18287651	17886084	22344964	18575659	18997955	17976977	18689391	18369786	18702766	18638607	17783821	18524946	18923551	18919796	19348433	18773306	18286924	18962299	19078664	18116671	18258595	18821833	19787333	18943392	20877052	18106757	18128874	18324271	20074751	21337012	18367631	18180833	21146878	19281667	C00219
100130	NA	NA	504498	NA	54817	74572	781385	288911	318376	NA	53869	84454	249122	38140	402815	87569	335803	262330	NA	394659	145525	NA	81224	79795	188227	495025	NA	305495	172215	NA	88993	NA	135329	NA	385045	NA	NA	1401693	94396	117157	61583	217374	NA	137760	NA	NA	83476	83382	134916	67844	80790	77066	80851	198648	NA	NA	51632	84380	NA	153340	94790	NA	168817	181717	255587	NA	NA	177634	834173	C06427
45880	28902	38841	33758	108857	12706	18332	32479	19903	18329	13669	18576	2724	138750	5023	14117	13516	90898	216800	27515	162196	23681	20549	8796	24721	15365	29555	9304	281862	266786	21704	17849	35140	1906593	9061	67871	17425	7650	1832269	29358	286361	58218	19327	13539	34897	13744	7934	26633	41477	50461	59055	244042	5400	185493	41764	69797	39320	121243	26126	189830	735465	247309	93536	59597	698827	509676	60183	12651	71228	96802	C00794
1213586	267720	79837	1029769	99708	235310	271074	598579	425037	365900	1147812	234687	802679	311371	225012	723187	131488	1025427	126138	101941	175496	301603	291156	246379	93689	294008	301425	82036	115401	100680	231684	215662	109854	269933	197188	152679	209241	168748	241328	207591	146022	78142	186625	154705	216978	318236	147648	452867	629613	129991	468221	92984	352960	128745	218677	108823	93164	144004	285433	106995	132881	112909	103982	140148	155769	218457	118798	78413	1756841	175954	C00577
62896	1351152	2426061	160040	91993	168304	140334	76905	66967	309805	77220	418474	616970	1244314	95869	47921	27528	1069245	481664	717463	838156	48115	181062	20609	3993320	33847	76428	47591	2016241	3260998	111413	214010	1528840	4830832	34532	279599	133249	173746	4596868	230966	593715	613483	37916	132816	1874051	629968	101098	700001	146385	877009	507798	190305	118133	844622	255128	212561	549616	5940034	67693	730407	225407	1529642	2123518	1001110	4352179	1806711	234688	37297	993805	2162543	C00191
3269092	1902846	3150973	2418857	1552294	3244296	1438532	1159082	1418086	1263440	2626590	3629412	1495820	1231107	1138634	2618930	1239402	2052127	1712317	1263129	931868	1273007	1309782	1298786	2224752	2406177	2098832	1122939	1214829	1254139	3233539	3818699	1134715	1708334	1326846	1486629	1244982	1133667	866829	2733360	2164450	2109054	1152321	1348975	1306338	1391127	992558	1029689	2360303	2354808	862832	912720	1023945	1089862	1062072	2565213	1303110	854526	971775	998383	2426018	1093391	2809611	1934693	1135843	1865895	2277560	2331708	956127	2095188	C01796
2366095	3891586	285393	9427170	1166674	1214186	2798220	6741629	2937037	13078849	303761	4226918	303415	1535386	2084123	6643209	937503	18847208	747918	343784	2404793	1550000	2123208	1817513	1063424	2219048	3232617	1140828	195963	477455	2911075	3662625	633067	1169740	802739	6497645	1385851	1239025	1972734	774484	197236	2220456	7268247	1327918	1699815	2062069	2093990	1030500	5822051	2926384	5474341	281999	5839909	1187832	2125769	439317	81737	2221610	3355433	105062	390819	1984207	182017	874341	430625	883914	303508	265417	9462405	14084992	C00270
926488	311750	1037815	853177	4262709	257356	607180	847122	768677	953675	174555	332867	202194	884985	154262	639021	484511	448764	6802062	505418	302309	436846	594076	308971	2463903	846283	1189539	178245	11064101	8688590	817104	353709	1668516	61769758	292882	887185	440094	346037	35346738	504060	10533309	741660	405732	292368	236803	248926	138833	314812	589852	198789	573615	7891231	375533	326966	714870	1705186	1433382	320754	959480	6477791	28914288	7281919	1338059	283503	10524216	16031729	184653	140439	1943633	839683	C00077
9651891	1866344	2038959	8031516	1897323	1534046	1825396	4900896	5204470	2741583	555581	1679030	1078789	8982993	789840	4357920	2418052	8821926	2971320	1066463	2509361	3835444	2882971	1231797	4453634	4897033	9154145	1171768	5721583	4978266	6301660	1986957	1717772	31321704	2470643	30182420	2089390	1137153	30094634	1914663	1700767	3070198	5715608	1030825	4434537	1434295	485008	4875606	5723205	4502287	5643018	4689572	1279203	2334115	4044070	687626	511840	902907	11892088	4635111	13206521	2577345	1400127	1904941	16495471	14041981	613466	953154	14393706	30526624	C00327
63708	29754	5872	282034	9447	26898	53985	83004	116415	132773	34255	49041	28202	8017	37175	161634	92634	38718	12448	5429	22410	87714	39017	57401	31026	193539	241405	44362	13879	5017	92399	59258	6640	362052	15814	63099	32419	110368	56551	2516	9970	9280	44858	48518	78885	2323	12496	24497	68907	5458	37986	34965	49611	4235	6552	9683	12666	4013	243962	19633	27797	3402	9477	1668	42478	12153	NA	NA	195811	57211	C00163
136140	91014	102807	132512	111152	103377	103099	132993	136554	119997	140957	194375	143551	130730	118766	188345	167520	97920	146052	206560	132769	180785	164612	108714	122729	116476	141442	169081	129479	146321	155713	142947	104459	126808	155396	132235	81809	156042	76305	108555	97931	106733	144095	110863	128633	129148	121744	114342	116200	123388	162461	105979	101707	115973	134821	88275	125866	119908	126495	96606	117184	152399	91329	144405	90003	114772	112011	157447	136964	145717	C00253
587356	1298662	814547	164804	1000453	739603	411293	880697	261851	2560569	38056	75126	116785	7541063	117918	126258	NA	9304767	1620299	20521	4006778	NA	18225	48138	142862	NA	19214	33694	3673004	2251298	10032	343976	2372789	3295259	53216	2951787	104388	201327	24812281	24205	1793072	1314901	84843	8909	301739	30043	25214	865099	351691	1076887	308765	2810130	461673	2778228	1741807	372521	229208	3490998	84495	2741460	3177586	2124313	2014355	888466	4562096	17585472	732926	672496	410039	6226787	C00051
107678	52813	18575	166143	17164	61378	252137	68879	61593	265312	14602	31413	10341	207948	53232	82125	25652	733758	33139	20342	19185	32432	73820	129552	10064	4988	4425	24089	99894	23332	40955	91002	154434	39909	12442	795936	28163	24452	803603	128882	11874	47718	54091	11660	68544	220294	286836	287531	117235	361287	97410	281014	98826	445151	55127	44760	46845	159840	7312	196629	59518	83409	223864	190557	220723	1274366	33241	530257	23757	399315	C00127
77784	281621	272496	160935	483992	79422	189761	199171	77295	209896	209834	75160	170598	790081	106156	143122	15507	909395	924034	126104	957759	32511	35809	55879	564215	76828	94684	45605	726198	746075	42129	117979	278864	2394300	61430	102934	69678	132349	2736448	131807	938004	397908	60738	52644	124313	97388	39979	114683	367383	268482	247707	601502	143436	589092	784771	498056	235264	605715	118250	672146	1721393	656366	501741	411689	1375732	1883423	296979	76034	761016	393797	C00209
272807	398794	183809	359229	388253	219628	407796	295165	313847	325743	195837	302868	293597	389448	392241	413796	313444	334503	479524	347573	233011	359994	329964	251097	279938	235885	576428	247379	333908	237008	257855	289675	312563	393171	201046	258339	313584	227909	300315	216914	242387	185360	263271	493656	279457	280529	611420	293332	258302	221244	287872	200383	224771	207848	366623	466462	211040	390301	276143	217407	343577	278476	315636	259500	264660	207741	243424	188948	407750	194623	C06104
397771	326189	313345	373731	464485	359891	306384	260921	301853	350152	321446	363763	336042	307742	278592	334114	325377	297477	409143	304046	240367	327654	329302	291035	283231	320785	340296	330797	367794	301388	283521	488652	183512	490852	252839	310608	272853	270763	363725	280768	276800	232390	242246	257831	290416	303256	356719	233021	255566	275843	305677	257768	216820	291314	280830	240552	264005	121275	282147	267735	335114	319285	236342	248099	313232	321206	276969	305694	265935	268198	C00117
