123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline	KEGG
0.028835	0.146671	0.028835	3.434513	1.674522	2.475833	0.028835	3.708518	1.521356	1.287187	0.039261	0.056776	0.028835	0.044348	0.028835	0.028835	0.064519	0.196116	1.616186	0.028835	0.224232	0.29226	16.483877	2.826575	1.351765	18.209866	0.028835	0.078536	1.463171	0.028835	0.028835	0.398911	1.375937	0.801819	0.028835	0.216725	0.712813	2.184615	15.655992	19.172047	0.304263	0.028835	0.028835	0.028835	0.028835	0.243414	0.36823	1.958442	0.028835	12.877319	14.985637	0.352074	1.198181	0.028835	0.7705	25.105761	0.164971	6.096707	0.028835	31.254192	13.358956	0.229796	0.028835	0.544248	0.235165	0.211302	0.028835	C00051
0.309572	0.309572	0.309572	0.989068	17.254463	5.643651	0.309572	17.407156	0.309572	16.381462	0.504168	0.309572	0.309572	0.309572	0.309572	0.309572	0.309572	0.309572	2.169434	0.309572	0.731809	0.642478	2.747289	0.887492	0.460391	5.730716	0.850991	1.869632	0.667671	0.309572	0.309572	3.031784	0.309572	0.309572	0.89003	0.309572	0.309572	30.276226	0.309572	2.785775	5.657841	0.309572	1	0.998959	0.309572	0.318748	0.744953	0.438417	0.309572	1.052808	1.104077	0.345072	0.309572	0.309572	0.618245	1.831608	0.483234	5.932568	0.559272	2.05899	2.510056	1.312074	0.309572	0.309572	1.180696	0.309572	0.48046	C00062
0.219574	1.09928	0.625208	2.346584	3.266313	2.108454	1.398559	0.108261	2.009787	3.814489	0.722	2.137869	0.380143	0.72786	0.6703	0.440147	1.40849	0.708972	1.119195	1	0.850201	1.342966	2.454573	1.493856	0.757916	9.987592	2.437666	1.317917	0.964094	0.794794	0.143326	0.659752	0.623872	0.774796	0.718349	1.330831	1.007135	6.432334	1.692885	1.891959	1.313696	0.918898	0.707661	0.108261	0.604754	1.032974	0.967026	1.523195	0.444516	1.052156	0.593772	0.41863	0.651692	1.420773	1.332579	1.929051	0.618119	1.341655	0.703755	2.024041	1.130257	1.287962	0.884551	0.950415	0.955603	1.762311	0.818025	C00064
0.292804	0.622873	0.238869	9.728878	10.073759	1.631165	0.718792	21.824352	4.472802	17.222378	1.517916	1.333534	0.267133	1.087104	0.397788	0.056469	0.619251	0.280241	0.359166	0.419103	0.421789	0.521543	4.996196	4.69594	0.389627	32.586559	5.087209	2.902587	3.523825	0.210889	0.08782	0.912896	2.464572	0.179503	2.006141	2.781474	0.88458	27.649426	13.427011	4.637531	2.765178	0.659006	1.193199	0.959836	0.202937	0.298941	0.729935	1.337816	0.277669	10.239801	5.40312	0.886999	0.928644	0.327561	0.846441	1.060549	0.432547	3.341576	1	2.157934	1.59796	1.380415	1.358917	0.143412	17.875132	0.365279	1.381281	C00065
0.046763	0.046763	0.046763	0.046763	0.046763	1.541596	0.046763	41.313477	36.475063	0.440664	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	1.695277	0.172448	0.575345	1.062794	0.046763	0.053014	0.338943	0.046763	0.100317	0.046763	0.046763	7.335802	0.174329	0.046763	0.937205	5.755179	0.046763	0.046763	0.046763	0.233304	161.374451	8.037433	0.046763	1	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	4.694118	0.046763	0.111938	0.046763	0.046763	1.718382	0.046763	0.046763	0.046763	0.046763	1.562095	0.046763	0.046763	0.046763	0.046763	0.046763	0.046763	C00072
0.327126	0.95356	0.361201	4.937728	3.251975	1.749587	0.639286	4.859212	2.198593	3.775909	0.843964	0.473769	1.085111	0.719051	0.402179	0.358834	0.738533	0.390631	1.824842	1.026893	0.520914	1.666206	6.163403	4.089649	0.668327	26.863277	1.920152	2.458841	3.004619	0.344964	0.349919	0.973107	2.351697	0.547954	0.9159	0.963492	0.587832	15.773438	6.108762	1.939062	2.133699	1.45788	0.602294	1.340875	0.477255	0.723428	1	1.640581	0.51906	6.528367	6.74797	0.714302	0.989032	0.661968	0.810951	0.618044	0.890386	1.343724	1.009487	8.009143	2.040808	1.728423	0.561325	0.523603	3.960334	0.556806	0.875491	C00073
0.211911	0.426855	0.28401	64.08934	0.986534	5.942039	0.694515	48.58387	22.97279	31.764046	0.246667	1.787845	0.613655	0.537274	0.816039	0.106321	1.4185	0.294434	6.26298	0.302153	0.11794	0.693242	23.105825	28.827028	0.716489	324.048676	0.107189	1	18.597954	0.446226	0.232769	0.068773	17.064081	1.008635	0.25941	5.27298	3.72953	1.291044	78.849518	19.221407	7.645539	0.845635	5.98665	2.613064	0.643221	2.289667	1	0.966576	0.267335	1.607046	37.975784	1.770547	2.504881	0.595513	0.794298	0.327583	1.074221	0.764322	0.517295	35.739597	0.431824	0.455074	0.310158	0.702454	2.011945	1.197394	0.922208	C00077
0.120589	0.521964	0.054886	6.782737	3.318627	2.343671	0.680101	9.730816	4.057653	7.457614	0.579424	1.977956	0.192011	3.74815	0.56824	0.169835	0.321731	0.337468	1.129686	0.658965	0.283313	2.025068	9.054173	4.984398	0.482149	32.513756	1.183341	4.314133	3.077104	0.167018	0.072585	0.870314	2.492681	0.150099	0.369788	1.466943	0.584468	14.887194	8.697313	4.657319	2.631402	1.658972	0.738356	1.253675	0.174356	0.327239	0.340155	2.564676	0.436371	8.441279	6.897077	0.474055	0.983683	0.260587	2.524788	1	0.489908	1.868441	0.592749	8.921263	1.917888	1.708311	0.20902	0.137024	2.927295	0.311077	0.391386	C00078
0.088892	0.225648	0.177159	6.645307	2.956568	1.830423	0.674147	9.880993	6.568569	5.249647	0.491541	2.310685	0.11429	0.561075	0.218706	0.16386	0.233011	0.16363	1.052542	0.335828	0.4489	0.776164	10.918557	4.945868	0.33705	31.63348	1.961164	1.195249	4.154675	0.214707	0.068185	0.988446	2.929643	0.130603	1.011554	1.421126	0.632594	14.002633	9.830615	3.787007	2.444415	1.09052	1.264206	1.522086	0.235497	0.283044	0.666585	1.581511	0.164096	3.031866	8.224435	0.714716	1.08136	0.35164	0.683046	0.918035	0.630771	1.384525	1	9.18111	2.007951	0.843217	0.275602	0.220512	2.626413	0.370221	0.490395	C00079
0.179577	0.356991	0.28998	12.00565	7.278763	3.941316	0.883056	18.696674	11.067499	13.433954	0.961063	0.973163	0.222567	1.079773	0.623538	0.086939	0.537833	0.268823	2.080094	0.339022	0.66398	0.855393	12.31026	8.711292	0.55057	38.923241	0.62025	1.727502	6.088069	0.367323	0.078383	1.656765	4.735125	0.266647	0.642347	2.47928	1.026837	24.858521	9.537734	5.013819	3.422209	1.633761	1.986635	0.691717	0.238792	0.531021	1	0.689597	0.267315	1.396439	8.623648	0.804783	1.31199	0.441617	0.89517	1.23514	0.6068	5.072712	0.968728	8.843826	1.991601	1.207499	0.230995	0.322548	2.919081	0.667825	1.215673	C00082
