LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59	KEGG
204270	272387	347087	512762	532165	336840	194493	301624	266455	393314	320470	499560	290048	700434	419308	173174	243565	235975	314639	1305364	792022	267041	629800	261228	584312	100448	547119	221812	138246	256825	557819	179930	622275	318529	348582	427961	876185	611298	847838	1125244	764930	1224367	2003556	878460	581292	727600	452787	1082003	830465	335782	2645503	1202159	440662	372455	624378	874584	841714	1044159	158024	480468	662594	446007	475654	750289	829225	936666	370289	388932	431172	657164	653062	1051545	1088886	1842402	473604	706083	899007	C00097
756539	3335792	1467865	2600816	1981791	3482177	1803404	999983	782644	1029010	2076914	4296142	1421940	6294457	6263803	3442004	1779171	1307729	4865468	4236767	2126337	1102215	15349173	2053143	12013173	910164	1883672	965973	707459	7683622	1939611	597329	2379374	704501	3136257	7482682	19906971	11051894	8382524	19096634	3459966	3097023	47835493	685571	415320	2987739	1722627	10243292	9224806	657618	15950955	12754561	1643794	593680	9270779	4662575	10171243	35635252	3098717	2380804	4306773	281324	959961	3191809	13312995	40553674	3495909	368735	481959	4443965	2730753	21393678	33993260	36948674	4144973	2815507	13663959	C00025
152774	215015	255736	598671	405927	191772	194505	186072	187061	84308	86322	76658	101360	342015	188894	73346	158649	111928	399531	317634	371210	171521	533446	111085	161318	94340	119321	114773	117518	134592	389825	80507	402892	138075	231178	202602	6761549	348974	4707868	3534723	236074	528021	18122551	149486	114495	2608820	1695443	2421566	825158	206952	2415966	1756442	117406	444128	181953	460212	496612	6764067	461770	89027	204506	92045	116030	432780	270607	1995307	1187248	94506	99455	354691	380607	2921168	1775416	6869116	202107	1897191	1969897	C00064
11986	253076	350445	455688	373790	582255	413164	135292	61213	265195	495779	487074	130878	573749	549272	31240	456088	52491	489310	54901	119793	97447	1405220	35790	1008709	14069	32758	7633	47489	1368373	536120	34085	297743	93176	475011	586783	775832	1137664	1167145	2149272	225806	145309	1264062	64424	100633	320347	249897	1600814	310251	101956	768757	582201	204387	191310	311203	783052	869275	1626573	897542	382123	333465	15407	116146	516841	699638	988114	1640901	44031	43030	241569	460707	401167	1511356	1355270	109429	409027	919788	C00263
1073632	5105433	2264395	3419067	928068	3481905	1557020	1300949	979691	10316820	3887905	5558860	926768	5196334	1431991	400549	2888189	725780	1069369	1704272	5686650	1524689	2537940	1526147	8767097	3391606	421224	1696364	545811	8073668	8052728	1022457	1388985	601165	4896333	8325404	37695868	18011215	46564839	67747991	14092439	5431232	14825172	3854397	2526501	42067347	20013640	53980003	30725011	10609570	39679505	28048924	5482921	15014812	9643421	14472139	14647106	39934681	12102967	8882951	16383974	924615	4420961	15303050	7891157	35604993	51115141	1367920	8246196	7684870	3881881	44435986	28151536	52937585	2995763	29925152	28583822	C00407
1704275	7904453	3993287	6958582	970235	6820642	3443576	1468179	929554	15408829	5291208	8743289	1274496	10686960	2332303	484375	3965984	1538748	1725323	2487137	7804644	3090437	4426605	2277758	11003819	4476423	534236	3187496	1056030	15592305	12510136	1232662	2104159	807294	10356012	13415782	68566833	30483994	114376752	134098389	22495268	9896164	163836208	5033381	2817261	73863453	54460782	35173833	45869597	23132162	51541324	45276768	13456737	38538326	27654494	42088622	24482321	89189999	33755431	22865194	41829708	4315453	12123386	36025030	14125500	57568656	92209114	2548171	17379353	18517351	8668854	60331271	38180578	89622057	10253339	65278946	62778010	C00123
799627	1132226	1724121	2566700	1516707	2032788	1229487	801141	651546	2213398	1572163	2618953	952262	1402778	1259133	875681	900320	711772	1485525	1478376	1491796	764137	3616131	711642	2114469	854303	1023372	723558	665528	1967653	2919509	782691	2184174	668351	1182632	2050667	13344443	5761894	4516503	11516989	5948483	6938520	32942403	2616190	1517968	5482446	3237853	8133007	8228888	1707261	24982841	15134152	1989992	2068325	2923416	2958083	9055743	10386071	2492240	2120944	4548352	1253083	1763735	3264863	3942828	20340900	4382730	1243586	1874528	4058314	5622130	21744538	28286967	18811219	1772377	4026827	11460168	C00047
413645	2297017	1367682	2736071	1947963	3041568	1086490	633707	677974	2316401	1560987	1855568	1042627	2953246	1206907	675690	1169260	1076753	1030399	1370691	3196646	814186	1324128	704844	3351548	762376	1157082	682516	383835	2468378	3587947	656811	1043526	441399	1382082	2549127	19564159	8101446	21602293	18414863	6633047	5001970	40276281	2171965	1206747	10507147	6950585	10153469	15157730	2004313	22247712	13282096	831171	1485856	4239758	5008989	8012446	15137107	4042890	1535066	6257505	1155106	1332946	3634646	1426066	20678329	9813233	595330	1374555	4069582	2101994	24020775	31467567	34370478	2177111	8115608	15237227	C00073
72856	319295	323803	2313588	2031073	412645	211861	157214	159283	316677	290170	242816	155506	494819	304479	242998	138384	90877	290909	190678	213031	187533	943816	127465	715074	109354	140383	88283	146445	399524	557866	116365	124273	76713	220658	357996	1109327	538554	787052	626908	325974	2798975	3251932	107674	78519	198114	287326	557337	1109969	81333	1551214	457794	121775	70727	456890	245127	534341	1344962	209027	114654	153552	99283	92168	164147	1103791	1560364	329631	76541	146073	201052	185040	3306999	4025864	1681193	220756	377279	1585388	C00077
896963	1718316	1301534	62777801	15448293	3538478	3533904	2857877	1542049	7851796	2168468	4199332	1115740	6017251	2570618	728734	1205669	2377407	1606777	2310120	6559511	1094760	1603294	582485	2644985	1160229	1030220	1243671	836480	4040562	4684525	1213220	2044166	871799	2156114	6466910	26275121	11897064	30992094	39305263	12078559	31032666	66167636	2552741	1660314	22073237	10942880	22252147	12385120	5232468	15933509	30051763	2388036	3625032	9853841	8180505	15284917	23340445	10069596	2294797	15150554	1356919	1473986	9053305	4027595	21712739	20332839	689652	1966061	6459477	4214936	27488299	9176389	31236737	3922986	19139759	18873777	C00148
1236147	3848922	2552644	4308645	7507035	2733517	1922060	1862231	2055815	2216416	2316977	3698181	1776707	4349196	4842389	472728	1955649	1499154	3231011	3708230	2614135	1874540	8595343	1809968	5168154	1364673	2094293	1411734	1485833	5083938	3559511	1378377	2619475	1699412	2838594	4419030	20747529	7527988	14232684	17048503	3221994	12492836	40408338	1420593	1302880	5707396	3580220	8700657	6513868	1374650	9939287	6519122	1870209	1698428	7327561	5067618	7245934	28176346	2872260	2169902	3227487	978822	1474265	3726303	9061411	24994638	4100728	2201181	1196857	3847072	2420062	17154675	18841913	24713721	3911547	4258810	9547274	C01879
609563	2034760	917182	2350147	1139796	1630426	1185706	700746	697642	3195895	1900000	2610050	1126244	3941433	1440167	556993	1097920	543451	838568	1616164	2403471	960384	1698645	917303	1569572	1401943	546124	608995	588376	2339332	2201552	526010	1145649	480146	1268888	2617906	19518346	4192266	7731660	13361752	3739879	800346	61003118	491239	339667	5685440	3162527	6634422	4007268	964446	14764649	10929333	594520	967876	2965986	2812472	4034781	9650646	1355473	626051	3093518	386949	396795	1889466	1670357	19054146	6147966	33566	378354	2117541	989828	9734817	9669730	18112792	614657	3913741	6808887	C00065
547879	1459660	1120285	867130	558005	2597977	1499417	903790	548860	2981363	1492126	2323745	747643	3427255	1583848	633088	963773	514704	1106904	1366510	1639473	749227	1462036	752718	1755776	981692	424905	692770	419368	2312605	3537321	562794	1010345	357921	1157927	2438572	13371950	2568893	8075937	9796727	4846431	883217	39344020	1008355	396715	9224202	3395930	7093708	7812535	1173880	16914532	9623914	729051	1450588	3059912	1794480	6401543	10216324	1896376	1002149	2973747	274605	1079015	2563732	1793781	14004799	6348786	572513	665247	2720943	1523547	15215671	16329869	21506265	814892	4635632	10343305	C00188
479058	10048	4152	1442001	675575	2747547	16095	451325	262877	10856	8236	2420182	586328	3800995	845828	202679	1186508	405534	576766	610602	1582603	315767	171	458094	0	858053	10976	429361	291951	1808443	1053393	223342	72876	297509	10666	16188	7949255	3763371	17445825	13662446	2245983	437172	32225774	385739	441765	12120948	0	18936550	4756189	1991968	13608924	0	2760351	5446858	2216540	1826863	4122193	10471053	3747690	1485442	1548501	251022	0	2556195	2391708	8910559	7722665	306237	1521705	3926421	938170	13576384	7372897	21319464	2101234	6611207	7387045	C00078
2240396	5617971	6208790	3773251	1892569	8170941	3608405	2388634	1652873	8784076	5385872	7808305	1648133	7126887	3456522	2113437	3835889	1794927	2773055	2789191	4832290	2664641	7180189	1843024	7110672	3826230	1142321	3130085	1892875	8130857	15374965	1149465	3321148	1307953	9243692	9557736	48651010	19498729	58449594	45759941	11627327	10265050	97771664	4158192	3050791	35008635	23299554	50350962	32200183	12362822	41747977	31669800	11525102	19883311	15895123	24045975	15980812	42095626	18504606	12612041	18064914	3450426	10322630	22124118	7672267	39275568	46355376	2376341	8341855	17004135	6115609	37388562	39793879	64826214	5406127	29616326	38969144	C00082
1341558	5079435	3220724	2848726	1423507	3739457	2484152	2582345	1285304	11363629	3642347	5189060	1576348	6263930	2145978	900692	3666794	1062584	1190872	2023407	5576888	2414685	2900397	2356451	7789589	3410617	645739	2448955	1369025	10312218	7046065	1243003	1692010	777814	4802884	6426830	38297677	11273381	28805387	70216661	9935455	4663709	11604513	3308540	2699913	31396197	17138651	53135188	17940226	9225587	23880928	18796744	5082470	12204523	8612710	12874345	10636185	45913569	9895326	7343143	13596202	1287952	4406414	13788407	7325065	24499057	46207648	1577802	6687851	10349589	3577370	29388183	24206932	32177171	2953741	24831779	28502582	C00183
1851848	7785546	2582441	2209571	3017880	6616709	2689493	3556386	2781175	5739605	3388294	3399921	4372533	9053366	2746337	566406	3422999	1004738	2933226	2743138	7175847	1835039	1999826	3135800	3966531	1011430	964944	1084879	1336630	5410508	2812750	2427105	1124468	550535	5721028	7307769	6365441	5011168	10178230	5310800	7853624	1410378	9889866	4252913	3156372	5251523	1900419	6995235	9088825	3311616	11372529	5011381	1229692	1890214	5998030	1571474	12896384	5601148	3253187	2149498	9037966	321792	0	1024791	4360997	7318848	5863037	2084330	296020	777053	591023	18387697	13858368	7188401	724613	3017123	9252718	C00140
24207	271558	43785	1073197	414269	550188	48616	197974	135064	718736	74605	20559	582314	410081	174700	295744	12979	15175	18440	104564	307826	65188	64927	221268	196892	401535	44040	15625	31111	77820	83388	303507	123068	60509	497957	433728	980357	1180367	5190247	17811	2589973	1971773	3544877	445483	988946	2655352	2528415	4596211	1416971	2450829	3984114	2962872	1506649	2212391	1627989	2641868	1044282	482234	1990660	1094663	535673	288784	1774743	2087926	2022008	2918488	3948446	74804	1338867	1362559	1096908	5625253	2555430	2847183	435646	1338974	2848835	C11735
14368792	20085923	24759988	14500355	19594271	18734692	14551630	13461095	14008503	19312473	16230926	17404774	12841354	15331479	13173627	11271749	10188396	11279273	15536852	19213475	14273858	12301576	9676958	10842409	12898859	6751011	11069418	9475169	9526148	7359675	22740363	13976246	7461139	11099583	13472687	15070922	22948663	29640451	71886579	66273564	33095149	51626949	40182434	39962892	30658435	60007456	42844709	41321265	44422031	49837210	14568605	28513428	50327071	40857521	36004757	47668314	21838088	19861236	41786360	32532629	38710709	39156270	43956806	53247596	32568554	4088710	31412485	30759911	51985586	20372566	5579969	34043343	23655222	35565798	31228316	37894375	30668194	C01753
210666	376962	336373	2378094	991944	1418378	343433	304325	255956	483749	417590	394265	331986	1150566	472980	284683	490954	314433	340896	561864	819988	283903	317468	296872	459332	484257	482557	395582	80529	215051	296461	256755	1079514	271993	531856	579907	6446091	1240448	285595	206953	213658	488455	117841	68593	222819	4469678	1652901	3215679	3760527	599737	8183408	4660247	359858	709181	1481772	873450	178172	4921433	925265	488943	1486260	143728	534980	98967	872991	126528	3060988	308704	326732	1308421	96687	7378391	7918324	9685083	406691	2202282	4959807	C00979
1251042	2748590	5241644	3579867	3422063	4638744	3457332	4032535	2143818	2478295	2289314	3879687	2474772	4260969	4104868	1246769	1827862	1826916	6024253	5034868	4480449	1861236	8189359	1387342	2780246	355480	2023064	1022359	1163623	429802	4343705	2909627	1222167	855554	1165568	3599843	1283403	1141393	3620019	4853533	4302978	56012	4407144	4136094	2249526	1557253	1232180	3446482	2515115	2717736	1495143	2409597	2299722	1130316	2725491	1393742	2196499	1132786	4225447	1861970	2185267	1533915	1509138	3266369	3560901	5770084	745157	805546	1081451	3039085	2994187	581179	434002	2496590	1094762	1417313	1637677	C00147
642673	694937	948929	570427	821415	859519	592042	846155	748657	812794	597533	610683	651706	714989	631312	565070	522495	506864	601877	860325	623399	501164	482592	455007	454138	314276	569030	509646	505736	274231	1053738	780203	455087	596814	651025	679344	622050	1037737	1880296	1741675	1020429	1366150	1072804	1594418	1502433	1535740	1577755	1308483	1347611	1977045	857966	661122	1396309	1341575	871609	1544865	723724	538795	1142765	1068435	1264156	1598263	1349047	1769192	1860789	556438	1119779	1286963	1750178	1284968	981323	682922	668859	880812	1221044	1309195	842094	C02477
1883284	2014209	4864874	3065926	5433031	2246686	3576871	3432459	2448353	2389217	2857653	1895270	1185708	2786021	2315247	1225798	1566166	1277126	1721373	3020005	2026325	1478825	1956997	1173718	1832541	638440	1034159	1105398	1467496	1205887	8595427	1544581	1107619	1628841	2706458	2481096	2499587	1922444	5654751	8215997	2697891	14972644	9026788	2268734	4713047	4694135	2769634	4568005	1837509	1820074	3317985	5293400	2861145	2673468	3127646	5637047	1526127	2974880	2039864	1448953	2505555	3345819	3210562	3540987	7529814	2299659	1682443	2923637	3430736	1820306	1090364	2837451	2084054	3636504	1985323	3406407	1825005	C06425
1611750	2614898	2382856	1662635	3046647	2045237	2275436	2143707	1653545	915877	1481375	1332021	952800	2346814	1538522	915474	961103	1019826	949508	2008246	1122381	1410872	1784205	1028891	951311	512744	815339	1177534	884710	639557	4534321	910954	501808	1142020	2087517	1867895	1953905	1079222	2803224	3657609	763740	5787998	4032672	982545	2424906	1578168	1093018	1743044	1127370	826594	1158191	1595325	1386188	1129045	1508956	2618210	670724	1579198	1079714	857588	1280700	1481519	1446820	1757193	7016239	1291162	719963	1046408	1420170	1021628	567847	1102608	643717	2714211	868644	1568339	986538	C08281
974062	1399493	1075192	1344411	1143372	1002953	1228875	1211332	1169379	1168749	1172654	994674	999524	1099370	1025342	1033336	1226631	1144337	914954	1365624	1390932	1150120	1174660	1181695	1176566	977605	1005593	1299830	1241896	682197	1061904	1256861	1032148	901563	1074159	1426754	5189034	1786335	231991	5330050	1116370	1239589	2413131	1117692	960068	1015668	825010	1072069	1091945	1155824	1095308	1209439	748109	697479	1733909	991011	1593459	6117483	928511	884180	1444786	1081284	882619	1714248	973297	18574309	950672	1038867	878823	1336393	861400	1734472	2128816	5171105	862600	898171	1070413	C00180
3444263	5071985	7265920	3635282	5018927	4866470	3774502	3047494	3304244	5351009	5016707	4744765	3088397	3575117	3415811	2771324	3069221	3540019	4583043	5497214	3496699	3234528	2586915	2694107	4058911	2353248	3019560	2267776	2030953	2738384	6276991	3112639	1861645	2681982	3529439	3952919	4631350	6320350	21210911	17915189	9070148	15104120	11178685	8479014	6166231	17320086	10106522	9603769	11293243	13003748	4453479	8157802	11678785	9652700	10057479	10917530	4951226	4397580	10286879	8482433	8769094	8440172	10060240	12758725	6388184	689330	8804333	6604186	15910513	4381758	1104023	10036915	7062292	9442359	7499999	8572881	7047351	C01789
273151	191184	143068	98076	233021	197327	189661	162475	204075	176360	310383	186770	370366	160301	225872	271943	446184	210415	138384	420568	592657	290350	712606	310663	385149	274596	180877	328816	298430	232276	664128	324570	181848	231502	194521	186910	104641	14259	199935	179269	254490	315209	475432	394866	232944	297697	335391	397299	560829	479339	24604	283652	227887	286873	159219	293814	305245	144789	308559	153825	782067	332552	262888	246210	305373	214369	465424	398372	238985	166398	208898	212255	265782	286948	166894	357537	297263	C01571
634916	812453	672439	430885	501496	786757	897844	816135	715684	500231	581251	598905	810866	753602	647020	437095	639469	584748	521593	1052393	1436923	575544	777652	544010	665568	454521	588546	625788	719190	327678	1180802	486084	533401	464683	837087	712682	459784	346743	397096	317287	435156	378262	737253	488531	340447	474319	528324	426603	527592	452816	334159	538378	493533	456445	440296	421069	546663	39566	596412	439309	521896	387046	276131	447308	424702	404878	424412	495102	416815	407752	318495	311924	252045	578017	203070	443046	466792	C06423
4295283	5884014	7018522	5305758	6459562	5515781	5359272	5519181	5418954	6232122	5860813	6140220	4952189	5611425	5482914	4437964	4867405	4369596	4727868	5259205	5846396	5332148	6414771	4865204	5259282	3011093	4202447	3679452	4589603	3584176	7318414	5309755	5398904	4748771	5028983	4980390	2832479	4156114	5561206	2293174	6504535	5154254	3392958	6211817	6447881	6030696	5131025	5228987	5137653	5453646	7566109	6573630	4316589	4883612	4774697	6215247	5463794	4260181	6616135	4458176	6219406	5351069	5375838	5852083	5212883	2263107	3888229	5524432	5606753	4299272	5139041	6471487	7322054	3822565	2478584	4892655	4891283	C01353
727163	1650219	1051860	9328814	4885904	4211352	826337	589533	923744	18015387	3091115	541862	1150789	8721622	704174	600692	863529	722538	593507	484500	1678688	2595399	2229790	1286587	804187	1088620	951862	813497	603254	917510	1915658	746922	1708926	981731	1379955	1080916	1230631	1592794	2885942	3265102	1722891	1170997	3404554	2892766	778661	1922846	557112	3017027	2812705	859078	5702525	1294660	1156022	1340832	822102	1998133	4267113	1309346	9456399	681795	638016	620103	659503	677928	9147675	3926080	961312	458446	547444	1311106	988648	8621995	9251475	1346574	760718	1007775	2831618	C00185
14773934	12796267	21344118	16831481	28274943	17407179	24238859	26260160	18001013	24883233	20598559	21499312	9997408	18338098	17299923	12919339	9132536	10899625	16380961	30319072	20787711	10759779	13145179	7854008	12307632	8263045	10295710	12480432	8915774	8289185	41384051	11750183	8182509	11213460	19145174	16763119	5412510	10311747	18938155	19216265	20003575	27840911	20969090	26350521	15419133	23438699	11992079	7480595	10128022	14523277	11327141	25374117	15706287	12921845	17812915	19939822	9979377	6040162	10390382	10280261	10593292	13809644	19557492	17590439	12144264	4426437	16307799	10887473	23006325	11001210	3952149	13077749	6020223	14764256	18105899	12635529	9091778	C00187
448288	492943	371529	2175268	1308459	964232	457391	877106	321945	284348	408121	745460	790331	663046	528665	625028	317117	1255253	438295	559439	378399	706006	498410	237131	1035264	171959	230636	335329	293196	478404	1167073	356583	457850	371176	492629	535023	648523	735698	1581467	1432670	543181	1075162	659781	799107	1155409	1147792	1247447	986888	1155728	621893	557228	631446	678216	687595	1676525	1479718	544448	576753	731469	787355	445264	902399	1430617	895230	1066688	1027631	393788	1079818	1092356	677802	427009	1085717	893977	1241646	968574	687737	610741	C00695
68533	231799	153641	1696848	66022	904696	336299	145547	126945	743409	140029	100384	147431	325028	183760	100412	215639	26229	146535	222310	117542	205876	562687	167259	421292	284890	123967	173212	88057	1165326	164009	144973	16273	107404	356127	137519	1363688	884038	166272	1049447	3064081	1084302	5736481	549255	354789	1093776	1624609	2935217	4457216	113299	8952867	3057913	363627	439704	1170639	436613	3554539	2565321	694694	966196	1622409	216847	161231	675088	693403	3022022	112573	191236	21056	441283	220631	5395961	6856089	3438884	602189	454381	5898826	C00327
98616	192458	152644	263745	280297	189177	132227	189200	157744	132779	153787	194542	129635	168825	134929	110055	94977	93119	115111	194712	153306	158099	188924	145377	167365	54884	147844	99470	105884	115758	227358	73933	133809	109195	118031	143319	302330	156489	457009	264596	195018	477759	762688	146957	163224	233381	181738	235844	198779	103800	404052	290485	103450	106855	146731	185170	137423	166269	136505	139198	171710	95924	144587	210492	136880	301353	130609	150687	179607	172028	106205	226238	199923	293476	127708	158617	213456	C02218
4583111	5406362	4521237	2374801	3515041	3282524	5132288	6026338	5697695	3675763	9501051	7351713	7291962	6798149	5197683	4818598	4667003	823753	1534584	1612479	8347433	5130715	5378314	5254114	6201781	1014000	1191581	3826989	3897824	3439963	2406039	5004722	1497371	1180838	1955887	3016175	1173522	6166832	15346806	15052843	1586004	1334829	6504434	4186622	4926401	1578434	4048097	4756303	5669040	660112	2063071	1171160	3579444	431426	4824050	4792997	5141538	5890179	1346872	1077792	6348778	955531	865404	5046173	5027703	14763555	4541093	3926327	3755591	4195971	3735609	6617802	8150104	2080656	7939049	1437454	2255812	C00095
3006977	10972048	4591199	1581366	10735927	11115104	5114053	4708128	3785733	14476491	2826519	8381777	5335725	10237073	4727622	2099622	5087297	1230772	1621468	5388521	10701561	6013655	2624426	2126900	2734950	1603397	1219347	3155233	1149981	5410760	6906330	2344963	4349653	2231789	10012975	8193115	3464072	1206465	13395885	16314865	5777622	524851	12673078	1904210	1267260	870668	2331094	4986470	4515495	2666803	8383026	7822133	2975667	1954454	7368393	5386636	6845663	3218480	577068	501302	4724143	721326	762196	2176502	2439415	7206782	3512488	1513011	590182	2713172	998736	15125446	9581615	2409787	509311	3114618	10587911	C01019
61143	67507	346383	124948	19053	15519	20724	216845	252225	21229	175701	146061	162267	485876	257462	167543	16557	14606	200297	254427	221745	36660	335167	131204	206912	120220	166676	16691	36937	191415	315560	122995	24902	25049	29937	267403	1321041	179389	687697	25800	279100	15149	1314338	167354	7937	130868	28979	289113	16946	45293	82242	99430	140512	4883	222463	21669	231591	10745	118928	31073	154006	145901	5738	218395	6582	473371	149939	10182	101150	300952	8956	39699	107213	779052	10938	163724	146975	C00122
308812	880503	410778	1322069	875348	1115205	592558	358709	307303	904117	657384	1126673	728383	2030926	827151	187547	490588	341598	514144	906423	1026635	316845	1003619	390858	662272	404408	334600	286512	297438	650827	695423	298096	490687	193213	589598	921866	2056677	482035	901832	1427346	803096	319221	5025083	160746	122533	337828	348851	973589	490631	238622	1962082	1723892	227575	136732	585365	443254	686181	1593920	571624	220691	563640	117242	115305	366435	578993	2188502	676855	114993	110006	576613	397443	747899	1330305	1876789	156146	502108	1118506	C00258
24919651	28640606	31690415	24579515	30650454	33010340	31994996	37607682	45523366	39659251	33229217	32616753	26626921	35785409	26904297	16181755	28250363	19337031	25367103	30919416	29530687	25585269	27732876	19320867	30161389	12566986	12013722	20856897	22410095	15392147	38053093	25390041	20130711	20796885	40171196	50774225	33691052	39212755	132115051	199393241	41854583	37212565	95484001	33218336	53738087	41757566	26594187	29184289	45088741	62412712	15237025	11852513	33080923	40326686	47345098	60418498	17025065	18156079	55009139	32028616	46996233	26319961	24387779	39464570	26975933	104170488	55737395	31154969	31098986	57804032	53304621	22496731	29309428	27349875	72348099	68921987	29166081	C00116
2308019	3557332	3761345	5873117	5771278	3514448	2664461	3243827	2739129	996263	1554448	1343896	1921384	5651464	3838119	1228055	2489339	2255943	2596026	4444367	953229	3083336	3815352	2011746	3243580	1162170	2146704	1910867	2292933	2351426	6088042	1476106	1516546	2174424	3743202	3725157	2119765	2559223	3465153	3554137	545246	8228554	2665936	2189931	2160405	1521371	1281124	1235077	2037680	1674675	42866	20269	2200993	1760046	3492467	4456532	1644552	2258420	1113264	1769338	1243490	1080270	2127711	2854850	1955453	2172919	810621	1685501	1820887	1971233	1303797	1258996	1544498	2386612	1493496	2566563	1578050	C03189
728474	2060538	1328706	3476236	1196984	1887722	1639904	991533	815272	4771327	2842354	3952584	1140659	6174099	1686515	875361	1400529	827215	1421778	1818198	3111391	851342	2518550	1079544	2583974	1415544	1271230	773539	453163	3306230	2191241	778504	3108621	585652	726950	3170600	15371327	5148376	6378192	14631067	2961350	904841	42155110	685151	578772	5294643	2753655	8244665	3352693	1130445	11304824	15559450	754967	786351	1968122	2556728	5963577	19549363	1839016	960638	2640922	608032	474201	1240397	2326221	25077450	4458250	1467071	603691	1831034	1228617	12791796	13200270	20584374	1692362	2710799	6482111	C00037
333289	416007	281473	725161	475401	548096	395800	335750	303855	420228	458028	459877	363412	644702	380286	259379	352483	303798	344650	467947	522806	338370	423943	334573	382363	294978	317651	305612	293731	391726	428134	366302	364988	309203	378719	365187	438804	368224	384655	1103764	498660	365894	1159254	322736	262593	354197	238254	371632	368733	312322	463554	466306	323641	558506	389387	277178	530707	618994	295204	271551	509661	240115	245918	246270	325217	1298623	432341	265336	257719	256816	250579	483884	488419	928002	295624	283440	305303	C00160
1528897	5486143	4918982	446557	2205615	408250	5955255	2109168	2886867	3688289	6801356	5974241	3085606	2162078	3407536	1763426	3013147	1299283	5182782	4805697	3134025	1641943	3002983	2150390	4459424	932959	2191304	1316984	1032448	4256230	3323073	2303433	1392842	694097	6048820	5536086	2602534	1763116	3467530	3609586	4046777	331308	5681104	3651658	4132996	1511256	2126871	1454881	4633902	3708189	5535691	851513	833674	1170045	1582741	2293019	7471974	5696684	4097076	2425820	12045499	1975785	1328276	1691231	3300841	3405160	2491527	1748586	1381953	1153953	3588641	4219433	8416793	3810115	881752	3545371	6447353	C05629
734429	2372569	1198592	881199	742924	2235450	1031145	1248123	2027461	388930	833845	1040236	1039743	3093516	1958155	228604	1130981	417973	2276236	3468541	1427278	499502	2356757	830285	2882867	489014	582114	332768	337860	4893497	4303620	652856	517789	388784	4100668	3851203	2099663	4518443	2330663	3170590	837419	863645	3504172	1864721	1580412	242684	286043	1617575	6010131	458799	3836396	444864	541066	194518	1949419	1439914	5381737	6317943	848955	1043654	1496725	182427	354259	1043541	2683780	9113195	828118	523840	332021	654513	954372	5983176	8145139	4801195	670006	1725244	5670559	C00262
501973	1053888	1069675	555449	999005	1230267	1073796	644812	660844	1392509	1297677	888721	963485	863344	828744	523457	1009152	508370	659660	1377882	1412557	1032386	1093208	730180	916992	442577	805008	619476	633654	546901	1203236	1041964	663331	544215	925578	1006237	1069722	265191	679176	572057	319818	472077	793014	377896	479029	498764	361973	387843	357436	372626	243158	314322	419293	361474	424147	422466	406901	209216	439478	325272	464025	370640	398783	395058	1425354	487443	369391	325673	366854	424895	337703	406634	283252	1024316	244488	243282	303076	C02679
66023947	39294145	63403870	46563285	55600397	61779843	62144158	54346324	52586704	74068232	55008835	44162653	40398333	49117954	42985192	35610327	52786021	48222693	42256090	41641531	32453417	38522684	47310939	37098245	37353278	22944163	21265594	39687154	44892364	18150878	63455139	49526712	30864247	46694471	55689050	78540013	64766762	81269510	116620069	115384503	63219930	36805566	96997157	45711687	77575881	76660389	51151596	54367882	68866898	91066103	44323531	58917547	90564471	83013724	63107826	104490872	29508398	39633235	87635322	50335366	64049573	51441839	56723842	74319367	29454735	52875038	72723485	49721179	64043347	108576326	64906328	32529236	25635643	41042507	42691701	86304278	44265952	C01595
