LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59	KEGG
1090688	782999	1169072	2635595	1579256	8154382	868536	1461801	1412400	821336	2087304	2281072	1865921	1448232	1713588	541881	1492204	1691847	1071648	999720	576328	692256	1338508	457626	1376288	389649	1219400	1161032	290981	1337981	1812000	514936	605093	1802153	1119088	2296616	652792	1231217	2849947	6132443	667008	1532222	5593113	1384218	1831869	5172450	2335486	2642788	3683693	2482404	2321127	7393232	1415319	1620530	814953	2586194	1774045	2753866	1093446	966119	1762844	1750500	1132690	3468291	1724320	2950607	2159622	940476	1380566	2673842	1440005	3029169	3202618	4330519	1206714	2647984	1839449	C01744
65260	246674	262071	98628	402639	204825	109934	337668	284917	127713	281637	168086	219439	256768	283135	98015	237384	114452	308687	229004	307520	148357	218273	271832	262068	13778	206376	153507	154305	162880	207315	314947	212343	228978	251400	121709	35299	117173	145532	133267	237271	89189	73416	222422	312034	213850	224295	125563	177795	180352	148235	79592	87132	53983	267288	291130	245575	154718	117284	198725	489105	170325	156396	155738	162513	115340	81641	169003	162901	110026	192689	128529	153750	152469	125642	137059	182969	C05145
605590	2163642	170962	229599	222088	2038798	375201	193670	303346	151394	186219	290054	585226	574440	2004649	187811	1649282	766548	1439304	145677	200924	752834	278070	182619	457639	71867	318050	117871	485891	3278817	470112	120870	203425	358703	325191	172258	334615	1206301	1143205	458208	103656	181511	572818	62561	108957	112820	90855	70484	194369	970373	242672	130244	131005	44638	434375	773132	283609	328096	540403	813253	256443	25017	98473	162197	149525	349149	159133	142137	149519	194550	186841	165013	986548	232811	101439	1020726	271902	C01089
303502	579705	568316	2275556	2277791	1044275	494744	478898	509583	980323	1086755	681124	731938	1065427	1071479	634483	783882	252690	395492	805970	672885	520082	633548	448036	1747961	253460	455455	222759	318977	705678	854371	392463	1091678	166385	539993	254467	216583	1445423	439454	571923	578947	1432706	386523	471288	553897	761563	365939	433295	576200	640166	508349	765706	345067	320234	533275	609226	569607	316264	348157	266301	841243	384346	273236	448449	730434	867817	413574	295274	301341	462928	401231	803178	267734	99528	469668	620315	115849	C05593
405219	286042	298414	343107	839687	333936	339485	397592	171478	279180	290335	304886	212810	150746	793446	760223	272562	418798	388403	187256	428565	670041	1287627	235220	501584	210016	121771	464431	336726	154151	2397174	584913	858122	411450	192229	202677	180220	3114656	5535352	2064447	346049	192687	379293	464021	675223	264376	167404	596700	288910	1448200	513035	144912	174367	1368391	143879	59659	408829	8901640	230167	855316	443986	125012	402860	282107	1779119	7312310	379346	314650	115106	178585	790163	1005856	637883	378449	1180265	223732	242199	C00141
479584	1104240	1534888	14542365	7088193	1943858	2939129	2003427	2205760	1495229	1717719	1697898	1054156	3952326	3013893	1344511	1098557	812592	4753177	1537594	2243535	531538	1924803	926690	3062995	369857	653891	379281	440563	2247442	9140913	587812	1403080	453161	2070733	1737494	936937	2541038	2217674	2681653	847195	4909729	1969738	374908	972248	846783	367325	870249	670835	377057	1146475	1160729	475586	176606	1906185	1714802	1018764	1002735	651519	331431	1131919	384210	485671	848931	1307947	7240289	573425	359208	310837	1813365	3742939	1082277	881188	1435291	897805	744432	956451	C01035
143866	276282	262803	651004	432210	253503	264448	361032	225063	209350	289474	214398	238268	448805	341371	141842	299838	162525	259603	281500	226611	222566	345341	236317	271359	51739	219462	148343	141510	219660	483916	184863	391289	165523	370513	250347	282567	111230	585730	1709668	82087	171673	1239355	53302	63144	162458	40872	76084	87554	24900	100054	304722	43201	30698	277394	78432	191512	279066	67252	58635	61567	23410	127363	163692	203256	1075338	29859	170470	56882	127094	116932	130015	87690	373316	277628	68021	187992	C06672
184196	529746	286937	2655352	2548905	1190190	1616640	25930	300257	593935	433813	1709927	18554	813719	19051	15835	15416	498001	53311	195140	666779	1418285	43266	14697	14609	199197	45509	200818	287531	997435	1398565	222569	32237	248995	2074616	2011937	487881	254137	1207066	1808500	193982	1044351	4548139	94695	162157	1184844	832489	780521	428707	398030	2509226	3093703	95229	161900	35142	425829	38002	230120	2530454	1293708	386130	229663	146044	440211	75540	434379	14242	218566	171428	18480	45405	650311	326640	642804	115274	3748167	3008718	C00156
467183	812339	936459	2391326	1125411	925522	1109435	1998327	1067889	2322409	752080	1755447	845504	2606012	2037164	961872	987044	529623	1253163	3212262	2297186	430873	851556	278110	1545528	162032	817346	440973	367031	1843745	2421725	538752	1662134	1340738	1136689	1681314	3287325	1162186	6022136	7050727	7053253	5920636	11477397	2127793	3456103	5985491	5975480	3944871	4964861	3484300	4862163	3998935	1194981	1695729	2674217	4027613	2563379	3565299	5803024	4871867	5378610	3968575	1368997	2537882	2040133	2650436	5012077	2311773	3070916	4902052	2080338	5724154	2055662	2431338	2908022	11077742	5811026	C00642
461612	1307105	544086	87633	433149	3797550	746316	1366027	674514	4173560	2339948	1159385	1403590	5991196	1950688	1406675	1678074	2419598	583773	2063971	2931989	781070	1691961	985353	1706916	865182	985843	1083175	850370	1573856	6182346	822964	3965674	914096	2102912	2800187	9482237	1337053	10262660	12418031	2695822	122093	10955380	854308	809551	13258157	6353301	18986082	2732705	2422500	6474562	11959333	2450741	4525180	7159144	9145059	2636887	15424868	6161043	2303692	7906164	1309609	1397667	2213477	2894692	170055	7101678	821344	1755023	5396238	1800563	4564607	17018181	15915577	8697512	9091943	10585953	C00431
2460063	6770514	6675694	6973629	8611148	11012536	6869258	7014487	3685847	3939127	4099868	4859019	5585235	10511537	7703814	1798892	4167427	2766710	6809485	7215972	4572575	3574604	5733076	3161712	3759460	1045556	5124354	1937363	2056848	3991909	5834818	3901363	6061987	2368392	7335583	4932454	8603832	1766727	26618998	23827850	23683390	32619801	23926239	27770564	26503495	13119709	11067357	22315580	26058972	7031830	13332444	10007375	19476773	10922790	14919536	16875492	22329354	24524531	16736904	16555016	26817956	14154834	8146258	22575947	3629745	12309653	8746283	5683960	5285035	14793198	7935939	9886553	17118026	19435564	8509969	19281472	30325411	C05635
2501677	6471627	4952316	4433098	5101696	6170682	5208368	4340506	5616002	4925111	2276297	3820779	3923334	12823991	5234898	1346010	3172740	1758999	3408795	3785914	4277816	3755591	5025287	2395142	4253469	524882	980047	2307299	1475981	4723782	8504146	3022232	3157539	3210007	5814330	5019952	455295	1074522	1841739	913953	837779	1329544	12503165	881362	1024278	830839	2433159	928780	1026195	127727	1074518	625201	1287118	222390	1181095	1087382	2211087	115234	566323	89558	1271486	265585	170448	1294731	4357398	1817879	591421	408815	614868	633941	157113	1312664	3308477	193715	555654	121035	1701538	C02522
434706	1556757	989553	2623566	603348	1809805	1296189	108575	419960	1309232	1485689	1873029	77980	1059872	95168	530503	110693	478555	264354	359469	492640	909976	1836686	76542	1202857	407950	67208	507863	64572	282496	1443233	74151	888132	792838	1204482	1562728	830559	466972	1159117	1721437	115000	1778619	3105146	365876	460496	602551	79747	1388170	1263092	88409	300622	1782782	412128	93844	516481	527214	262160	1065820	150774	497053	368146	164231	83528	856682	408220	2971576	109298	51693	99764	715758	718131	1003400	6289782	1220988	993632	549666	802762	C01020
30794353	57903338	25912340	61849453	38886584	54906563	29556477	24161329	23346401	90950585	52771309	43644609	37166036	82022503	41100611	5275747	49996464	18916247	12597324	25949037	39827680	58169972	22073700	29179014	23388093	12440685	11579176	32126262	24819204	27171474	49567824	15267164	28025929	30757959	43432722	42000004	12875161	11803031	34961339	70095296	24195683	10053133	54442878	8683725	6439573	45909656	30884745	31350547	29582420	15083690	18913057	25070929	6928644	5824231	42894636	15762907	14397232	14708031	6373984	5247143	14682282	3115272	21268266	15031513	53001620	27462634	19687229	11853904	3879143	13391138	4881635	28141308	28305219	19946236	4775850	20572065	19166856	C00216
