#OTU ID	A11_4	A11_2	A11_1	N5old_4	A9_3	C1_1	A11_3	C4_3	N5old_3	N5old_2	A9_2	C4_1	C1_2	A9_1	N5_2	A24_1	C4_2	A24_2	A9_4	C1_3	A24_3	A24_4	N5_3	N5_1	C1_4	C4_4	N5old_1	A3_2	A3_3	A17_2	A17_4	A3_4	A17_3	A17_1	A3_1
573061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
323477	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
298288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
320786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	8
249571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
818777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
550727	2	0	2	146	199	135	1	420	210	78	370	326	130	153	72	99	415	330	255	263	337	250	190	302	255	54	104	2348	394	94	626	340	110	226	580
358639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
844006	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	10	0	0	20	0	0	0
4395462	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
554086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
766113	0	0	0	8	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0	0	0	0	0	0	0	0
362342	4	2	4	0	0	0	3	0	0	0	1	0	0	0	0	5	0	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0
573110	0	0	0	7	5	0	1	1	1	5	11	0	0	7	3	0	0	0	15	0	0	0	13	5	0	0	4	25	8	19	9	24	14	20	0
879327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
299858	3	1	3	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
199692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
302902	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
