OTU	LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59
264325	11	55	25	50	41	42	0	3	45	60	42	78	47	20	17	16	23	56	23	14	40	15	35	111	2	2	80	0.5	0	77	0	60	28	70	17	30	73	0	43	48	24	1	3	10	6	56	94	8	28	49	19	28	111	94	4	16	18.5	8	102	51.5	11.5	24	58	77	70.5	64	4.5	60	142	0	0	18	11	8	5	0	0
4480176	3	0	0	0	0	0	0	0	0	1	17	0	85	3	0	9	1	2	0	7	0	4	1	0	0	0	1	20	7.5	0	0	18	2	0	12	0	0	9	2	1	0	0	0	11	18	0	0	2	0	12	0	0	0	0	3	3	12	0	1	0	6.5	4	0	0	1.5	47	0	4.5	0	8	5	0	0	1	5	0	0
179548	44	41	27	26	30	48	6	5	25	22	9	45	19	16	35	21	28	49	17	11	29	23	39	21	16	104	27	39.5	21.5	4	13	39	79	49	9	31	31	27	38	39	53	0	90	19	0	25	45	21	27	6	119.666666666667	132	49	78	9	12	18.5	35.5	38	51	59	56	27.5	42	28	28	145	21.5	58	70	39	101	43	45	26	43	43
258957	12	23	10	31	23	26	0	2	13	13	3	39	15	3	12	5	1	38	11	0	13	13	14	22	4	8	37	11	4	2	8	28	8	39	7	5	29	3	27	19	2	0	5	0	0	5	21	3	1	6	5.33333333333333	4	3	11	2	0.5	0.5	0.5	8	9	0	5.5	22	7	3.5	3	13.5	6.5	2	1	2.5	4	0	0	0	3	6
1136443	17	8	29	14	21	14	68	38	20	18	1	7	5	37	128	18	10	24	2	7	24	27	17	28	2	58	5	16.5	39	62	21	4	13	5	15	23	5	36	18	8	39	0	48	1	0	12	12	1	1	2	83.3333333333333	93	0	18	6	19	25.5	13	10	22	4	15	3.5	7.5	2.5	6	87.5	7	18	2	9	42	42	13	0	36	78
4449518	456	274	198	271	218	338	694	143	217	426	257	325	358	109	143	143	232	285	35	149	249	184	285	246	132	381	330	532	505.5	79	492	210	195	400	392	284	332	721	282	393	205	1	868	11	1	13	215	23	72	67	203	82	272	398	132	67	7.5	108	154	110	85	158.5	208	270.5	140.5	281	559.5	304.5	206	318	359.5	62	261	52	5	437	191
332865	4	2	1	4	3	3	1	0	8	0	0	1	3	4	2	0	1	0	6	0	1	2	0	2	0	7	2	1.5	1	3	0	0	2	0	5	1	0	0	1	2	2	0	1	0	0	0	0	0	0	0	8.33333333333333	5.5	0	1	2	1	5	2	4	5.5	0.5	0	3	1	0	1	2.5	1	1	2	0	0	22	0	0	3	3
162539	87	398	185	283	248	334	0	30	276	168	180	525	363	162	156	55	111	274	38	58	240	156	210	402	2	21	462	1.5	2	7	0	267	173	524	102	237	421	0	303	418	0	1	19	0	0	0	86	2	45	12	9.33333333333333	7	23	1	0	8	0	1	0	0.5	0.5	57.5	236.5	72.5	26.5	82	36.5	16.5	13	0	0	25	44	17	2	1	0
835900	61	122	99	130	129	157	0	20	72	217	339	133	123	45	142	17	134	182	8	72	106	35	149	114	1	10	176	0.5	0.5	157	0	152	73	184	29	90	130	0	224	142	29	1	24	13	22	62	137	78	477	173	100.333333333333	65	188	2	0	20	9.5	30	111	22.5	98	197	76	30	87	246	24.5	90.5	230	0	0	5	1	1	0	0	0
209028	4	3	6	3	2	2	0	8	2	4	11	3	10	8	9	4	5	9	13	0	5	5	6	4	8	3	2	0	0	10	0	3	12	2	0	3	1	0	3	6	8	0	0	2	0	0	0	1	0	0	0.333333333333333	1	2	6	0	0.5	0	1	7	0.5	0	1	0.5	1	0.5	1	0	0	1	0	0	0	0	1	0	0	0
