met	KEGG
phpyr[c]	C00166
phyQ[c]	C02059
pe120[c]	NA
pe140[c]	NA
pe141[c]	NA
pe160[c]	NA
pe161[c]	NA
pe180[c]	NA
pe181[c]	NA
4r5au[c]	NA
2mahmp[c]	NA
4ppan[c]	C03492
ppap[c]	NA
4ppcys[c]	C04352
34hpp[c]	C01179
pppn[c]	NA
fpram[c]	C04640
prbamp[c]	NA
prfp[c]	NA
4hpro_LT[c]	C01157
1p3h5c[c]	C04281
prodthl[c]	NA
prodslfd[c]	NA
skm5p[c]	NA
ps120[c]	NA
ps140[c]	NA
ps141[c]	NA
ps160[c]	NA
ps161[c]	NA
ps180[c]	NA
ps181[c]	NA
psai15[c]	NA
peai15[c]	NA
psai17[c]	NA
peai17[c]	NA
psi14[c]	NA
pei14[c]	NA
psi15[c]	NA
pei15[c]	NA
psi16[c]	NA
pei16[c]	NA
psi17[c]	NA
pei17[c]	NA
pser_L[c]	C01005
pyam5p[c]	C00647
pydam[c]	C00534
pydx[c]	C00250
pydxn[c]	C00314
raffin[c]	NA
sucr[c]	C00089
ru5p_L[c]	NA
ribflv[c]	C00255
dmlz[c]	NA
rbl_D[c]	C00309
xu5p_D[c]	C00231
lipoate[c]	C16241
CE5656[c]	C16238
C11821[c]	C11821
rmn[c]	NA
rml[c]	NA
rml1p[c]	NA
xylu_L[c]	C00312
xu1p_L[c]	NA
sucorn[c]	NA
sbt_D[c]	C00794
sbt6p[c]	NA
sl26da[c]	NA
sl2a6o[c]	NA
seln[c]	C01528
selnp[c]	C05172
2s5epchc[c]	C16519
sucglu[c]	NA
sucgsa[c]	NA
dscl[c]	NA
scl[c]	NA
sheme[c]	NA
skm[c]	NA
np2msucc[c]	NA
np2msucccoa[c]	C14116
N1aspmd[c]	C00612
n8aspmd[c]	C01029
o2s[c]	C00704
stys[c]	NA
sucbz[c]	NA
2shchc[c]	NA
suc6p[c]	NA
tartr_L[c]	NA
glyc_R[c]	C00258
oxglyc[c]	NA
tartr_M[c]	NA
taur[c]	C00245
aacald[c]	NA
dtdp4addg[c]	NA
dtdp4aaddg[c]	NA
dtdp4d6dg[c]	C11907
dtdp4d6dm[c]	C11907
dtdprmn[c]	C03319
myrstca1[c]	NA
myrstcaacgam[c]	NA
palmtca1[c]	NA
palmtcaacgam[c]	NA
sttca1[c]	NA
sttcaacgam[c]	NA
ai15tca1[c]	NA
ai15tcaacgam[c]	NA
ai17tca1[c]	NA
ai17tcaacgam[c]	NA
i14tca1[c]	NA
i14tcaacgam[c]	NA
i15tca1[c]	NA
i15tcaacgam[c]	NA
i16tca1[c]	NA
i16tcaacgam[c]	NA
i17tca1[c]	NA
i17tcaacgam[c]	NA
thm[c]	C00378
cyan[c]	C01326
tcynt[c]	C01755
tmao[c]	NA
tma[c]	NA
thmmp[c]	C01081
peptmet_L[c]	NA
peptmetox_L[c]	NA
tre6p[c]	NA
tre[c]	C01083
trp_L[c]	C00078
tym[c]	C00483
u3hga[c]	NA
uamag[c]	NA
ugmd[c]	NA
uacmam[c]	NA
uacmamu[c]	NA
udpacgal[c]	C00203
u3aga[c]	NA
uaccg[c]	NA
uama[c]	NA
uamr[c]	NA
udpgalfur[c]	NA
udpglcur[c]	C00167
urdglyc[c]	NA
uppg3[c]	C01051
HC01609[c]	C05766
cpppg1[c]	C05768
oxur[c]	NA
val_L[c]	C00183
xyl_D[c]	NA
xylu_D[c]	C00310
psd5p[c]	NA
zn2[c]	NA
dnarep[c]	NA
proteinsynth[c]	NA
HC01434[c]	C05379
HC01651[c]	NA
HC01668[c]	C05983
urate[c]	C00366
pacald[c]	C00601
HC01710[c]	NA
HC01652[c]	C05923
cl[c]	C00698
rnatrans[c]	NA
2dmmq8[e]	NA
2obut[e]	C00109
34dhmald[c]	C05577
34dhoxpeg[c]	C05576
4abz[e]	NA
acaadpdp[c]	C12987
acaadpsal[c]	C12988
m12dahglyc[c]	NA
diglcpgai17[c]	NA
prl45tca[c]	NA
prl45tcaala[c]	NA
btoh[c]	C06142
arsenb[e]	NA
arsenb[c]	NA
bamppald[c]	C05665
plasmetha[c]	C04756
cdpea[c]	C00570
M00512[c]	C03454
acbdma14gapuc[c]	NA
cdpglyc[c]	NA
cro4[c]	NA
cro4[e]	NA
26dap_M[e]	NA
t3c5ddeceACP[c]	NA
cddec5eACP[c]	NA
t3c9palmeACP[c]	NA
t3c11vaceACP[c]	NA
gam[e]	C00329
gua[e]	C00242
pheme[e]	C00032
q8[e]	NA
ribflv[e]	C00255
sheme[e]	NA
forglu[c]	C00439
frmd[c]	C00488
rbflvrd[c]	NA
5forthf[c]	C00664
ttc_ggdp[c]	C11356
M01966[c]	C01231
oxa[c]	C00209
m12dihglyc[c]	NA
diglcpgi17[c]	NA
im4act[c]	C05130
im4ac[c]	C02835
2ins[c]	NA
HC00900[c]	C02170
msa[c]	C00222
Nacasp[c]	C01042
ethamp[c]	C00346
prl45tcaglc[c]	NA
retinol[c]	C00473
retinal[c]	C00376
seahcys[c]	C05692
selhcys[c]	C05698
succitr_L[c]	NA
m12dsglyc[c]	NA
diglcpg180[c]	NA
sttcaglc[c]	NA
ai17tcaglc[c]	NA
i17tcaglc[c]	NA
sttcaala_D[c]	NA
ai17tcaala_D[c]	NA
i17tcaala_D[c]	NA
tcam[c]	NA
glyc45tcaala_D[c]	NA
glyc45tcaglc[c]	NA
glyc45tca[c]	NA
xol7ah3[c]	C05444
xol7ah2al[c]	C05445
1p4h2cbxl[c]	NA
25dop[c]	NA
2ddpent[c]	NA
2hb[c]	C05984
HC01376[c]	C05118
34dhb[c]	NA
3cmuc[c]	NA
3abutcoa[c]	C05231
3hpcoa[c]	C05668
3hpp[c]	C01013
2m1hptpp[c]	NA
2m1hbtpp[c]	C15978
3mop[e]	C03465
5cmhmsa[c]	C04642
5cm2hmu[c]	NA
3m1hbtpp[c]	NA
5c2o3ed[c]	C04052
2hh24dd[c]	C05600
abt[c]	C00532
acgam[c]	C00140
3mb2coa[c]	C03069
glygn2[e]	NA
glygn4[e]	NA
arab_D[e]	NA
arab_D[c]	NA
btd_RR[c]	NA
actn_R[c]	NA
cdpglc[c]	C00501
cdpddg[c]	NA
2c25dho[c]	C01278
5odhf2a[c]	NA
copre8[c]	C11545
cobya[c]	C05773
2mpdhl[c]	C04424
dhnacoa[c]	C15547
25drapp[c]	NA
23dpg[c]	C01159
Tyr_ggn[e]	NA
fol[e]	C00504
glygn5[e]	NA
gthrd[e]	C00051
inost[e]	C00137
mqn8[e]	C00828
ni2[e]	NA
pphtd[c]	NA
imogly[c]	C15809
urcan[c]	C00785
hmgcoa[c]	C00356
4izp[c]	C03680
HC01377[c]	C05119
3mgcoa[c]	C03231
mercplac[c]	C05823
mercppyr[c]	C00957
mev_R[c]	C00418
5pmev[c]	C01107
ni2[c]	NA
atnodp[c]	C04145
2ohed[c]	C03063
24dhhed[c]	C06201  
2ombzl[c]	NA
2ommbl[c]	NA
pre1[c]	C15527
pre8[c]	C06408
hgbyr[c]	C06399
phytn[c]	NA
15phytn[c]	NA
cholcoa[c]	C01794
sarcs[c]	C00213
btd_SS[c]	NA
actn_S[c]	NA
ptth[c]	C00831
HC01231[c]	C04079
2hmc[c]	NA
oxalc[c]	NA
dkdi[c]	NA
5dgclur[c]	NA
d5kg[c]	C06892
lac6p[c]	C05396
dgal6p[c]	NA
n6all26d[c]	C04390
acamoxm[c]	NA
chtbs[c]	NA
4gudbd[c]	NA
4gubut[c]	NA
pad[c]	NA
ad[c]	NA
aa[c]	NA
acryl[c]	C00511
bzam[c]	NA
bz[c]	C00180
cellb[e]	NA
chols[e]	NA
d5kgp[c]	C06893
dextrin[c]	C00721
dextrin[e]	C00721
2omhmbl[c]	NA
5dpmev[c]	C01143
ind3ac[e]	C00954
inulin[e]	C03323
kesto[e]	NA
kestopt[e]	NA
kestottr[e]	NA
stys[e]	NA
ind3ac[c]	C00954
ind3acam[c]	NA
inulin[c]	C03323
isomal[c]	C00252
madg[c]	NA
mbdg[c]	NA
ccmuac[c]	C02480
mucl[c]	C04105
nforglu[c]	NA
myrstcaglc[c]	NA
palmtcaglc[c]	NA
ai15tcaglc[c]	NA
i14tcaglc[c]	NA
i15tcaglc[c]	NA
i16tcaglc[c]	NA
myrstcaala_D[c]	NA
palmtcaala_D[c]	NA
ai15tcaala_D[c]	NA
i14tcaala_D[c]	NA
i15tcaala_D[c]	NA
i16tcaala_D[c]	NA
2kmb[c]	C01180
2mmal[c]	NA
2mmale[c]	NA
e3mmal[c]	NA
2aeppn[c]	C03557
ppaca[c]	C03167
ncptrc[c]	C00436
strch1[e]	NA
strch2[e]	NA
amylopect900[e]	C00317
amylose300[e]	NA
arabttr[e]	NA
arabinan101[e]	C02474
arabinogal[e]	 C00569
hspg_degr_4[e]	NA
hspg_degr_5[e]	NA
hspg_degr_9[e]	NA
hspg_degr_10[e]	NA
hspg_degr_3[e]	NA
hspg_degr_8[e]	NA
butpi[c]	C02527
chtbs[e]	NA
cspg_a_degr[e]	NA
acgalglcur[e]	NA
cspg_b_degr[e]	NA
acgalidour2s[e]	NA
cspg_c_degr[e]	NA
cspg_a[e]	NA
cspg_ab_rest[e]	NA
cspg_b[e]	NA
cspg_c[e]	NA
cspg_c_rest[e]	NA
dextran40[e]	C00372
teich_45_BS[c]	NA
2omfuc[e]	NA
2omxyl[e]	560157
3ddlhept[e]	NA
Ser_Thr[e]	NA
T_antigen[e]	NA
Tn_antigen[e]	C04383
acerA[e]	NA
acgalidour[e]	NA
apio_D[e]	C01488
core2[e]	NA
core3[e]	NA
core4[e]	NA
core5[e]	NA
core6[e]	NA
core7[e]	NA
core8[e]	NA
dsT_antigen[e]	NA
f1a[e]	NA
gam26s[e]	NA
gncore1[e]	NA
gncore2[e]	NA
ha[e]	NA
ha_deg1[e]	NA
ha_pre1[e]	C04794
homogal[e]	NA
hspg[e]	NA
hspg_degr_1[e]	NA
hspg_degr_11[e]	NA
hspg_degr_12[e]	NA
hspg_degr_13[e]	NA
hspg_degr_14[e]	NA
hspg_degr_15[e]	NA
hspg_degr_2[e]	NA
hspg_degr_6[e]	NA
hspg_degr_7[e]	NA
hspg_rest[e]	NA
idour[e]	C06472
isobut[e]	C02632
isocapr[e]	NA
isoval[e]	C08262
kdo[e]	NA
levan1000[e]	NA
levanb[e]	NA
levanttr[e]	NA
levantttr[e]	NA
mannan[e]	NA
meoh[e]	C00132
pect[e]	NA
pecticgal[e]	NA
pullulan1200[e]	NA
raffin[e]	NA
rhamnogalurI[e]	G09800
rhamnogalurII[e]	G06506
sT_antigen[e]	NA
sTn_antigen[e]	NA
levanb[c]	NA
gam[c]	C00329
hphaccoa[c]	NA
isobut[c]	C02632
isocapr[c]	NA
isoval[c]	C08262
36dahx[c]	C01142
4hphac[c]	C00642
diglcpg140[c]	NA
diglcpg160[c]	NA
diglcpgai15[c]	NA
diglcpgi14[c]	NA
diglcpgi15[c]	NA
diglcpgi16[c]	NA
diact[c]	NA
actn_R[e]	NA
ade[e]	C00147
diact[e]	NA
adcobhex[c]	C06506
appl[c]	C05771
applp[c]	C04122
chor[e]	NA
cmpacna[c]	C00128
copre2[c]	C11538
copre3[c]	C11539
copre4[c]	C11540
copre5[c]	C11541
copre6[c]	C11542
codhpre6[c]	C11543
co2dam[c]	C06504
dmlarg[c]	NA
dma[c]	NA
dgchol[e]	C05466
gchola[e]	C01921
ncam[e]	C00153
ocdcea[e]	C00712
tchola[e]	NA
tdchola[e]	C05465
pre4[c]	C06407
pre5[c]	C06416
pre3b[c]	C06406
pre3a[c]	C05772
pre6a[c]	C06320
pre6b[c]	C06319
hgbam[c]	C06503
thrp[c]	NA
12dgr180[e]	NA
3hppnl[c]	C00969
13ppd[c]	C02457
13ppd[e]	C02457
cdec3eACP[c]	NA
3ocddec5eACP[c]	NA
3ocmrs7eACP[c]	NA
3ocpalm9eACP[c]	NA
3ocvac11eACP[c]	NA
4hdxbutn[c]	C00989
phenol[c]	NA
dnacsn[c]	NA
dna5mtc[c]	C02967
mqn7[c]	C00828
2dmmq7[c]	C05818
amp[e]	C00020
arabinoxyl[e]	G03769
bhb[e]	C01089
cala[c]	C02642
3uib[c]	C05100
2ameph[c]	C03557
mqn7[e]	C00828
laccoa[c]	C00827
prpncoa[c]	C00894
12ethd[c]	 C01380
lald_D[c]	C00937
12ppd_R[c]	C00583
2mnptl[c]	NA
5oxpro[c]	C01879
C02442[c]	C02442
salc[c]	NA
selcyst[c]	C05699
dheas[c]	C04555
dhea[c]	C01227
ppal[c]	NA
34dhphe[e]	C00355
34dhphe[c]	C00355
3hcddec5eACP[c]	NA
3hcmrs7eACP[c]	NA
t3c7mrseACP[c]	NA
3hcpalm9eACP[c]	NA
3hcvac11eACP[c]	NA
dopa[c]	C03758
5htrp[c]	C01017
srtn[c]	C00780
5htrp[e]	C01017
5hxkyn[c]	C05651
5hxkynam[c]	C05638
cholp[c]	C00588
copre5b[c]	NA
dopa[e]	C03758
hista[e]	C00388
srtn[e]	C00780
trypta[e]	C00398
mmet[c]	NA
hista[c]	C00388
trypta[c]	C00398
gt1b_hs[c]	NA
gd1b_hs[c]	NA
peamn[c]	C05332
rb15bp[c]	NA
1h2npt[c]	NA
12npthldl[c]	NA
25d5o2a[c]	NA
2hydogcoa[c]	C03058
glutaccoa[c]	C02411
2hyoxplac[e]	C05852
2hyoxplac[c]	C05852
3hphac[e]	NA
3hphac[c]	NA
34dhpha[e]	C01161
34dhpha[c]	C01161
hgentis[c]	C00544
3hbbut[c]	NA
4hpro_D[c]	NA
abt_D[c]	C01904
caro[c]	C02094
biocyt[c]	C05552
3aib_D[c]	C01205
catechol[c]	C00090
dhmtp[c]	C15606
4hphac[e]	C00642
Lkynr[e]	C00328
phpyr[e]	C00166
pyr[e]	C00022
octa[c]	C06423
hmgth[c]	NA
Sfglutth[c]	C01031
Lfmkynr[c]	C02700
Lkynr[c]	C00328
mmtsa[c]	C06002
hLkynr[c]	C03227
3hanthrn[c]	C00632
4hmsaclt[c]	NA
4hmcachl[c]	NA
3aib[c]	C03284
HC00319[c]	C00383
mnl[c]	NA
hcit[c]	C01251
hacon_C[c]	NA
mcrea[c]	NA
4mcat[c]	NA
3oxoadp[c]	C00846
35cgmp[c]	C00942
thbpt4acam[c]	C15522
pser_D[c]	C02532
saccrp_L[c]	C00449
HC02121[c]	C14180
3msaclt[c]	NA
3mcat[c]	NA
lanost[c]	C01724
Ssq23epx[c]	C01054
tcb[c]	C19806
HC02098[c]	C16220
HC02099[c]	C16221
2acamsucc[c]	C01215
4hbald[c]	NA
fmfur[c]	NA
h4mpt[c]	C01217
mfur[c]	NA
5fth4mpt[c]	C01274
chlphyllide[c]	C02139
chloropha[c]	C05306
HC00319[e]	C00383
malylcoa[c]	NA
coF420[c]	NA
mtethnpn[c]	NA
coF420h[c]	NA
mtth4mpt[c]	C04330
mppp9[c]	NA
mppp9mme[c]	C04536
hmppp9mme[c]	NA
oxomppp9mme[c]	NA
dvprotochloroph[c]	C1183
5mdr1p[c]	C04188
5mdru1p[c]	C04582
pqq[c]	NA
pqqh2[c]	NA
protochloroph[c]	NA
up4g[c]	C06198
xyllac_D[c]	NA
xylt_D[c]	NA
2d3dxylt[c]	NA
m12dapglyc[c]	NA
rbflvrd[e]	NA
Lcystin[e]	C00491
gthox[e]	C00127
m12dipglyc[c]	NA
m12ditglyc[c]	NA
m12dixglyc[c]	NA
m12dmglyc[c]	NA
m12dpglyc[c]	NA
adchac[c]	C17687
adchac[e]	C17687
alchac[c]	NA
alchac[e]	NA
3dhcacoa[c]	NA
dcholcoa[c]	C05337
3dhcdcacoa[c]	NA
udoholcoa[c]	C17689
3dhudcacoa[c]	NA
3dh4cacoa[c]	NA
3dh4cdcacoa[c]	NA
3dh4udcacoa[c]	NA
3dh4chol[c]	NA
3dh46dchol[c]	NA
3dh4cdchol[c]	NA
3dh46lchol[c]	NA
3dh4udchol[c]	NA
C02528[c]	C02528
HC02194[c]	C07880
3dh4dchol[c]	NA
3dhadchol[c]	NA
3dh4lchol[c]	NA
3dhalchol[c]	NA
3dhdchol[c]	NA
3dhlchol[c]	NA
dchac[c]	C04483
HC02191[c]	C03990
HC02194[e]	C07880
3dhchol[e]	NA
3dhcdchol[e]	NA
dchac[e]	C04483
HC02191[e]	C03990
icdchol[e]	C17660
isochol[e]	NA
lanost[e]	C01724
tet[e]	NA
sql[c]	C00751
so3[e]	C00094
3btcoa[c]	NA
4hbutcoa[c]	C11062
mecfsp[c]	C06020
cfesp[c]	C06021
srbL1p[c]	C02888
galmannan[e]	G10130
pro_D[c]	C00763
C02147[c]	C02147
n2[c]	NA
Cit_Mg[e]	NA
Cit_Mg[c]	NA
n2[e]	NA
acmana[e]	C00645
lmn2[e]	NA
lmn30[e]	NA
acmama[c]	NA
acmam[c]	NA
xyluglc[e]	NA
no[e]	C00533
ab6p3hxl[c]	NA
oxa[e]	C00209
ispre[c]	NA
dpcoa[e]	C00882
ispre[e]	NA
12dhchol[e]	NA
dtmp[e]	C00364
ch4s[c]	C00409
ch4s[e]	C00409
mobd[e]	NA
mobd[c]	NA
35dacap[c]	NA
comSScob[c]	NA
dhmphze[c]	NA
com[c]	C03576
cob[c]	NA
mphze[c]	NA
xylt[c]	C00379
btd_RR[e]	NA
dkmpp[c]	C15650
hkmpp[c]	C15651
quint[c]	NA
xylan[e]	G00279
1p2cbxl[c]	C03564
bglc[e]	NA
glcmannan[e]	G11598
lichn[e]	C00478
pime[c]	NA
pime[e]	NA
6pthp[c]	C03684
n2o[e]	NA
oaa[e]	C00036
bz12diol[c]	C06321
uchol[e]	C17644
3hcinnm[e]	NA
4mlacac[c]	C01036
prgnlone[c]	C01953
prgstrn[c]	C00410
17ahprgnlone[c]	C05138
17ahprgstrn[c]	C01176
mh4mpt[c]	C04488
2hydog[c]	NA
glutar[e]	C00489
h2o2[e]	C00027
sacald[c]	C00593
xu1p_D[c]	NA
oxam[c]	NA
HC00591[c]	C00940
aclys[c]	NA
dhsql[c]	NA
44dpnspr[c]	NA
L2aadp[c]	C00956
acaadp[c]	NA
oazur[c]	NA
razur[c]	NA
dttp[e]	C00459
lyx_L[e]	NA
lyx_L[c]	NA
cysam[c]	C01678
retn[c]	C00777
6adxft[c]	C20773
ftz[c]	C16999
3cvobz[c]	C20772
dh6na[c]	C17018
cdhxft[c]	C17017
dhxft[c]	C17010
5apentam[c]	NA
mql7[c]	C05819
nwharg[c]	C05933
Lpipecol[c]	C00408
mma[c]	C00218
n2o[c]	NA
arachcoa[c]	C02041
arach[c]	C06425
ab14lac_L[c]	NA
gdpmanur[c]	NA
rbt[c]	C00474
13dampp[c]	C00986
34dhpac[c]	C04043
nmptrc[c]	C02723
1mpyr[c]	C06178
aadpsae[c]	C05535
hololys2[c]	NA
l2aadipad[c]	C05560
arabt_L[c]	NA
indpyr[c]	NA
id3acald[c]	C00637
starch1200[e]	NA
