noiseLevel	SimRun	TimePoint	niceLab	compound	value
1	10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.203424191248351
1	10	577	3-methyl-2-oxopentanoate	3mop[env]	0
1	10	577	4-aminobutanoate	4abut[env]	0.0536836866106242
1	10	577	acetate	ac[env]	2.86154857232825
1	10	577	l-alanine	ala_L[env]	0.0134990698446717
1	10	577	amylopectin; 900 repeat units	amylopect900[env]	0.00001582205206234
1	10	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000475980592319743
1	10	577	l-argininium(1+)	arg_L[env]	0.0192304493847816
1	10	577	l-asparagine	asn_L[env]	0.0089124398964038
1	10	577	l-aspartate(1-)	asp_L[env]	0.00921712062423006
1	10	577	biotin	btn[env]	0.209565059767919
1	10	577	butyrate	but[env]	3.6881059114436
1	10	577	calcium(2+)	ca2[env]	21.3932550906365
1	10	577	cob(i)alamin	cbl1[env]	0.210723101328258
1	10	577	cellulose	cellul[env]	0.000505981467521309
1	10	577	l-cysteinylglycine	cgly[env]	0.0202548953729225
1	10	577	choline	chol[env]	0.0106092463517065
1	10	577	citrate	cit[env]	0.00402361440939082
1	10	577	chloride	cl[env]	21.1558422577606
1	10	577	carbon dioxide	co2[env]	7.31166859694509
1	10	577	co2+	cobalt2[env]	20.9927570085548
1	10	577	cytosine	csn[env]	0.000000000218159581386014
1	10	577	cu2+	cu2[env]	21.1029649771498
1	10	577	l-cysteine	cys_L[env]	0.0924232220304572
1	10	577	ethanol	etoh[env]	0.00495495513760655
1	10	577	fe2+	fe2[env]	21.2877586411873
1	10	577	fe3+	fe3[env]	21.1100697401926
1	10	577	folate	fol[env]	0.207204543675319
1	10	577	formate	for[env]	4.12311567724003
1	10	577	d-fructose	fru[env]	0.00978128573661251
1	10	577	d-galactose	gal[env]	0.0117541526719403
1	10	577	d-glucose	glc_D[env]	0.0096925818767144
1	10	577	l-glutamine	gln_L[env]	0.0114150816407629
1	10	577	l-glutamate(1-)	glu_L[env]	0.00868836619113967
1	10	577	glycine	gly[env]	0.0221185485108237
1	10	577	glycerol	glyc[env]	0.0108838697178124
1	10	577	guanine	gua[env]	0.000000000356199198154236
1	10	577	hydrogen	h2[env]	0.689495865945931
1	10	577	water	h2o[env]	2129.75654126544
1	10	577	hydrogen sulfide	h2s[env]	22.1152617281384
1	10	577	proton	h[env]	0.341996801837564
1	10	577	hexadecanoate (n-c16:0)	hdca[env]	0.120313577105584
1	10	577	l-histidine	his_L[env]	0.273739575390146
1	10	577	l-isoleucine	ile_L[env]	0.273889418570137
1	10	577	indole	indole[env]	0.156572449394041
1	10	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
1	10	577	potassium	k[env]	20.9311745156833
1	10	577	l-leucine	leu_L[env]	0.140125211127898
1	10	577	l-lysinium(1+)	lys_L[env]	0.198550991959545
1	10	577	maltotriose	malttr[env]	0.00434259572833712
1	10	577	l-methionine	met_L[env]	0.354036426517949
1	10	577	magnesium	mg2[env]	20.9566486999897
1	10	577	mn2+	mn2[env]	20.536514846736
1	10	577	molybdate	mobd[env]	21.5252633975604
1	10	577	menaquinone 7	mqn7[env]	0.20791723080689
1	10	577	sodium	na1[env]	21.0920480499159
1	10	577	nicotinate	nac[env]	0.205936886890368
1	10	577	ammonium	nh4[env]	12.8010272244392
