noiseLevel	SimRun	TimePoint	niceLab	compound	value
5	10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.209465165269203
5	10	577	3-methyl-2-oxopentanoate	3mop[env]	0
5	10	577	4-aminobutanoate	4abut[env]	0.053414109451828
5	10	577	acetate	ac[env]	2.73964067802841
5	10	577	l-alanine	ala_L[env]	0.0134798147622172
5	10	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000161576275144319
5	10	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000484019877473679
5	10	577	l-argininium(1+)	arg_L[env]	0.018435152905951
5	10	577	l-asparagine	asn_L[env]	0.00992446776770551
5	10	577	l-aspartate(1-)	asp_L[env]	0.00985317791703527
5	10	577	biotin	btn[env]	0.202088844587688
5	10	577	butyrate	but[env]	3.78428960251601
5	10	577	calcium(2+)	ca2[env]	21.8289422006708
5	10	577	cob(i)alamin	cbl1[env]	0.209097191605405
5	10	577	cellulose	cellul[env]	0.000514439676260044
5	10	577	l-cysteinylglycine	cgly[env]	0.0203504742818126
5	10	577	choline	chol[env]	0.0105292050840905
5	10	577	citrate	cit[env]	0.00380139478288203
5	10	577	chloride	cl[env]	21.7167354356307
5	10	577	carbon dioxide	co2[env]	7.50893714834751
5	10	577	co2+	cobalt2[env]	21.826487104913
5	10	577	cytosine	csn[env]	0.000000000187423182432585
5	10	577	cu2+	cu2[env]	21.2814886347082
5	10	577	l-cysteine	cys_L[env]	0.092584329619128
5	10	577	ethanol	etoh[env]	0.00470539438016635
5	10	577	fe2+	fe2[env]	19.8971830305491
5	10	577	fe3+	fe3[env]	19.3100266443995
5	10	577	folate	fol[env]	0.22977064685954
5	10	577	formate	for[env]	4.0648578143964
5	10	577	d-fructose	fru[env]	0.0096555464087147
5	10	577	d-galactose	gal[env]	0.0112706175292043
5	10	577	d-glucose	glc_D[env]	0.00990019070030912
5	10	577	l-glutamine	gln_L[env]	0.0120000426674357
5	10	577	l-glutamate(1-)	glu_L[env]	0.00894212490416681
5	10	577	glycine	gly[env]	0.0222089608816123
5	10	577	glycerol	glyc[env]	0.0110200181386162
5	10	577	guanine	gua[env]	0.000000000360840179271103
5	10	577	hydrogen	h2[env]	0.723256599472415
5	10	577	water	h2o[env]	1949.04557623511
5	10	577	hydrogen sulfide	h2s[env]	18.9483749680397
5	10	577	proton	h[env]	0.342641073986267
5	10	577	hexadecanoate (n-c16:0)	hdca[env]	0.126059982687185
5	10	577	l-histidine	his_L[env]	0.269746919205111
5	10	577	l-isoleucine	ile_L[env]	0.299910048723901
5	10	577	indole	indole[env]	0.161780951934327
5	10	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
5	10	577	potassium	k[env]	22.2244480999579
5	10	577	l-leucine	leu_L[env]	0.153496177952731
5	10	577	l-lysinium(1+)	lys_L[env]	0.223077189325628
5	10	577	maltotriose	malttr[env]	0.00445811838913042
5	10	577	l-methionine	met_L[env]	0.352548247056131
5	10	577	magnesium	mg2[env]	23.3535565139915
5	10	577	mn2+	mn2[env]	22.0088428900906
5	10	577	molybdate	mobd[env]	23.0608138416526
5	10	577	menaquinone 7	mqn7[env]	0.185910616951393
5	10	577	sodium	na1[env]	21.6011667242307
5	10	577	nicotinate	nac[env]	0.186584221926801
5	10	577	ammonium	nh4[env]	13.1496392437239
5	10	577	octadecanoate (n-c18:0)	ocdca[env]	0.0849216954996208
5	10	577	ornithine	orn[env]	0.00963627438851673
5	10	577	phenylacetate	pac[env]	0.145797017167243
5	10	577	l-phenylalanine	phe_L[env]	0.00528367899702569
5	10	577	protoheme	pheme[env]	0.216641704058378
5	10	577	hydrogenphosphate	pi[env]	2287.43846416656
5	10	577	(r)-pantothenate	pnto_R[env]	0.212496081748134
5	10	577	propionate	ppa[env]	4.70762180212649
5	10	577	l-proline	pro_L[env]	0.0154707191747117
5	10	577	putrescine	ptrc[env]	0.0800579781356126
5	10	577	pyridoxal	pydx[env]	0.412205759900148
5	10	577	pyridoxine	pydxn[env]	0.00595543803400421
5	10	577	ubiquinone-8	q8[env]	0.210909692520832
5	10	577	riboflavin	ribflv[env]	0.203130682625697
5	10	577	selenite	selni[env]	19.9463172089629
5	10	577	l-serine	ser_L[env]	0.0135908596537949
5	10	577	siroheme	sheme[env]	0.238573213525973
5	10	577	sulfate	so4[env]	23.0423786194577
5	10	577	succinate	succ[env]	0.000584081955749694
5	10	577	sucrose	sucr[env]	0.0070378594647755
5	10	577	thiamin	thm[env]	0.210765808285095
5	10	577	l-threonine	thr_L[env]	0.00590780198040977
5	10	577	l-tryptophan	trp_L[env]	0.00440182044922005
5	10	577	tetradecanoate (n-c14:0)	ttdca[env]	0.1331468083012
5	10	577	l-tyrosine	tyr_L[env]	0.154222417689184
5	10	577	uracil	ura[env]	0.142552548672671
5	10	577	l-valine	val_L[env]	0.262481340817939
5	10	577	zinc	zn2[env]	21.2782220176238
5	11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.208463566522045
5	11	577	3-methyl-2-oxopentanoate	3mop[env]	0
5	11	577	4-aminobutanoate	4abut[env]	0.0524457832609661
5	11	577	acetate	ac[env]	2.56828258006576
5	11	577	l-alanine	ala_L[env]	0.0145782397538842
5	11	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000154302085988317
5	11	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000477180865294154
5	11	577	l-argininium(1+)	arg_L[env]	0.0179959581824146
5	11	577	l-asparagine	asn_L[env]	0.00853216129879116
5	11	577	l-aspartate(1-)	asp_L[env]	0.00981134271895559
5	11	577	biotin	btn[env]	0.220916377613112
5	11	577	butyrate	but[env]	3.82091346554636
5	11	577	calcium(2+)	ca2[env]	22.0754588367974
5	11	577	cob(i)alamin	cbl1[env]	0.205930833656202
5	11	577	cellulose	cellul[env]	0.000544772827056758
5	11	577	l-cysteinylglycine	cgly[env]	0.0200135731608055
5	11	577	choline	chol[env]	0.0110050332522009
5	11	577	citrate	cit[env]	0.00386211802271005
5	11	577	chloride	cl[env]	20.7560882742849
5	11	577	carbon dioxide	co2[env]	7.33821667653456
5	11	577	co2+	cobalt2[env]	20.6553283116659
5	11	577	cytosine	csn[env]	0.000000000219476545137562
5	11	577	cu2+	cu2[env]	20.6344706627028
5	11	577	l-cysteine	cys_L[env]	0.0933556437934078
5	11	577	ethanol	etoh[env]	0.00504129514915633
5	11	577	fe2+	fe2[env]	21.3278432562943
5	11	577	fe3+	fe3[env]	22.0968165950499
5	11	577	folate	fol[env]	0.222739093126934
5	11	577	formate	for[env]	4.14776891255107
5	11	577	d-fructose	fru[env]	0.0095431508715644
5	11	577	d-galactose	gal[env]	0.0114494461596727
5	11	577	d-glucose	glc_D[env]	0.00985131047489473
5	11	577	l-glutamine	gln_L[env]	0.0103749780791928
5	11	577	l-glutamate(1-)	glu_L[env]	0.0084259341927334
5	11	577	glycine	gly[env]	0.0221476500380486
5	11	577	glycerol	glyc[env]	0.0101471212237785
5	11	577	guanine	gua[env]	0.00000000034512004405532
5	11	577	hydrogen	h2[env]	0.603005884948443
5	11	577	water	h2o[env]	2080.1225891257
5	11	577	hydrogen sulfide	h2s[env]	21.4513891731527
5	11	577	proton	h[env]	0.336013155075613
5	11	577	hexadecanoate (n-c16:0)	hdca[env]	0.125534281505807
5	11	577	l-histidine	his_L[env]	0.285483059813091
5	11	577	l-isoleucine	ile_L[env]	0.282089191896902
5	11	577	indole	indole[env]	0.160175219044257
5	11	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
5	11	577	potassium	k[env]	20.8781073172204
5	11	577	l-leucine	leu_L[env]	0.155537739747207
5	11	577	l-lysinium(1+)	lys_L[env]	0.217256614450404
5	11	577	maltotriose	malttr[env]	0.00437949444930675
5	11	577	l-methionine	met_L[env]	0.368037542255493
5	11	577	magnesium	mg2[env]	21.2054407434214
5	11	577	mn2+	mn2[env]	19.6920386189059
5	11	577	molybdate	mobd[env]	21.9210799273554
5	11	577	menaquinone 7	mqn7[env]	0.214156863929951
5	11	577	sodium	na1[env]	21.0627246605945
5	11	577	nicotinate	nac[env]	0.197223161207349
5	11	577	ammonium	nh4[env]	12.6667000329426
5	11	577	octadecanoate (n-c18:0)	ocdca[env]	0.0812867554832789
5	11	577	ornithine	orn[env]	0.0101912364155997
5	11	577	phenylacetate	pac[env]	0.16738563927198
5	11	577	l-phenylalanine	phe_L[env]	0.00606297098155513
5	11	577	protoheme	pheme[env]	0.221976709445453
5	11	577	hydrogenphosphate	pi[env]	2219.61651849729
5	11	577	(r)-pantothenate	pnto_R[env]	0.212269514774193
5	11	577	propionate	ppa[env]	4.59666051111951
5	11	577	l-proline	pro_L[env]	0.0160426820343327
5	11	577	putrescine	ptrc[env]	0.0867997042343597
5	11	577	pyridoxal	pydx[env]	0.422063330796171
5	11	577	pyridoxine	pydxn[env]	0.00645495010508211
5	11	577	ubiquinone-8	q8[env]	0.214298988276558
5	11	577	riboflavin	ribflv[env]	0.22234857783071
5	11	577	selenite	selni[env]	21.4232827709537
5	11	577	l-serine	ser_L[env]	0.0152726033098209
5	11	577	siroheme	sheme[env]	0.2157997767828
5	11	577	sulfate	so4[env]	20.594800016336
5	11	577	succinate	succ[env]	0.000543244800669879
5	11	577	sucrose	sucr[env]	0.00674306031497857
5	11	577	thiamin	thm[env]	0.195752510776647
5	11	577	l-threonine	thr_L[env]	0.00611916835239119
5	11	577	l-tryptophan	trp_L[env]	0.00441599136287943
5	11	577	tetradecanoate (n-c14:0)	ttdca[env]	0.135191360764336
5	11	577	l-tyrosine	tyr_L[env]	0.179480921128253
5	11	577	uracil	ura[env]	0.146441610306727
5	11	577	l-valine	val_L[env]	0.308157236285718
5	11	577	zinc	zn2[env]	20.7199571057117
5	12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.187738557669277
5	12	577	3-methyl-2-oxopentanoate	3mop[env]	0
5	12	577	4-aminobutanoate	4abut[env]	0.0516805536038519
5	12	577	acetate	ac[env]	2.57754595637688
5	12	577	l-alanine	ala_L[env]	0.0136385072744771
5	12	577	amylopectin; 900 repeat units	amylopect900[env]	0.000015574225779381
5	12	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000475383839716467
5	12	577	l-argininium(1+)	arg_L[env]	0.0173650144282392
5	12	577	l-asparagine	asn_L[env]	0.00967494651642324
5	12	577	l-aspartate(1-)	asp_L[env]	0.00953199648166122
5	12	577	biotin	btn[env]	0.222607865804503
5	12	577	butyrate	but[env]	3.87960179408909
5	12	577	calcium(2+)	ca2[env]	20.3416800690825
5	12	577	cob(i)alamin	cbl1[env]	0.205820501180561
5	12	577	cellulose	cellul[env]	0.000501750727354485
5	12	577	l-cysteinylglycine	cgly[env]	0.0210385833861211
5	12	577	choline	chol[env]	0.0107534943664979
5	12	577	citrate	cit[env]	0.00389869959773658
5	12	577	chloride	cl[env]	22.0205931545286
5	12	577	carbon dioxide	co2[env]	7.34515727742485
5	12	577	co2+	cobalt2[env]	21.098464903764
5	12	577	cytosine	csn[env]	0.000000000225573215792567
5	12	577	cu2+	cu2[env]	21.7898067657569
5	12	577	l-cysteine	cys_L[env]	0.0907723936747182
5	12	577	ethanol	etoh[env]	0.00576576199000994
5	12	577	fe2+	fe2[env]	23.3086907937326
5	12	577	fe3+	fe3[env]	20.3864036222069
5	12	577	folate	fol[env]	0.207207303678531
5	12	577	formate	for[env]	4.35701183504278
5	12	577	d-fructose	fru[env]	0.00966511889515137
5	12	577	d-galactose	gal[env]	0.0109086535310248
