noiseLevel	SimRun	TimePoint	Species	Code	value
3	1	577	BcaccaeAGORA	Bc	0.00318579610326871
3	2	577	BcaccaeAGORA	Bc	0.00290897168812765
3	3	577	BcaccaeAGORA	Bc	0.00277362673372413
3	4	577	BcaccaeAGORA	Bc	0.00248322592701032
3	5	577	BcaccaeAGORA	Bc	0.00237292153099313
3	6	577	BcaccaeAGORA	Bc	0.00214147942010418
3	7	577	BcaccaeAGORA	Bc	0.00196016521234104
3	8	577	BcaccaeAGORA	Bc	0.00273739400105241
3	9	577	BcaccaeAGORA	Bc	0.00248793306719867
3	10	577	BcaccaeAGORA	Bc	0.00224203449428675
3	11	577	BcaccaeAGORA	Bc	0.00206117619145535
3	12	577	BcaccaeAGORA	Bc	0.00172790439730111
3	13	577	BcaccaeAGORA	Bc	0.00141593743983043
3	14	577	BcaccaeAGORA	Bc	0.00295750717587822
3	15	577	BcaccaeAGORA	Bc	0.00277877994858586
3	16	577	BcaccaeAGORA	Bc	0.00279312448040298
3	17	577	BcaccaeAGORA	Bc	0.00267805217522587
3	18	577	BcaccaeAGORA	Bc	0.00241227365459543
3	19	577	BcaccaeAGORA	Bc	0.0023125090054995
3	20	577	BcaccaeAGORA	Bc	0.0030155649215302
3	21	577	BcaccaeAGORA	Bc	0.00286435613026962
3	22	577	BcaccaeAGORA	Bc	0.00260250016956721
3	23	577	BcaccaeAGORA	Bc	0.00266108703893705
3	24	577	BcaccaeAGORA	Bc	0.00235512952825448
3	25	577	BcaccaeAGORA	Bc	0.00211676382682814
3	26	577	BcaccaeAGORA	Bc	0.00293246689858169
3	27	577	BcaccaeAGORA	Bc	0.00270669311062371
3	28	577	BcaccaeAGORA	Bc	0.00237555212643986
3	29	577	BcaccaeAGORA	Bc	0.0023866610713451
3	30	577	BcaccaeAGORA	Bc	0.00209320823458491
3	31	577	BcaccaeAGORA	Bc	0.00185079980341751
3	32	577	BcaccaeAGORA	Bc	0.00274077050000669
3	33	577	BcaccaeAGORA	Bc	0.00242455842025666
3	34	577	BcaccaeAGORA	Bc	0.00222853220617679
3	35	577	BcaccaeAGORA	Bc	0.00198715927174714
3	36	577	BcaccaeAGORA	Bc	0.00168137360901346
3	37	577	BcaccaeAGORA	Bc	0.00144571424181128
3	38	577	BcaccaeAGORA	Bc	0.00268188651616953
