noiseLevel	SimRun	TimePoint	Species	Code	value
1	1	577	BcaccaeAGORA	Bc	0.00311253717920312
1	2	577	BcaccaeAGORA	Bc	0.00292721089099554
1	3	577	BcaccaeAGORA	Bc	0.00272609919341228
1	4	577	BcaccaeAGORA	Bc	0.00254596034032482
1	5	577	BcaccaeAGORA	Bc	0.00235467115001219
1	6	577	BcaccaeAGORA	Bc	0.0021517364827789
1	7	577	BcaccaeAGORA	Bc	0.00193024604570801
1	8	577	BcaccaeAGORA	Bc	0.00276382333875381
1	9	577	BcaccaeAGORA	Bc	0.00249689868612357
1	10	577	BcaccaeAGORA	Bc	0.00222964475133433
1	11	577	BcaccaeAGORA	Bc	0.00199675414077264
1	12	577	BcaccaeAGORA	Bc	0.00174453460180878
1	13	577	BcaccaeAGORA	Bc	0.00145817956355698
1	14	577	BcaccaeAGORA	Bc	0.0029712882975757
1	15	577	BcaccaeAGORA	Bc	0.00284926984863514
1	16	577	BcaccaeAGORA	Bc	0.00265930686461774
1	17	577	BcaccaeAGORA	Bc	0.00266778947229595
1	18	577	BcaccaeAGORA	Bc	0.00247798010521615
1	19	577	BcaccaeAGORA	Bc	0.00234237177020437
1	20	577	BcaccaeAGORA	Bc	0.00293628908658775
1	21	577	BcaccaeAGORA	Bc	0.00284186251765395
1	22	577	BcaccaeAGORA	Bc	0.00269623780783559
1	23	577	BcaccaeAGORA	Bc	0.00253595793930953
1	24	577	BcaccaeAGORA	Bc	0.00235325272415706
1	25	577	BcaccaeAGORA	Bc	0.00210849540164066
1	26	577	BcaccaeAGORA	Bc	0.00284228123639673
1	27	577	BcaccaeAGORA	Bc	0.00273285028157288
1	28	577	BcaccaeAGORA	Bc	0.00247606615560526
1	29	577	BcaccaeAGORA	Bc	0.00238062035395479
1	30	577	BcaccaeAGORA	Bc	0.00217313809420339
1	31	577	BcaccaeAGORA	Bc	0.00187454606049363
1	32	577	BcaccaeAGORA	Bc	0.00275950282568666
1	33	577	BcaccaeAGORA	Bc	0.00248359048853139
1	34	577	BcaccaeAGORA	Bc	0.00219466211188937
1	35	577	BcaccaeAGORA	Bc	0.00204047915439989
1	36	577	BcaccaeAGORA	Bc	0.00167557861971037
1	37	577	BcaccaeAGORA	Bc	0.00142026514435917
1	38	577	BcaccaeAGORA	Bc	0.00273733195968092
1	39	577	BcaccaeAGORA	Bc	0.00246541170440012
1	40	577	BcaccaeAGORA	Bc	0.00218406736183353
1	41	577	BcaccaeAGORA	Bc	0.00202023053010891
