noiseLevel	SimRun	TimePoint	compound	Species	totFlux	cumulFlux
1	1	577	26dap_M[env]	BcaccaeAGORA	0	0
1	1	577	3mop[env]	BcaccaeAGORA	0	0
1	1	577	4abut[env]	BcaccaeAGORA	0	0
1	1	577	ac[env]	BcaccaeAGORA	0.000143086144901118	0.0197933923079274
1	1	577	ala_L[env]	BcaccaeAGORA	-0.000100844115459424	-0.0142918059068935
1	1	577	amylopect900[env]	BcaccaeAGORA	0	0
1	1	577	amylose300[env]	BcaccaeAGORA	0	0
1	1	577	arg_L[env]	BcaccaeAGORA	-0.0000064192351956405	-0.000881784209830624
1	1	577	asn_L[env]	BcaccaeAGORA	-0.0000658849267714986	-0.00881531278609431
1	1	577	asp_L[env]	BcaccaeAGORA	0	0
1	1	577	but[env]	BcaccaeAGORA	0	0
1	1	577	ca2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	cgly[env]	BcaccaeAGORA	0	0
1	1	577	cit[env]	BcaccaeAGORA	0	0
1	1	577	cl[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	co2[env]	BcaccaeAGORA	0.000410100583749284	0.0561489266333795
1	1	577	cobalt2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	csn[env]	BcaccaeAGORA	0	0
1	1	577	cu2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	cys_L[env]	BcaccaeAGORA	0	0
1	1	577	etoh[env]	BcaccaeAGORA	0	0
1	1	577	fe2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	fe3[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	fol[env]	BcaccaeAGORA	0	0
1	1	577	for[env]	BcaccaeAGORA	0.00000104340462767894	0.000143328246607374
1	1	577	fru[env]	BcaccaeAGORA	-0.0000697067905837504	-0.00963297153580724
1	1	577	gal[env]	BcaccaeAGORA	-0.0000874303006999871	-0.0119000145922136
1	1	577	glc_D[env]	BcaccaeAGORA	-0.0000715622278402757	-0.00988937947151776
1	1	577	gln_L[env]	BcaccaeAGORA	0	0
1	1	577	glu_L[env]	BcaccaeAGORA	0	0
1	1	577	gly[env]	BcaccaeAGORA	0	0
1	1	577	glyc[env]	BcaccaeAGORA	0	0
1	1	577	gua[env]	BcaccaeAGORA	0	0
1	1	577	h2[env]	BcaccaeAGORA	0	0
1	1	577	h2o[env]	BcaccaeAGORA	0.000234570582983592	0.0328265406815494
1	1	577	h2s[env]	BcaccaeAGORA	-0.00000232922016991629	-0.000319955493832974
1	1	577	h[env]	BcaccaeAGORA	0.000539530362699096	0.0741536730446166
1	1	577	his_L[env]	BcaccaeAGORA	0	0
1	1	577	ile_L[env]	BcaccaeAGORA	0	0
1	1	577	indole[env]	BcaccaeAGORA	0	0
1	1	577	isobut[env]	BcaccaeAGORA	0	0
1	1	577	k[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	leu_L[env]	BcaccaeAGORA	-0.0000097681399761323	-0.00134180962807195
1	1	577	lys_L[env]	BcaccaeAGORA	-0.00000742753633574735	-0.00102029043323622
1	1	577	malttr[env]	BcaccaeAGORA	0	0
1	1	577	met_L[env]	BcaccaeAGORA	-0.00000349942401031598	-0.000480701632165527
1	1	577	mg2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	mn2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	mqn7[env]	BcaccaeAGORA	0	0
1	1	577	nac[env]	BcaccaeAGORA	-0.000000347801542559622	-0.0000477760822024572
1	1	577	nh4[env]	BcaccaeAGORA	0.000314977559829623	0.0426570323418433
1	1	577	ocdca[env]	BcaccaeAGORA	0	0
1	1	577	orn[env]	BcaccaeAGORA	0	0
1	1	577	pac[env]	BcaccaeAGORA	0	0
1	1	577	phe_L[env]	BcaccaeAGORA	0	0
1	1	577	pheme[env]	BcaccaeAGORA	0	0
1	1	577	pi[env]	BcaccaeAGORA	-0.0000258367101955485	-0.00354908371325558
1	1	577	pnto_R[env]	BcaccaeAGORA	0	0
1	1	577	ppa[env]	BcaccaeAGORA	0.00072635859327659	0.0998088220285965
1	1	577	pro_L[env]	BcaccaeAGORA	-0.000106071704788323	-0.0143500526841772
1	1	577	ptrc[env]	BcaccaeAGORA	0	0
1	1	577	pydx[env]	BcaccaeAGORA	0.0000435409610950135	0.00611079507367424
1	1	577	pydxn[env]	BcaccaeAGORA	-0.0000437148618662933	-0.00613468311477547
1	1	577	q8[env]	BcaccaeAGORA	0	0
1	1	577	ribflv[env]	BcaccaeAGORA	0	0
1	1	577	ser_L[env]	BcaccaeAGORA	-0.000100842768449036	-0.0134599974158814
1	1	577	sheme[env]	BcaccaeAGORA	0	0
1	1	577	so4[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	succ[env]	BcaccaeAGORA	-0.0000037610617866739	-0.000886491440278558
1	1	577	sucr[env]	BcaccaeAGORA	-0.0000523583903444444	-0.00722847400657401
1	1	577	thm[env]	BcaccaeAGORA	0	0
1	1	577	thr_L[env]	BcaccaeAGORA	-0.0000419340789336625	-0.00579391223849672
1	1	577	trp_L[env]	BcaccaeAGORA	0	0
1	1	577	ttdca[env]	BcaccaeAGORA	-0.000000647735502725885	-0.000088976789452781
1	1	577	tyr_L[env]	BcaccaeAGORA	0	0
1	1	577	ura[env]	BcaccaeAGORA	-0.00000653890415162402	-0.000898222647210961
1	1	577	val_L[env]	BcaccaeAGORA	0	0
1	1	577	zn2[env]	BcaccaeAGORA	-0.000000173900771279824	-0.000023888041101229
1	1	577	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000059047623861106	-0.000682233335112246
1	1	577	3mop[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	4abut[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	ac[env]	BhydrogenotrophicaAGORA	0.00278991314321127	0.319992358415553
1	1	577	ala_L[env]	BhydrogenotrophicaAGORA	-0.0000496440362694357	-0.0057358474766399
1	1	577	amylopect900[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	amylose300[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	arg_L[env]	BhydrogenotrophicaAGORA	-0.0000184065687839905	-0.00212694482776194
1	1	577	asn_L[env]	BhydrogenotrophicaAGORA	-0.000157182591730012	-0.0177392676158501
1	1	577	asp_L[env]	BhydrogenotrophicaAGORA	-0.000163321444934088	-0.018686725216709
1	1	577	but[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	ca2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	cgly[env]	BhydrogenotrophicaAGORA	-0.000336108386008923	-0.0356181179294399
1	1	577	cit[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	cl[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	co2[env]	BhydrogenotrophicaAGORA	0.00047999151684455	0.0554466914828729
1	1	577	cobalt2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	csn[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	cu2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	cys_L[env]	BhydrogenotrophicaAGORA	0.000329429560585329	0.0348464497325809
1	1	577	etoh[env]	BhydrogenotrophicaAGORA	-0.0000449090174411522	-0.00666871729722815
1	1	577	fe2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	fe3[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	fol[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	for[env]	BhydrogenotrophicaAGORA	0.00156211149995445	0.180473844213704
1	1	577	fru[env]	BhydrogenotrophicaAGORA	-0.000166300465706442	-0.019257013219417
1	1	577	gal[env]	BhydrogenotrophicaAGORA	-0.000208583691796758	-0.0238577667851324
1	1	577	glc_D[env]	BhydrogenotrophicaAGORA	-0.000170727008332566	-0.0197695913983503
1	1	577	gln_L[env]	BhydrogenotrophicaAGORA	-0.000197541285917995	-0.0232963136100663
1	1	577	glu_L[env]	BhydrogenotrophicaAGORA	-0.000145996973317601	-0.0167008832177345
1	1	577	gly[env]	BhydrogenotrophicaAGORA	-0.000362221613021624	-0.043052963145436
1	1	577	glyc[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	gua[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	h2[env]	BhydrogenotrophicaAGORA	0.0010176096364935	0.124438485023671
1	1	577	h2o[env]	BhydrogenotrophicaAGORA	-0.00221451119817797	-0.254644000035259
1	1	577	h2s[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	h[env]	BhydrogenotrophicaAGORA	0.00225288491782526	0.261765069314965
1	1	577	his_L[env]	BhydrogenotrophicaAGORA	-0.00000591414860600287	-0.000683317814331303
1	1	577	ile_L[env]	BhydrogenotrophicaAGORA	-0.0000180413362623335	-0.0020844870975817
1	1	577	indole[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	isobut[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	k[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	leu_L[env]	BhydrogenotrophicaAGORA	-0.0000280092463805882	-0.00323617451858145
1	1	577	lys_L[env]	BhydrogenotrophicaAGORA	-0.0000212977798984297	-0.00246073498990754
1	1	577	malttr[env]	BhydrogenotrophicaAGORA	-0.0000723542335868028	-0.0084394746867511
1	1	577	met_L[env]	BhydrogenotrophicaAGORA	-0.0000100342777165951	-0.00115935550059354
1	1	577	mg2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	mn2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	mqn7[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	nac[env]	BhydrogenotrophicaAGORA	-0.000000997289056146143	-0.000115226285895271
1	1	577	nh4[env]	BhydrogenotrophicaAGORA	0.00173447207375511	0.197446744048388
1	1	577	ocdca[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	orn[env]	BhydrogenotrophicaAGORA	-0.0000137556010101605	-0.00158905641468023
1	1	577	pac[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	phe_L[env]	BhydrogenotrophicaAGORA	-0.0000115290875085009	-0.00133206508702655
1	1	577	pheme[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	pi[env]	BhydrogenotrophicaAGORA	-0.0000747499907484864	-0.00863657708020678
1	1	577	pnto_R[env]	BhydrogenotrophicaAGORA	-0.000000997289056146268	-0.000115226285895268
1	1	577	ppa[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	pro_L[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	ptrc[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	pydx[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	pydxn[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	q8[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	ribflv[env]	BhydrogenotrophicaAGORA	-0.000000997289056146289	-0.000115226285895272
1	1	577	ser_L[env]	BhydrogenotrophicaAGORA	-0.000240582003787032	-0.0270818398210524
1	1	577	sheme[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	so4[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	succ[env]	BhydrogenotrophicaAGORA	0.000304940079799525	0.0355378411488927
1	1	577	sucr[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	thm[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	thr_L[env]	BhydrogenotrophicaAGORA	-0.000100042718897812	-0.0115830617453169
1	1	577	trp_L[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	ttdca[env]	BhydrogenotrophicaAGORA	0	0
1	1	577	tyr_L[env]	BhydrogenotrophicaAGORA	-0.00000857210898325346	-0.000990417245975378
1	1	577	ura[env]	BhydrogenotrophicaAGORA	-0.0000187497085112121	-0.00216607313331453
1	1	577	val_L[env]	BhydrogenotrophicaAGORA	-0.0000262814156983771	-0.00303654181335915
1	1	577	zn2[env]	BhydrogenotrophicaAGORA	-0.000000498644528073144	-0.0000576131429476359
1	1	577	26dap_M[env]	BovatusAGORA	0	0
1	1	577	3mop[env]	BovatusAGORA	0	0
1	1	577	4abut[env]	BovatusAGORA	0	0
1	1	577	ac[env]	BovatusAGORA	0.0124934865794715	1.02617761869516
1	1	577	ala_L[env]	BovatusAGORA	0	0
1	1	577	amylopect900[env]	BovatusAGORA	-0.00000335986163489645	-0.000283111711124841
1	1	577	amylose300[env]	BovatusAGORA	-0.0000101533219974968	-0.000855548435226379
1	1	577	arg_L[env]	BovatusAGORA	-0.000317606952749664	-0.0262735529308562
1	1	577	asn_L[env]	BovatusAGORA	-0.00192555203259927	-0.155584478621141
1	1	577	asp_L[env]	BovatusAGORA	0	0
1	1	577	but[env]	BovatusAGORA	0	0
1	1	577	ca2[env]	BovatusAGORA	-0.00000860415491311348	-0.000711765651154224
1	1	577	cgly[env]	BovatusAGORA	0	0
1	1	577	cit[env]	BovatusAGORA	0	0
1	1	577	cl[env]	BovatusAGORA	-0.00000860415491311348	-0.000711765651154224
1	1	577	co2[env]	BovatusAGORA	0.0171131227277308	1.4137166396978
1	1	577	cobalt2[env]	BovatusAGORA	-0.00000860415491311348	-0.000711765651154224
1	1	577	csn[env]	BovatusAGORA	0	0
