Rxn	Species	SamplesWithNeg	SamplesWithPos	SamplesWithBoth	FracPosLastTP	FracNegLastTP	ClearPos	ClearNeg	Reversible
3OAR13M14	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR13M14	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR13M14	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR140	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAR140	BovatusAGORA	0	61	0	1	0	1	0	0
3OAR140	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR14M16	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR14M16	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR14M16	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR15M16	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR15M16	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR15M16	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR40	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAR40	BovatusAGORA	0	61	0	1	0	1	0	0
3OAR40	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR4M6	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR4M6	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR4M6	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR5M6	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR5M6	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR5M6	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR60	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAR60	BovatusAGORA	0	61	0	1	0	1	0	0
3OAR60	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR6M8	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR6M8	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR6M8	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR7M8	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR7M8	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR7M8	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR80	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAR80	BovatusAGORA	0	61	0	1	0	1	0	0
3OAR80	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR8M10	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR8M10	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR8M10	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAR9M10	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAR9M10	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAR9M10	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS100	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAS100	BovatusAGORA	0	61	0	1	0	1	0	0
3OAS100	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS10M12	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS10M12	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS10M12	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS11M12	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS11M12	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS11M12	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS120	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAS120	BovatusAGORA	0	61	0	1	0	1	0	0
3OAS120	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
