SimRun	TimePoint	niceLab	compound	value
34	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000317630167006257
35	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000373772022048407
36	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000440904891054991
37	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000517467110843765
38	577	3-methyl-2-oxopentanoate	3mop[env]	0
39	577	3-methyl-2-oxopentanoate	3mop[env]	0
3	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000296820960056459
40	577	3-methyl-2-oxopentanoate	3mop[env]	0
41	577	3-methyl-2-oxopentanoate	3mop[env]	0
42	577	3-methyl-2-oxopentanoate	3mop[env]	0
43	577	3-methyl-2-oxopentanoate	3mop[env]	0
44	577	3-methyl-2-oxopentanoate	3mop[env]	0
45	577	3-methyl-2-oxopentanoate	3mop[env]	0
46	577	3-methyl-2-oxopentanoate	3mop[env]	0
47	577	3-methyl-2-oxopentanoate	3mop[env]	0
48	577	3-methyl-2-oxopentanoate	3mop[env]	0
49	577	3-methyl-2-oxopentanoate	3mop[env]	0
4	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000330649208455543
50	577	3-methyl-2-oxopentanoate	3mop[env]	0
51	577	3-methyl-2-oxopentanoate	3mop[env]	0
52	577	3-methyl-2-oxopentanoate	3mop[env]	0
53	577	3-methyl-2-oxopentanoate	3mop[env]	0
54	577	3-methyl-2-oxopentanoate	3mop[env]	0
55	577	3-methyl-2-oxopentanoate	3mop[env]	0
56	577	3-methyl-2-oxopentanoate	3mop[env]	0
57	577	3-methyl-2-oxopentanoate	3mop[env]	0
58	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000248680437513008
59	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000313185162620911
5	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000331523802636189
60	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000345911899935916
61	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000374132149678578
6	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000385798007465207
7	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000467871898573181
8	577	3-methyl-2-oxopentanoate	3mop[env]	0
9	577	3-methyl-2-oxopentanoate	3mop[env]	0
10	577	4-aminobutanoate	4abut[env]	0.0538656020949229
11	577	4-aminobutanoate	4abut[env]	0.0538686464158763
12	577	4-aminobutanoate	4abut[env]	0.0541058251245429
13	577	4-aminobutanoate	4abut[env]	0.0542920756416711
14	577	4-aminobutanoate	4abut[env]	0.0544292081467528
15	577	4-aminobutanoate	4abut[env]	0.0544082570490886
16	577	4-aminobutanoate	4abut[env]	0.0543931662900817
17	577	4-aminobutanoate	4abut[env]	0.054378635945122
18	577	4-aminobutanoate	4abut[env]	0.0543444040665435
19	577	4-aminobutanoate	4abut[env]	0.0543218323368467
1	577	4-aminobutanoate	4abut[env]	0.0544838608819319
20	577	4-aminobutanoate	4abut[env]	0.0540439961838297
21	577	4-aminobutanoate	4abut[env]	0.0538336396314378
22	577	4-aminobutanoate	4abut[env]	0.0537096719970781
23	577	4-aminobutanoate	4abut[env]	0.0536782614143913
24	577	4-aminobutanoate	4abut[env]	0.0537420600271211
25	577	4-aminobutanoate	4abut[env]	0.0539023744613892
26	577	4-aminobutanoate	4abut[env]	0.0513923493941665
27	577	4-aminobutanoate	4abut[env]	0.0494437511201647
28	577	4-aminobutanoate	4abut[env]	0.0474136898220112
29	577	4-aminobutanoate	4abut[env]	0.0460157222588307
2	577	4-aminobutanoate	4abut[env]	0.0595995103178927
30	577	4-aminobutanoate	4abut[env]	0.044158296797294
31	577	4-aminobutanoate	4abut[env]	0.0426609061847989
32	577	4-aminobutanoate	4abut[env]	0.0549498085453667
33	577	4-aminobutanoate	4abut[env]	0.0553017638555104
34	577	4-aminobutanoate	4abut[env]	0.055770620440683
35	577	4-aminobutanoate	4abut[env]	0.0561394132097604
36	577	4-aminobutanoate	4abut[env]	0.0567250764863979
37	577	4-aminobutanoate	4abut[env]	0.0572989347625734
38	577	4-aminobutanoate	4abut[env]	0.0581813078688918
39	577	4-aminobutanoate	4abut[env]	0.0604378314432282
3	577	4-aminobutanoate	4abut[env]	0.0633632309459881
40	577	4-aminobutanoate	4abut[env]	0.0626548822035729
41	577	4-aminobutanoate	4abut[env]	0.0641709229760834
42	577	4-aminobutanoate	4abut[env]	0.066195561843616
43	577	4-aminobutanoate	4abut[env]	0.0678746173559745
44	577	4-aminobutanoate	4abut[env]	0.053539946011471
45	577	4-aminobutanoate	4abut[env]	0.0530247558916893
46	577	4-aminobutanoate	4abut[env]	0.0527525399043862
47	577	4-aminobutanoate	4abut[env]	0.0525272822272662
48	577	4-aminobutanoate	4abut[env]	0.0525320767583084
49	577	4-aminobutanoate	4abut[env]	0.0527059866203852
4	577	4-aminobutanoate	4abut[env]	0.0671170777112528
50	577	4-aminobutanoate	4abut[env]	0.0515451963433002
51	577	4-aminobutanoate	4abut[env]	0.0502034810935546
52	577	4-aminobutanoate	4abut[env]	0.0487741657267507
53	577	4-aminobutanoate	4abut[env]	0.0479877239978843
54	577	4-aminobutanoate	4abut[env]	0.0470676042989684
55	577	4-aminobutanoate	4abut[env]	0.0463927001498912
56	577	4-aminobutanoate	4abut[env]	0.0545978266240983
57	577	4-aminobutanoate	4abut[env]	0.0547032884057076
58	577	4-aminobutanoate	4abut[env]	0.0548562664991173
59	577	4-aminobutanoate	4abut[env]	0.0549888500079806
5	577	4-aminobutanoate	4abut[env]	0.0698389459461098
60	577	4-aminobutanoate	4abut[env]	0.0552346693044301
61	577	4-aminobutanoate	4abut[env]	0.0554923244776424
6	577	4-aminobutanoate	4abut[env]	0.0729755653066909
7	577	4-aminobutanoate	4abut[env]	0.0754409665015543
8	577	4-aminobutanoate	4abut[env]	0.0541005808307457
9	577	4-aminobutanoate	4abut[env]	0.0539470670351576
10	577	acetate	ac[env]	2.78608102040534
11	577	acetate	ac[env]	2.67026815297803
12	577	acetate	ac[env]	2.49591674818396
13	577	acetate	ac[env]	2.33070763356719
14	577	acetate	ac[env]	3.23311704764262
15	577	acetate	ac[env]	3.21201138679849
16	577	acetate	ac[env]	3.18381155853308
17	577	acetate	ac[env]	3.1601935199829
18	577	acetate	ac[env]	3.12307874287034
19	577	acetate	ac[env]	3.08574983454213
1	577	acetate	ac[env]	3.25394421196636
20	577	acetate	ac[env]	3.20271618313819
21	577	acetate	ac[env]	3.16412056235187
22	577	acetate	ac[env]	3.11995556041857
23	577	acetate	ac[env]	3.08633590878522
24	577	acetate	ac[env]	3.03616478396165
25	577	acetate	ac[env]	2.98882359292131
26	577	acetate	ac[env]	3.2252466023471
27	577	acetate	ac[env]	3.20711101960472
28	577	acetate	ac[env]	3.19002365054192
29	577	acetate	ac[env]	3.1772585483253
2	577	acetate	ac[env]	2.31315420080975
30	577	acetate	ac[env]	3.16015786890027
31	577	acetate	ac[env]	3.14743275534103
32	577	acetate	ac[env]	3.52390940303096
33	577	acetate	ac[env]	3.72162605277752
34	577	acetate	ac[env]	3.9380221303807
35	577	acetate	ac[env]	4.09518467292947
36	577	acetate	ac[env]	4.31287920610385
37	577	acetate	ac[env]	4.49695507917386
38	577	acetate	ac[env]	3.51602422061072
39	577	acetate	ac[env]	3.67450194370149
3	577	acetate	ac[env]	1.79704796043123
40	577	acetate	ac[env]	3.82782609053302
41	577	acetate	ac[env]	3.92915478710624
42	577	acetate	ac[env]	4.05576018827796
43	577	acetate	ac[env]	4.14968994109489
44	577	acetate	ac[env]	3.72449198216347
45	577	acetate	ac[env]	4.04924251457261
46	577	acetate	ac[env]	4.38743572483672
47	577	acetate	ac[env]	4.63096497075807
48	577	acetate	ac[env]	4.95742626407908
49	577	acetate	ac[env]	5.22928104609491
4	577	acetate	ac[env]	1.34242855455982
50	577	acetate	ac[env]	3.69352881723905
51	577	acetate	ac[env]	3.99594388127388
52	577	acetate	ac[env]	4.31348001152431
53	577	acetate	ac[env]	4.53194500277938
54	577	acetate	ac[env]	4.81661818122249
55	577	acetate	ac[env]	5.0427795508551
56	577	acetate	ac[env]	3.20168231718559
57	577	acetate	ac[env]	3.16102414430789
58	577	acetate	ac[env]	3.11476601998911
59	577	acetate	ac[env]	3.07810213635874
5	577	acetate	ac[env]	1.06426376378464
60	577	acetate	ac[env]	3.02436930806051
61	577	acetate	ac[env]	2.97716915393561
6	577	acetate	ac[env]	0.763467507378919
7	577	acetate	ac[env]	0.564073293430958
8	577	acetate	ac[env]	3.06621221363891
9	577	acetate	ac[env]	2.93513122377549
10	577	ammonium	nh4[env]	12.7674293368588
11	577	ammonium	nh4[env]	12.7579702785491
12	577	ammonium	nh4[env]	12.7472842072341
13	577	ammonium	nh4[env]	12.7397427265765
14	577	ammonium	nh4[env]	12.833051356943
15	577	ammonium	nh4[env]	12.8356049589538
16	577	ammonium	nh4[env]	12.8388960019046
17	577	ammonium	nh4[env]	12.8416551634795
18	577	ammonium	nh4[env]	12.8459982942576
19	577	ammonium	nh4[env]	12.8503174225454
1	577	ammonium	nh4[env]	12.8303522700797
20	577	ammonium	nh4[env]	12.8219874459093
21	577	ammonium	nh4[env]	12.8160163396923
22	577	ammonium	nh4[env]	12.8096442875988
23	577	ammonium	nh4[env]	12.8050884595213
24	577	ammonium	nh4[env]	12.7990619153962
25	577	ammonium	nh4[env]	12.7943418147639
26	577	ammonium	nh4[env]	12.8295211667714
27	577	ammonium	nh4[env]	12.8288242202517
28	577	ammonium	nh4[env]	12.8282449892121
29	577	ammonium	nh4[env]	12.8281606787761
2	577	ammonium	nh4[env]	12.8750994702195
30	577	ammonium	nh4[env]	12.8286937481234
31	577	ammonium	nh4[env]	12.8294078741778
32	577	ammonium	nh4[env]	12.8313117992534
33	577	ammonium	nh4[env]	12.8323670866284
34	577	ammonium	nh4[env]	12.8340765708827
35	577	ammonium	nh4[env]	12.8356632424008
36	577	ammonium	nh4[env]	12.8386760776006
37	577	ammonium	nh4[env]	12.8425097483808
38	577	ammonium	nh4[env]	12.8643333833324
39	577	ammonium	nh4[env]	12.8821110355159
3	577	ammonium	nh4[env]	12.9025415502086
40	577	ammonium	nh4[env]	12.8974529297708
41	577	ammonium	nh4[env]	12.9067309637675
42	577	ammonium	nh4[env]	12.9176254246871
43	577	ammonium	nh4[env]	12.9255489452678
44	577	ammonium	nh4[env]	12.7747834761948
45	577	ammonium	nh4[env]	12.7417094566925
46	577	ammonium	nh4[env]	12.7107607538055
47	577	ammonium	nh4[env]	12.6902557852455
48	577	ammonium	nh4[env]	12.6656458176627
49	577	ammonium	nh4[env]	12.6477823042647
4	577	ammonium	nh4[env]	12.928755368335
50	577	ammonium	nh4[env]	12.8457006092653
51	577	ammonium	nh4[env]	12.8558048505429
52	577	ammonium	nh4[env]	12.8656226703221
53	577	ammonium	nh4[env]	12.8726802530548
54	577	ammonium	nh4[env]	12.8822035336228
55	577	ammonium	nh4[env]	12.8904837465024
56	577	ammonium	nh4[env]	12.8285069561865
57	577	ammonium	nh4[env]	12.8274194995507
58	577	ammonium	nh4[env]	12.8267508544738
59	577	ammonium	nh4[env]	12.8265906793165
5	577	ammonium	nh4[env]	12.9466444601061
60	577	ammonium	nh4[env]	12.8272843591953
61	577	ammonium	nh4[env]	12.8293725637202
6	577	ammonium	nh4[env]	12.9694420535543
7	577	ammonium	nh4[env]	12.989151051223
8	577	ammonium	nh4[env]	12.7996626595297
9	577	ammonium	nh4[env]	12.7827229534881
10	577	amylopectin	amylopect900[env]	0.0000159318148770328
11	577	amylopectin	amylopect900[env]	0.0000159459855104365
12	577	amylopectin	amylopect900[env]	0.0000159546365726568
13	577	amylopectin	amylopect900[env]	0.0000159513578574797
14	577	amylopectin	amylopect900[env]	0.0000157504306918677
15	577	amylopectin	amylopect900[env]	0.0000157085922912323
16	577	amylopectin	amylopect900[env]	0.0000156561188894961
17	577	amylopectin	amylopect900[env]	0.000015612467843426
18	577	amylopectin	amylopect900[env]	0.000015543155127206
19	577	amylopectin	amylopect900[env]	0.0000154745568069028
1	577	amylopectin	amylopect900[env]	0.0000158001287852725
20	577	amylopectin	amylopect900[env]	0.0000158809940008382
21	577	amylopectin	amylopect900[env]	0.0000159366179082334
22	577	amylopectin	amylopect900[env]	0.000015992501768534
23	577	amylopectin	amylopect900[env]	0.0000160292755180415
24	577	amylopectin	amylopect900[env]	0.0000160725195296785
25	577	amylopectin	amylopect900[env]	0.0000161004148421627
26	577	amylopectin	amylopect900[env]	0.000015766724444149
27	577	amylopectin	amylopect900[env]	0.0000157389425359734
28	577	amylopectin	amylopect900[env]	0.0000157059594600949
29	577	amylopectin	amylopect900[env]	0.000015676892771957
2	577	amylopectin	amylopect900[env]	0.0000155285340930663
30	577	amylopectin	amylopect900[env]	0.0000156292081050506
31	577	amylopectin	amylopect900[env]	0.000015579875743638
32	577	amylopectin	amylopect900[env]	0.0000160923909481886
33	577	amylopectin	amylopect900[env]	0.0000163116355892322
34	577	amylopectin	amylopect900[env]	0.0000165528072926329
35	577	amylopectin	amylopect900[env]	0.0000167297270487116
36	577	amylopectin	amylopect900[env]	0.0000169724415435855
37	577	amylopectin	amylopect900[env]	0.0000171723794729013
38	577	amylopectin	amylopect900[env]	0.0000158159451051735
39	577	amylopectin	amylopect900[env]	0.000015827018451652
3	577	amylopectin	amylopect900[env]	0.0000153938923775332
40	577	amylopectin	amylopect900[env]	0.0000158365326368495
41	577	amylopectin	amylopect900[env]	0.0000158407299818103
42	577	amylopectin	amylopect900[env]	0.0000158408333507437
43	577	amylopectin	amylopect900[env]	0.0000158336220286587
44	577	amylopectin	amylopect900[env]	0.0000157375576594245
45	577	amylopectin	amylopect900[env]	0.0000157335048337995
46	577	amylopectin	amylopect900[env]	0.000015746300013257
47	577	amylopectin	amylopect900[env]	0.0000157626209870423
48	577	amylopectin	amylopect900[env]	0.0000157884047279912
49	577	amylopectin	amylopect900[env]	0.0000158109210422366
4	577	amylopectin	amylopect900[env]	0.0000152858512500071
50	577	amylopectin	amylopect900[env]	0.0000158666645328271
51	577	amylopectin	amylopect900[env]	0.0000159121721984849
52	577	amylopectin	amylopect900[env]	0.0000159602680810171
53	577	amylopectin	amylopect900[env]	0.0000159880054279489
54	577	amylopectin	amylopect900[env]	0.000016014119804118
55	577	amylopectin	amylopect900[env]	0.0000160255957156071
56	577	amylopectin	amylopect900[env]	0.0000158221692456415
57	577	amylopectin	amylopect900[env]	0.0000158365899717357
58	577	amylopectin	amylopect900[env]	0.0000158499090783843
59	577	amylopectin	amylopect900[env]	0.0000158572250201517
5	577	amylopectin	amylopect900[env]	0.0000152224650495734
60	577	amylopectin	amylopect900[env]	0.0000158611982846668
61	577	amylopectin	amylopect900[env]	0.0000158568125827548
6	577	amylopectin	amylopect900[env]	0.0000151545006545333
7	577	amylopectin	amylopect900[env]	0.0000151086976797102
8	577	amylopectin	amylopect900[env]	0.0000158678505785276
9	577	amylopectin	amylopect900[env]	0.000015903281829947
10	577	amylose	amylose300[env]	0.0000477954446310985
11	577	amylose	amylose300[env]	0.0000478379565313094
12	577	amylose	amylose300[env]	0.0000478639097179705
13	577	amylose	amylose300[env]	0.000047854073572439
14	577	amylose	amylose300[env]	0.0000472512920756032
15	577	amylose	amylose300[env]	0.0000471257768736968
16	577	amylose	amylose300[env]	0.0000469683566684882
17	577	amylose	amylose300[env]	0.0000468374035302781
