noiseLevel	SimRun	TimePoint	niceLab	compound	value
3	10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.205730995207994
3	10	577	3-methyl-2-oxopentanoate	3mop[env]	0
3	10	577	4-aminobutanoate	4abut[env]	0.05461498130492
3	10	577	acetate	ac[env]	2.69814903493412
3	10	577	l-alanine	ala_L[env]	0.0137966225109555
3	10	577	amylopectin; 900 repeat units	amylopect900[env]	0.000016440943791394
3	10	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000478089596891249
3	10	577	l-argininium(1+)	arg_L[env]	0.0195320042568725
3	10	577	l-asparagine	asn_L[env]	0.00904665787660043
3	10	577	l-aspartate(1-)	asp_L[env]	0.00986937710598646
3	10	577	biotin	btn[env]	0.199502340980475
3	10	577	butyrate	but[env]	3.81848311767207
3	10	577	calcium(2+)	ca2[env]	20.2158206562754
3	10	577	cob(i)alamin	cbl1[env]	0.213047544444119
3	10	577	cellulose	cellul[env]	0.000503531615107763
3	10	577	l-cysteinylglycine	cgly[env]	0.0190826480150896
3	10	577	choline	chol[env]	0.0100653260468671
3	10	577	citrate	cit[env]	0.00399115485388576
3	10	577	chloride	cl[env]	20.6196767631409
3	10	577	carbon dioxide	co2[env]	7.45380553699118
3	10	577	co2+	cobalt2[env]	22.0526777426784
3	10	577	cytosine	csn[env]	0.000000000187074895617088
3	10	577	cu2+	cu2[env]	21.3099294585899
3	10	577	l-cysteine	cys_L[env]	0.0957678274392971
3	10	577	ethanol	etoh[env]	0.00508803797162772
3	10	577	fe2+	fe2[env]	21.6179265302448
3	10	577	fe3+	fe3[env]	20.844920058213
3	10	577	folate	fol[env]	0.208502485824194
3	10	577	formate	for[env]	4.1122421849875
3	10	577	d-fructose	fru[env]	0.00965549357272421
3	10	577	d-galactose	gal[env]	0.0114911962058452
3	10	577	d-glucose	glc_D[env]	0.00972850418617007
3	10	577	l-glutamine	gln_L[env]	0.0122411980131119
3	10	577	l-glutamate(1-)	glu_L[env]	0.00808722693585531
3	10	577	glycine	gly[env]	0.021831069913607
3	10	577	glycerol	glyc[env]	0.0110365937992287
3	10	577	guanine	gua[env]	0.000000000361718691645363
3	10	577	hydrogen	h2[env]	0.676610827907348
3	10	577	water	h2o[env]	2092.31797492055
3	10	577	hydrogen sulfide	h2s[env]	22.0074335968472
3	10	577	proton	h[env]	0.345887350003397
3	10	577	hexadecanoate (n-c16:0)	hdca[env]	0.122858248186742
3	10	577	l-histidine	his_L[env]	0.290383257796417
3	10	577	l-isoleucine	ile_L[env]	0.281445799220047
3	10	577	indole	indole[env]	0.153551991872794
3	10	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
3	10	577	potassium	k[env]	21.4005299340129
3	10	577	l-leucine	leu_L[env]	0.149468784256997
3	10	577	l-lysinium(1+)	lys_L[env]	0.183789735059471
3	10	577	maltotriose	malttr[env]	0.00429656608739891
3	10	577	l-methionine	met_L[env]	0.352006931181243
3	10	577	magnesium	mg2[env]	20.6356593261099
3	10	577	mn2+	mn2[env]	21.2536890330129
3	10	577	molybdate	mobd[env]	21.2289133218224
3	10	577	menaquinone 7	mqn7[env]	0.204540023488168
3	10	577	sodium	na1[env]	20.9017822844472
3	10	577	nicotinate	nac[env]	0.203738852270191
3	10	577	ammonium	nh4[env]	12.7078521587431
3	10	577	octadecanoate (n-c18:0)	ocdca[env]	0.0917309256612641
3	10	577	ornithine	orn[env]	0.0106412806542543
3	10	577	phenylacetate	pac[env]	0.152442165920629
3	10	577	l-phenylalanine	phe_L[env]	0.00553939520374509
3	10	577	protoheme	pheme[env]	0.209446915026114
3	10	577	hydrogenphosphate	pi[env]	2085.79434469077
3	10	577	(r)-pantothenate	pnto_R[env]	0.21671730151195
3	10	577	propionate	ppa[env]	4.66480914849416
3	10	577	l-proline	pro_L[env]	0.0158584668229972
3	10	577	putrescine	ptrc[env]	0.0909759997633716
3	10	577	pyridoxal	pydx[env]	0.414161560604635
3	10	577	pyridoxine	pydxn[env]	0.0065458938641661
3	10	577	ubiquinone-8	q8[env]	0.218853567895809
3	10	577	riboflavin	ribflv[env]	0.21183480899958
3	10	577	selenite	selni[env]	20.4624139721865
3	10	577	l-serine	ser_L[env]	0.0138426843663693
3	10	577	siroheme	sheme[env]	0.220650792393645
3	10	577	sulfate	so4[env]	21.7731708270558
3	10	577	succinate	succ[env]	0.000539808829609076
3	10	577	sucrose	sucr[env]	0.00718266702948258
3	10	577	thiamin	thm[env]	0.213358554674781
3	10	577	l-threonine	thr_L[env]	0.00593444404881928
3	10	577	l-tryptophan	trp_L[env]	0.00420587245082906
3	10	577	tetradecanoate (n-c14:0)	ttdca[env]	0.128358801457051
3	10	577	l-tyrosine	tyr_L[env]	0.168091018062405
3	10	577	uracil	ura[env]	0.144177619299128
3	10	577	l-valine	val_L[env]	0.261261549007882
3	10	577	zinc	zn2[env]	22.4531447491428
3	11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.200238140659396
3	11	577	3-methyl-2-oxopentanoate	3mop[env]	0
3	11	577	4-aminobutanoate	4abut[env]	0.052259824642401
3	11	577	acetate	ac[env]	2.79793114905451
3	11	577	l-alanine	ala_L[env]	0.0138140173176087
3	11	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000156566816831607
3	11	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000464987834527587
3	11	577	l-argininium(1+)	arg_L[env]	0.0177205573128198
3	11	577	l-asparagine	asn_L[env]	0.00827309077105659
3	11	577	l-aspartate(1-)	asp_L[env]	0.00911800212344579
3	11	577	biotin	btn[env]	0.218080339907934
3	11	577	butyrate	but[env]	3.73739920599825
3	11	577	calcium(2+)	ca2[env]	20.7104870934547
3	11	577	cob(i)alamin	cbl1[env]	0.209150342971911
3	11	577	cellulose	cellul[env]	0.000502152020129438
3	11	577	l-cysteinylglycine	cgly[env]	0.01997597714638
3	11	577	choline	chol[env]	0.0104109435859851
3	11	577	citrate	cit[env]	0.00415539214344309
3	11	577	chloride	cl[env]	20.9239458165734
3	11	577	carbon dioxide	co2[env]	7.23123266304771
3	11	577	co2+	cobalt2[env]	21.1083466179226
3	11	577	cytosine	csn[env]	0.000000000200443343923572
3	11	577	cu2+	cu2[env]	21.9449187632745
3	11	577	l-cysteine	cys_L[env]	0.0927783118765572
3	11	577	ethanol	etoh[env]	0.00503669484672201
3	11	577	fe2+	fe2[env]	20.7746154721992
3	11	577	fe3+	fe3[env]	20.4231555914584
3	11	577	folate	fol[env]	0.200180056122075
3	11	577	formate	for[env]	4.18936986116544
3	11	577	d-fructose	fru[env]	0.00985188113290065
3	11	577	d-galactose	gal[env]	0.0123421903786522
3	11	577	d-glucose	glc_D[env]	0.0102319029589502
3	11	577	l-glutamine	gln_L[env]	0.0111562949969788
3	11	577	l-glutamate(1-)	glu_L[env]	0.00833048364826892
3	11	577	glycine	gly[env]	0.0222306518285909
3	11	577	glycerol	glyc[env]	0.0103717076096052
3	11	577	guanine	gua[env]	0.00000000035059642168953
3	11	577	hydrogen	h2[env]	0.66183681957357
3	11	577	water	h2o[env]	2129.02075041137
3	11	577	hydrogen sulfide	h2s[env]	21.0537628696422
3	11	577	proton	h[env]	0.333672051391064
3	11	577	hexadecanoate (n-c16:0)	hdca[env]	0.122304421187453
3	11	577	l-histidine	his_L[env]	0.274895252798536
3	11	577	l-isoleucine	ile_L[env]	0.270629112999515
3	11	577	indole	indole[env]	0.167030399205
3	11	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
3	11	577	potassium	k[env]	20.0446931078112
3	11	577	l-leucine	leu_L[env]	0.135308604789601
3	11	577	l-lysinium(1+)	lys_L[env]	0.197205678650886
3	11	577	maltotriose	malttr[env]	0.00426306105404163
3	11	577	l-methionine	met_L[env]	0.352593071190727
3	11	577	magnesium	mg2[env]	21.0801972308529
3	11	577	mn2+	mn2[env]	21.517688101098
3	11	577	molybdate	mobd[env]	21.234906833419
3	11	577	menaquinone 7	mqn7[env]	0.211106737289956
3	11	577	sodium	na1[env]	22.2025147012875
3	11	577	nicotinate	nac[env]	0.199308624300737
3	11	577	ammonium	nh4[env]	12.6074035450431
3	11	577	octadecanoate (n-c18:0)	ocdca[env]	0.0893040286050833
3	11	577	ornithine	orn[env]	0.0097972757447984
3	11	577	phenylacetate	pac[env]	0.156883076119865
3	11	577	l-phenylalanine	phe_L[env]	0.00577175919996516
3	11	577	protoheme	pheme[env]	0.210472298288805
3	11	577	hydrogenphosphate	pi[env]	2193.92586949938
