ModelAGORA	Organism	CopyNum
Bacillus_pumilus_ATCC_7061	Bacillus pumilus ATCC 7061	9
Bacillus_sonorensis_L12	Bacillus sonorensis L12	1
Bacillus_subtilis_str_168	Bacillus subtilis str. 168	0
Bacillus_thermoamylovorans	Bacillus thermoamylovorans	1
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001	Bacillus thuringiensis serovar thuringiensis str. T01001	1
Bacillus_timonensis_10403023	Bacillus timonensis JC401	1
Bacillus_vallismortis_DV1_F_3	Bacillus vallismortis DV1-F-3	NA
Bacteroides_caccae_ATCC_43185	Bacteroides caccae ATCC 43185	5
Bacteroides_cellulosilyticus_DSM_14838	Bacteroides cellulosilyticus DSM 14838	1
Bacteroides_clarus_YIT_12056	Bacteroides clarus YIT 12056	1
Bacteroides_coprocola_M16_DSM_17136	Bacteroides coprocola M16, DSM 17136	1
Bacteroides_coprophilus_DSM_18228	Bacteroides coprophilus DSM 18228	1
Bacteroides_dorei_DSM_17855	Bacteroides dorei DSM 17855	1
Bacteroides_eggerthii_1_2_48FAA	Bacteroides eggerthii 1_2_48FAA	2
Bacteroides_eggerthii_DSM_20697	Bacteroides eggerthii DSM 20697	1
Bacteroides_faecis_MAJ27	Bacteroides faecis MAJ27	2
Bacteroides_finegoldii_DSM_17565	Bacteroides finegoldii DSM 17565	1
Bacteroides_fluxus_YIT_12057	Bacteroides fluxus YIT 12057	1
Bacteroides_fragilis_3_1_12	Bacteroides fragilis 3_1_12	1
Bacteroides_fragilis_638R	Bacteroides fragilis 638R	6
Bacteroides_fragilis_NCTC_9343	Bacteroides fragilis NCTC 9343	6
Bacteroides_fragilis_YCH46	Bacteroides fragilis YCH46	6
Bacteroides_graminisolvens_DSM_19988	Bacteroides graminisolvens DSM 19988	1
Bacteroides_intestinalis_341_DSM_17393	Bacteroides intestinalis 341, DSM 17393	4
Bacteroides_massiliensis_B846dnLKV334	Bacteroides massiliensis B846dnLKV334 = Timone 84634 = DSM 17679 = JCM 13223	NA
Bacteroides_nordii_CL02T12C05	Bacteroides nordii CL02T12C05	5
Bacteroides_oleiciplenus_YIT_12058	Bacteroides oleiciplenus YIT 12058	3
Bacteroides_ovatus_ATCC_8483	Bacteroides ovatus ATCC 8483	4
Bacteroides_ovatus_SD_CC_2a	Bacteroides ovatus SD CC 2a	1
Bacteroides_ovatus_SD_CMC_3f	Bacteroides ovatus SD CMC 3f	3
Bacteroides_pectinophilus_ATCC_43243	Bacteroides pectinophilus ATCC 43243	2
Bacteroides_plebeius_M12_DSM_17135	Bacteroides plebeius M12, DSM 17135	1
Bacteroides_pyogenes_DSM20611	Bacteroides pyogenes DSM20611	1
Bacteroides_salyersiae_WAL_10018	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	4
Bacteroides_sp_1_1_14	Bacteroides sp. 1_1_14	NA
Bacteroides_sp_1_1_30	Bacteroides sp. 1_1_30	5
Bacteroides_sp_1_1_6	Bacteroides sp. 1_1_6	1
Bacteroides_sp_20_3	Bacteroides sp. 20_3	7
Bacteroides_sp_2_1_22	Bacteroides sp. 2_1_22	1
Bacteroides_sp_2_1_33B	Bacteroides sp. 2_1_33B	2
Bacteroides_sp_2_1_7	Bacteroides sp. 2_1_7	3
