ModelAGORA	Organism	CopyNum
Enterobacter_cloacae_EcWSU1	Enterobacter cloacae EcWSU1	8
Enterobacter_hormaechei_YT2	Enterobacter hormaechei YT2	8
Enterobacter_hormaechei_YT3	Enterobacter hormaechei YT3	8
Enterobacteriaceae_bacterium_9_2_54FAA	Enterobacteriaceae bacterium 9_2_54FAA	5
Enterococcus_asini_ATCC_700915	Enterococcus asini ATCC 700915	1
Enterococcus_avium_ATCC_14025	Enterococcus avium ATCC 14025	8
Enterococcus_caccae_ATCC_BAA_1240	Enterococcus caccae ATCC BAA-1240	2
Enterococcus_casseliflavus_ATCC_12755	Enterococcus casseliflavus ATCC 12755	1
Enterococcus_cecorum_DSM_20682	Enterococcus cecorum DSM 20682 = ATCC 43198	4
Enterococcus_dispar_ATCC_51266	Enterococcus dispar ATCC 51266	5
Enterococcus_durans_ATCC_6056	Enterococcus durans ATCC 6056	6
Enterococcus_faecalis_OG1RF_ATCC_47077	Enterococcus faecalis OG1RF, ATCC 47077	4
Enterococcus_faecalis_TX0104	Enterococcus faecalis TX0104	1
Enterococcus_faecalis_TX1322	Enterococcus faecalis TX1322	1
Enterococcus_faecalis_TX2134	Enterococcus faecalis TX2134	1
Enterococcus_faecalis_V583	Enterococcus faecalis V583	4
Enterococcus_faecium_TX1330	Enterococcus faecium TX1330	1
Enterococcus_gallinarum_EG2	Enterococcus gallinarum EG2	1
Enterococcus_hirae_ATCC_9790	Enterococcus hirae ATCC 9790	6
Enterococcus_phoeniculicola_ATCC_BAA_412	Enterococcus phoeniculicola ATCC BAA-412	4
Enterococcus_saccharolyticus_DSM8903	Enterococcus saccharolyticus DSM8903	3
Enterococcus_sp_7L76	Enterococcus sp. 7L76	1
Erysipelotrichaceae_bacterium_5_2_54FAA	Erysipelotrichaceae bacterium 5_2_54FAA	3
Erysipelotrichaceae_bacterium_sp_3_1_53	Erysipelotrichaceae bacterium sp. 3_1_53	1
Escherichia_albertii_KF1	Escherichia albertii KF1	7
Escherichia_albertii_TW07627	Escherichia albertii TW07627	2
Escherichia_coli_O157_H7_str_Sakai	Escherichia coli O157:H7 str. Sakai	7
Escherichia_coli_SE11	Escherichia coli SE11	7
Escherichia_coli_UTI89_UPEC	Escherichia coli UTI89 (UPEC)	7
Escherichia_coli_str_K_12_substr_MG1655	Escherichia coli str. K-12 substr. MG1655	7
Escherichia_fergusonii_ATCC_35469	Escherichia fergusonii ATCC 35469	7
Escherichia_hermannii_NBRC_105704	Escherichia hermannii NBRC 105704	2
Escherichia_sp_1_1_43	Escherichia sp. 1_1_43	1
Escherichia_sp_3_2_53FAA	Escherichia sp. 3_2_53FAA	1
Escherichia_sp_4_1_40B	Escherichia sp. 4_1_40B	2
Eubacterium_biforme_DSM_3989	Eubacterium biforme DSM 3989	1
Eubacterium_brachy_ATCC_33089	Eubacterium brachy ATCC 33089	1
Eubacterium_cellulosolvens_6	Eubacterium cellulosolvens 6	7
Eubacterium_cylindroides_T2_87	Eubacterium cylindroides T2-87	1
Eubacterium_desmolans_ATCC_43058	Eubacterium desmolans ATCC 43058	1
Eubacterium_dolichum_DSM_3991	Eubacterium dolichum DSM 3991	2
Eubacterium_eligens_ATCC_27750	Eubacterium eligens ATCC 27750	5
Eubacterium_hallii_DSM_3353	Eubacterium hallii DSM 3353	1
Eubacterium_hallii_L2_7	Eubacterium hallii L2-7	8
Eubacterium_limosum_KIST612	Eubacterium limosum KIST612	5
Eubacterium_ramulus_ATCC_29099	Eubacterium ramulus ATCC 29099	1
Eubacterium_rectale_ATCC_33656	Eubacterium rectale ATCC 33656	5
Eubacterium_rectale_M104_1	Eubacterium rectale M104/1	1
Eubacterium_saphenum_ATCC_49989	Eubacterium saphenum ATCC 49989	2
Eubacterium_siraeum_70_3	Eubacterium siraeum 70/3	0
Eubacterium_siraeum_DSM_15702	Eubacterium siraeum DSM 15702	4
Eubacterium_sulci_ATCC_35585	Eubacterium sulci ATCC 35585	1
Eubacterium_ventriosum_ATCC_27560	Eubacterium ventriosum ATCC 27560	3
Exiguobacterium_aurantiacum_DSM_6208	Exiguobacterium aurantiacum DSM 6208	9
Faecalibacterium_cf_prausnitzii_KLE1255	Faecalibacterium cf. prausnitzii KLE1255	1
Faecalibacterium_prausnitzii_A2_165	Faecalibacterium prausnitzii A2-165	1
Faecalibacterium_prausnitzii_L2_6	Faecalibacterium prausnitzii L2-6	0
Faecalibacterium_prausnitzii_M21_2	Faecalibacterium prausnitzii M21/2	6
Faecalibacterium_prausnitzii_SL3_3	Faecalibacterium prausnitzii SL3/3	1
Filifactor_alocis_ATCC_35896	Filifactor alocis ATCC 35896	4
Finegoldia_magna_ATCC_29328	Finegoldia magna ATCC 29328	4
Flavonifractor_plautii_ATCC_29863	Flavonifractor plautii ATCC 29863	1
Fusobacterium_gonidiaformans_3_1_5R	Fusobacterium gonidiaformans 3-1-5R	2
Fusobacterium_gonidiaformans_ATCC_25563	Fusobacterium gonidiaformans ATCC 25563	5
Fusobacterium_mortiferum_ATCC_9817	Fusobacterium mortiferum ATCC 9817	4
Fusobacterium_necrophorum_D12	Fusobacterium necrophorum D12	0
Fusobacterium_nucleatum_subsp_animalis_3_1_33	Fusobacterium nucleatum subsp. animalis 3_1_33	5
Fusobacterium_nucleatum_subsp_animalis_7_1	Fusobacterium nucleatum subsp. animalis 7_1	5
Fusobacterium_nucleatum_subsp_animalis_D11	Fusobacterium nucleatum subsp. animalis D11	4
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	5
Fusobacterium_nucleatum_subsp_vincentii_3_1_27	Fusobacterium nucleatum subsp. vincentii 3_1_27	5
Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2	Fusobacterium nucleatum subsp. vincentii 3_1_36A2	5
Fusobacterium_nucleatum_subsp_vincentii_4_1_13	Fusobacterium nucleatum subsp. vincentii 4_1_13	6
Fusobacterium_periodonticum_1_1_41FAA	Fusobacterium periodonticum 1_1_41FAA	5
Fusobacterium_periodonticum_2_1_31	Fusobacterium periodonticum 2_1_31	4
Fusobacterium_russii_ATCC_25533	Fusobacterium russii ATCC 25533	6
Fusobacterium_sp_4_8	Fusobacterium sp. 4_8	5
Fusobacterium_ulcerans_ATCC_49185	Fusobacterium ulcerans ATCC 49185	4
Fusobacterium_varium_ATCC_27725	Fusobacterium varium ATCC 27725	4
Gemella_haemolysans_ATCC_10379	Gemella haemolysans ATCC 10379	6
Gemella_morbillorum_M424	Gemella moribillum M424	5
Gemella_sanguinis_ATCC700632	Gemella sanguinis ATCC700632	3
Gemella_sanguinis_M325	Gemella sanguinis M325	4
Geobacillus_stearothermophilus_ATCC_7953	Geobacillus stearothermophilus ATCC 7953	4
Geobacillus_vulcani_PSS1	Geobacillus vulcani PSS1	9
Gordonia_rubripertincta_NBRC_101908	Gordonia rubripertincta NBRC 101908	1
Gordonia_terrae_C_6	Gordonia terrae C-6	2
Gordonia_terrae_NBRC_100016	Gordonia terrae NBRC 100016	2
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378	Gordonibacter pamelaeae 7-10-1-bT, DSM 19378	1
Granulicatella_adiacens_ATCC_49175	Granulicatella adiacens ATCC 49175	1
Granulicatella_elegans_ATCC_700633	Granulicatella elegans ATCC 700633	1
Grimontia_hollisae_CIP_101886	Grimontia hollisae CIP 101886	8
Haemophilus_haemolyticus_M19501	Haemophilus haemolyticus M19501	8
Haemophilus_influenzae_R2846	Haemophilus influenzae R2846	6
Haemophilus_parainfluenzae_T3T1	Haemophilus parainfluenzae T3T1	6
Haemophilus_sputorum_CCUG_13788	Haemophilus sputorum CCUG 13788	1
Hafnia_alvei_ATCC_51873	Hafnia alvei ATCC 51873	1
Hafnia_alvei_BIDMC_31	Hafnia alvei BIDMC 31	8
Halococcus_morrhuae_DSM1307	Halococcus morrhuae DSM1307	1
Helicobacter_bilis_ATCC_43879	Helicobacter bilis ATCC 43879	1
Helicobacter_canadensis_MIT_98_5491	Helicobacter canadensis MIT 98-5491	1
Helicobacter_cinaedi_CCUG_18818	Helicobacter cinaedi CCUG 18818	1
Helicobacter_pullorum_MIT_98_5489	Helicobacter pullorum MIT 98-5489	1
Helicobacter_pylori_26695	Helicobacter pylori 26695	2
Helicobacter_winghamensis_ATCC_BAA_430	Helicobacter winghamensis ATCC BAA-430	1
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042	Holdemania filiformis VPI J1-31B-1, DSM 12042	1
Kallipyga_massiliensis_ph2	Kallipyga massiliensis ph2	2
Kandleria_vitulina_DSM_20405	Kandleria vitulina DSM 20405	6
Kingella_oralis_ATCC_51147	Kingella oralis ATCC 51147	1
Klebsiella_oxytoca_KCTC_1686	Klebsiella oxytoca KCTC 1686	8
Klebsiella_pneumoniae_pneumoniae_MGH78578	Klebsiella pneumoniae pneumoniae MGH78578	8
Klebsiella_sp_1_1_55	Klebsiella sp. 1_1_55	0
Kluyvera_ascorbata_ATCC_33433	Kluyvera ascorbata  ATCC 33433	1
Kocuria_palustris_PEL	Kocuria palustris PEL	1
Kocuria_rhizophila_DC2201	Kocuria rhizophila DC2201	3
Kurthia_massiliensis_JC30	Kurthia massiliensis  JC30	1
Kytococcus_sedentarius_DSM_20547	Kytococcus sedentarius DSM 20547	2
Lachnospira_multipara_ATCC_19207	Lachnospira multipara ATCC 19207	6
Lachnospiraceae_bacterium_sp_5_1_63FAA	Lachnospiraceae bacterium sp. 5_1_63FAA	8
Lachnospiraceae_bacterium_sp_8_1_57FAA	Lachnospiraceae bacterium sp. 8_1_57FAA	4
Lactobacillus_acidophilus_ATCC_4796	Lactobacillus acidophilus ATCC 4796	2
Lactobacillus_acidophilus_NCFM	Lactobacillus acidophilus NCFM	4
Lactobacillus_amylolyticus_DSM_11664	Lactobacillus amylolyticus DSM 11664	1
Lactobacillus_amylovorus_GRL_1112	Lactobacillus amylovorus GRL 1112	4
Lactobacillus_animalis_KCTC_3501	Lactobacillus animalis KCTC 3501	1
Lactobacillus_antri_DSM_16041	Lactobacillus antri DSM 16041	1
Lactobacillus_brevis_ATCC_367	Lactobacillus brevis ATCC 367	5
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305	Lactobacillus brevis subsp. gravesensis ATCC 27305	1
Lactobacillus_buchneri_ATCC_11577	Lactobacillus buchneri ATCC 11577	1
Lactobacillus_casei_ATCC_334	Lactobacillus casei ATCC 334	5
Lactobacillus_casei_casei_BL23	Lactobacillus casei casei BL23	5
Lactobacillus_coleohominis_101_4_CHN	Lactobacillus coleohominis 101-4-CHN	1
Lactobacillus_coryniformis_subsp_coryniformis_CECT_5711	Lactobacillus coryniformis subsp. coryniformis CECT 5711	1
Lactobacillus_crispatus_125_2_CHN	Lactobacillus crispatus 125-2-CHN	1
Lactobacillus_curvatus_CRL_705	Lactobacillus curvatus CRL 705	1
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	9
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	9
Lactobacillus_fermentum_ATCC_14931	Lactobacillus fermentum ATCC 14931	2
Lactobacillus_fermentum_IFO_3956	Lactobacillus fermentum IFO 3956	5
Lactobacillus_gasseri_ATCC_33323	Lactobacillus gasseri ATCC 33323	6
Lactobacillus_gastricus_PS3	Lactobacillus gastricus PS3	1
Lactobacillus_helveticus_DPC_4571	Lactobacillus helveticus DPC 4571	4
Lactobacillus_helveticus_DSM_20075	Lactobacillus helveticus DSM 20075	1
Lactobacillus_hilgardii_ATCC_8290	Lactobacillus hilgardii ATCC 8290	1
Lactobacillus_iners_DSM_13335	Lactobacillus iners DSM 13335	1
Lactobacillus_jensenii_1153	Lactobacillus jensenii 1153	2
Lactobacillus_johnsonii_DPC_6026	Lactobacillus johnsonii DPC 6026	4
Lactobacillus_johnsonii_NCC_533	Lactobacillus johnsonii NCC 533	6
Lactobacillus_mucosae_LM1	Lactobacillus mucosae LM1	8
Lactobacillus_oris_F0423	Lactobacillus oris F0423	7
Lactobacillus_paracasei_subsp_paracasei_8700_2	Lactobacillus paracasei subsp. paracasei 8700:2	5
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302	Lactobacillus paracasei subsp. paracasei ATCC 25302	1
Lactobacillus_pentosus_KCA1	Lactobacillus pentosus KCA1	5
Lactobacillus_plantarum_JDM1	Lactobacillus plantarum JDM1	5
Lactobacillus_plantarum_WCFS1	Lactobacillus plantarum WCFS1	5
Lactobacillus_plantarum_subsp_plantarum_ATCC_14917	Lactobacillus plantarum subsp. plantarum ATCC 14917	1
Lactobacillus_reuteri_CF48_3A_	Lactobacillus reuteri CF48-3A	2
Lactobacillus_reuteri_F275_JCM_1112	Lactobacillus reuteri F275, JCM 1112	6
Lactobacillus_reuteri_MM2_3_	Lactobacillus reuteri MM2-3	1
Lactobacillus_reuteri_MM4_1A_	Lactobacillus reuteri MM4-1A	6
Lactobacillus_reuteri_SD2112_ATCC_55730	Lactobacillus reuteri SD2112, ATCC 55730	6
Lactobacillus_rhamnosus_GG_ATCC_53103	Lactobacillus rhamnosus GG, ATCC 53103	5
Lactobacillus_rhamnosus_LMS2_1	Lactobacillus rhamnosus LMS2-1	1
Lactobacillus_ruminis_ATCC_25644	Lactobacillus ruminis ATCC 25644	1
Lactobacillus_sakei_subsp_sakei_23K	Lactobacillus sakei subsp. sakei 23K	7
Lactobacillus_salivarius_HO66_ATCC_11741	Lactobacillus salivarius HO66, ATCC 11741	7
Lactobacillus_salivarius_salivarius_UCC118	Lactobacillus salivarius salivarius UCC118	7
Lactobacillus_ultunensis_DSM_16047	Lactobacillus ultunensis DSM 16047	1
Lactobacillus_vaginalis_ATCC_49540	Lactobacillus vaginalis ATCC 49540	4
Lactococcus_garvieae_ATCC_49156	Lactococcus garvieae ATCC 49156	5
Lactococcus_lactis_subsp_lactis_Il1403	Lactococcus lactis subsp. lactis Il1403	6
Lactococcus_raffinolactis_4877	Lactococcus raffinolactis 4877	3
Laribacter_hongkongensis_HLHK9	Laribacter hongkongensis HLHK9	7
Lautropia_mirabilis_ATCC_51599	Lautropia mirabilis ATCC 51599	1
Leminorella_grimontii_ATCC_33999	Leminorella grimontii ATCC 33999 = DSM 5078	5
Leptotrichia_buccalis_C_1013_b	Leptotrichia buccalis C-1013-b	5
Leuconostoc_argentinum_KCTC_3773	Leuconostoc argentinum KCTC 3773	1
Leuconostoc_gelidum_JB7	Leuconostoc gelidum JB7	4
Leuconostoc_lactis_KACC_91922	Leuconostoc lactis KACC 91922	NA
Leuconostoc_mesenteroides_subsp_cremoris_ATCC_19254	Leuconostoc mesenteroides subsp. cremoris ATCC 19254	1
Listeria_grayi_DSM_20601	Listeria grayi DSM 20601	3
Listeria_monocytogenes_4a_L99	Listeria monocytogenes 4a L99	0
Listeria_monocytogenes_4b_F2365	Listeria monocytogenes 4b F2365	6
Listeria_monocytogenes_FSL_R2_561	Listeria monocytogenes FSL R2-561	6
Listeria_monocytogenes_Finland_1988	Listeria monocytogenes Finland 1988	6
Listeria_monocytogenes_J0161_FSL_R2_499	Listeria monocytogenes J0161, FSL R2-499	5
Listeria_monocytogenes_SLCC_2378	Listeria monocytogenes SLCC 2378	6
Listeria_monocytogenes_SLCC_2540	Listeria monocytogenes SLCC 2540	6
Listeria_monocytogenes_SLCC_7179	Listeria monocytogenes SLCC 7179	6
Listeria_monocytogenes_serotype_7_SLCC_2482	Listeria monocytogenes serotype 7 SLCC 2482	6
Lysinibacillus_fusiformis_ZB2	Lysinibacillus fusiformis ZB2	1
Lysinibacillus_sphaericus_C3_41	Lysinibacillus sphaericus C3-41	10
Marvinbryantia_formatexigens_I_52_DSM_14469	Marvinbryantia formatexigens I-52, DSM 14469	3
Megamonas_funiformis_YIT_11815	Megamonas funiformis YIT 11815	2
Megamonas_hypermegale_ART12_1	Megamonas hypermegale ART12/1	0
Megasphaera_elsdenii_DSM_20460	Megasphaera elsdenii DSM 20460	7
Melainabacterium_MEL_A1	Melainabacterium MEL.A1	2
Mesorhizobium_loti_MAFF303099	Mesorhizobium loti MAFF303099	2
Methanobrevibacter_ruminantium_M1	Methanobrevibacter ruminantium M1	2
Methanobrevibacter_smithii_ATCC_35061	Methanobrevibacter smithii ATCC 35061	2
Methanomassiliicoccus_luminyensis_B10	Methanomassiliicoccus luminyensis B10	1
Methanosphaera_stadtmanae_DSM_3091	Methanosphaera stadtmanae DSM 3091	4
Methylobacterium_mesophilicum_SR1_6_6	Methylobacterium mesophilicum SR1.6/6	3
Methylobacterium_populi_BJ001	Methylobacterium populi BJ001	5
Methylobacterium_radiotolerans_JCM_2831	Methylobacterium radiotolerans JCM 2831	6
Methyloversatilis_universalis_FAM5	Methyloversatilis universalis FAM5	4
Methyloversatilis_universalis_Fam50001	Methyloversatilis universalis Fam50001	3
Microbacterium_gubbeenense_DSM_15944	Microbacterium gubbeenense  DSM 15944	3
Microbacterium_oleivorans_NBRC_103075	Microbacterium oleivorans NBRC 103075	1
Microbacterium_paraoxydans_77MFTsu3_2	Microbacterium paraoxydans 77MFTsu3.2	3
Micrococcus_luteus_NCTC_2665	Micrococcus luteus NCTC 2665	2
Micromonospora_aurantiaca_ATCC_27029	Micromonospora aurantiaca ATCC 27029	3
Mitsuokella_jalaludinii_DSM_13811	Mitsuokella jalaludinii DSM 13811	4
Mitsuokella_multacida_DSM_20544	Mitsuokella multacida DSM 20544	4
Mobiluncus_curtisii_ATCC_43063	Mobiluncus curtisii ATCC 43063	2
Mogibacterium_timidum_ATCC_33093	Mogibacterium timidum ATCC 33093	1
Moraxella_catarrhalis_RH4	Moraxella catarrhalis RH4	1
Morganella_morganii_subsp_morganii_KT	Morganella morganii subsp. morganii KT	7
Mycobacterium_avium_subsp_avium_ATCC_25291	Mycobacterium avium subsp. avium ATCC 25291	1
Mycobacterium_fortuitum_subsp_fortuitum_DSM_46621	Mycobacterium fortuitum subsp. fortuitum DSM 46621	1
Mycoplasma_hominis_ATCC_23114	Mycoplasma hominis ATCC 23114	2
Mycoplasma_pneumoniae_309	Mycoplasma pneumoniae 309	1
Neisseria_cinerea_ATCC_14685	Neisseria cinerea ATCC 14685	3
Neisseria_elongata_subsp_glycolytica_ATCC_29315	Neisseria elongata subsp. glycolytica ATCC 29315	5
Neisseria_flavescens_SK114	Neisseria flavescens SK114	5
Neisseria_macacae_ATCC_33926	Neisseria macacae ATCC 33926	1
Neisseria_mucosa_ATCC_25996	Neisseria mucosa ATCC 25996	4
Neisseria_subflava_NJ9703	Neisseria subflava NJ9703	4
Nevskia_ramosa_DSM_11499	Nevskia ramosa DSM 11499	4
Oceanobacillus_picturae_strain_S1	Oceanobacillus picturae strain S1	6
Ochrobactrum_anthropi_ATCC_49188	Ochrobactrum anthropi ATCC 49188	4
Ochrobactrum_intermedium_LMG_3301	Ochrobactrum intermedium LMG 3301	3
Odoribacter_laneus_YIT_12061	Odoribacter laneus YIT 12061	4
Odoribacter_splanchnicus_1651_6_DSM_20712	Odoribacter splanchnicus 1651/6, DSM 20712	2
Olsenella_profusa_F019501	Olsenella profusa F019501	1
Olsenella_uli_DSM_7084	Olsenella uli DSM 7084	1
Oribacterium_sinus_F0268	Oribacterium sinus F0268	2
Oxalobacter_formigenes_HOxBLS	Oxalobacter formigenes HOxBLS	1
Oxalobacter_formigenes_OXCC13	Oxalobacter formigenes OXCC13	1
Paenibacillus_alvei_DSM_29	Paenibacillus alvei DSM 29	9
Paenibacillus_barengoltzii_G22	Paenibacillus barengoltzii G22	7
Paenibacillus_daejeonensis_DSM_15491	Paenibacillus daejeonensis DSM 15491	6
Paenibacillus_graminis_C4D1M	Paenibacillus graminis C4D1M	0
Paenibacillus_lactis_154	Paenibacillus lactis 154	13
Pantoea_agglomerans_IG1	Pantoea agglomerans IG1	0
Parabacteroides_distasonis_ATCC_8503	Parabacteroides distasonis ATCC 8503	7
Parabacteroides_goldsteinii_dnLKV18	Parabacteroides goldsteinii dnLKV18	8
Parabacteroides_gordonii_DSM_23371	Parabacteroides gordonii DSM 23371	3
Parabacteroides_johnsonii_DSM_18315	Parabacteroides johnsonii DSM 18315	1
Parabacteroides_merdae_ATCC_43184	Parabacteroides merdae ATCC 43184	4
Parabacteroides_sp_D13	Parabacteroides sp. D13	1
Paracoccus_yeei_ATCC_BAA_599	Paracoccus yeei ATCC BAA-599	2
Paraprevotella_clara_YIT_11840	Paraprevotella clara YIT 11840	3
Paraprevotella_xylaniphila_YIT_11841	Paraprevotella xylaniphila YIT 11841	1
Parasutterella_excrementihominis_YIT_11859	Parasutterella excrementihominis YIT 11859	1
Parvimonas_micra_ATCC_33270	Parvimonas micra ATCC 33270	1
Pediococcus_acidilactici_7_4	Pediococcus acidilactici 7_4	1
Pediococcus_acidilactici_DSM_20284	Pediococcus acidilactici DSM 20284	1
Pediococcus_pentosaceus_ATCC_25745	Pediococcus pentosaceus ATCC 25745	5
Peptoniphilus_harei_ACS_146_V_Sch2b	Peptoniphilus harei ACS-146-V-Sch2b	2
Peptoniphilus_indolicus_ATCC_29427	Peptoniphilus indolicus ATCC 29427	1
Peptoniphilus_lacrimalis_DSM_7455	Peptoniphilus lacrimalis DSM 7455	5
Peptoniphilus_timonensis_JC401	Peptoniphilus timonensis JC401	1
Peptostreptococcus_anaerobius_DSM_2949	Peptostreptococcus anaerobius DSM 2949	2
Peptostreptococcus_stomatis_DSM_17678	Peptostreptococcus stomatis DSM 17678	1
Phascolarctobacterium_succinatutens_YIT_12067	Phascolarctobacterium succinatutens YIT 12067	1
Plesiomonas_shigelloides_302_73	Plesiomonas shigelloides 302-73	2
Porphyromonas_asaccharolytica_DSM_20707	Porphyromonas asaccharolytica DSM 20707	2
Porphyromonas_endodontalis_ATCC_35406	Porphyromonas endodontalis ATCC 35406	1
Porphyromonas_gingivalis_W83	Porphyromonas gingivalis W83	4
Porphyromonas_somerae_DSM_23386	Porphyromonas somerae DSM 23386	0
Porphyromonas_uenonis_60_3	Porphyromonas uenonis 60-3	1
Porphyromonas_uenonis_DSM_23387	Porphyromonas uenonis DSM 23387	1
Prevotella_albensis_DSM_11370	Prevotella albensis DSM 11370	0
Prevotella_bivia_DSM_20514	Prevotella bivia DSM 20514	4
Prevotella_brevis_ATCC_19188	Prevotella brevis ATCC 19188	1
Prevotella_bryantii_B14	Prevotella bryantii B14	12
Prevotella_bryantii_C21a	Prevotella bryantii  C21a	12
Prevotella_buccae_ATCC_33574	Prevotella buccae ATCC 33574	1
Prevotella_conceptionensis_9403948	Prevotella conceptionensis  9403948	1
Prevotella_copri_CB7_DSM_18205	Prevotella copri CB7, DSM 18205	7
Prevotella_corporis_DSM_18810	Prevotella corporis DSM 18810	0
Prevotella_denticola_DSM20614	Prevotella denticola DSM20614	0
Prevotella_denticola_F0289	Prevotella denticola F0289	4
Prevotella_disiens_FB035_09AN	Prevotella disiens FB035-09AN	5
Prevotella_disiens_JCM_6334	Prevotella disiens JCM 6334 = ATCC 29426	1
Prevotella_enoeca_JCM_12259	Prevotella enoeca  JCM 12259	1
Prevotella_intermedia_17	Prevotella intermedia 17	4
Prevotella_intermedia_ATCC_25611	Prevotella intermedia ATCC 25611 = DSM 20706	1
Prevotella_loescheii_DSM_19665	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	4
Prevotella_melaninogenica_ATCC_25845	Prevotella melaninogenica ATCC 25845	4
Prevotella_nanceiensis_DSM_19126	Prevotella nanceiensis DSM 19126	0
Prevotella_nigrescens_ATCC_33563	Prevotella nigrescens ATCC 33563	1
Prevotella_oralis_ATCC_33269	Prevotella oralis ATCC 33269	3
Prevotella_pallens_ATCC_700821	Prevotella pallens ATCC 700821	1
Prevotella_ruminicola_23	Prevotella ruminicola 23	4
Prevotella_salivae_DSM_15606	Prevotella salivae DSM 15606	1
Prevotella_shahii_JCM_12083	Prevotella shahii JCM 12083	1
Prevotella_stercorea_DSM_18206	Prevotella stercorea DSM 18206	1
Prevotella_timonensis_4401737	Prevotella timonensis 4401737 = DSM 22865 = JCM 15640	0
Prevotella_timonensis_CRIS_5C_B1	Prevotella timonensis CRIS 5C-B1	1
Prevotella_veroralis_DSM_19559	Prevotella veroralis DSM 19559	2
Propionibacterium_acidipropionici_ATCC_4875	Propionibacterium acidipropionici ATCC 4875	4
Propionibacterium_acnes_KPA171202	Propionibacterium acnes KPA171202	3
Propionibacterium_avidum_44067	Propionibacterium avidum 44067	3
Propionibacterium_freudenreichii_subsp_shermanii_CIRM_BIA1	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1	2
Propionibacterium_granulosum_DSM_20700	Propionibacterium granulosum DSM 20700	1
Propionibacterium_jensenii_DSM_20535	Propionibacterium jensenii DSM 20535	2
Propionibacterium_propionicum_F0230a	Propionibacterium propionicum F0230a	2
Proteus_mirabilis_ATCC_29906	Proteus mirabilis ATCC 29906	1
Proteus_mirabilis_ATCC_35198	Proteus mirabilis ATCC 35198	2
Proteus_penneri_ATCC_35198	Proteus penneri ATCC 35198	0
Providencia_alcalifaciens_DSM_30120	Providencia alcalifaciens DSM 30120	1
Providencia_rettgeri_DSM_1131	Providencia rettgeri DSM 1131	3
Providencia_rustigianii_DSM_4541	Providencia rustigianii DSM 4541	4
Providencia_stuartii_ATCC_25827	Providencia stuartii ATCC 25827	7
Pseudobutyrivibrio_ruminis_AD2017	Pseudobutyrivibrio ruminis AD2017	6
Pseudoflavonifractor_capillosus_strain_ATCC_29799	Pseudoflavonifractor capillosus strain ATCC 29799	3
Pseudomonas_aeruginosa_NCGM2_S1	Pseudomonas aeruginosa NCGM2.S1	4
Pseudomonas_alcaliphila_34	Pseudomonas alcaliphila 34	NA
Pseudomonas_fluorescens_PfO_1	Pseudomonas fluorescens PfO-1	6
Pseudomonas_monteilii_NBRC_103158	Pseudomonas monteilii NBRC 103158 = DSM 14164	1
Pseudomonas_monteilii_QM	Pseudomonas monteilii QM	0
Pseudomonas_nitroreducens_HBP1	Pseudomonas nitroreducens HBP1	1
Pseudomonas_oleovorans_MOIL14HWK12	Pseudomonas oleovorans MOIL14HWK12	2
Pseudomonas_putida_F1	Pseudomonas putida F1	6
Pseudomonas_stutzeri_DSM_4166	Pseudomonas stutzeri DSM 4166	4
Pseudoramibacter_alactolyticus_ATCC_23263	Pseudoramibacter alactolyticus ATCC 23263	2
Pyramidobacter_piscolens_W5455	Pyramidobacter piscolens W5455	3
Ralstonia_sp_5_7_47FAA	Ralstonia sp. 5_7_47FAA	1
Raoultella_planticola_ATCC_33531	Raoultella planticola ATCC 33531	1
Rhodococcus_equi_ATCC_33707	Rhodococcus equi ATCC 33707	1
Rhodococcus_equi_NBRC_101255	Rhodococcus equi  NBRC 101255 = C 701	5
Rhodococcus_erythropolis_PR4	Rhodococcus erythropolis PR4	5
Rhodococcus_rhodochrous_ATCC_21198	Rhodococcus rhodochrous ATCC 21198	1
Roseburia_hominis_A2_183	Roseburia hominis A2-183	4
Roseburia_intestinalis_L1_82	Roseburia intestinalis L1-82	2
Roseburia_inulinivorans_DSM_16841	Roseburia inulinivorans DSM 16841	4
Roseomonas_mucosa_ATCC_BAA_692	Roseomonas mucosa ATCC BAA-692	1
Rothia_aeria_F0474	Rothia aeria F0474	1
Rothia_dentocariosa_ATCC_17931	Rothia dentocariosa ATCC 17931	3
Rothia_mucilaginosa_DY_18	Rothia mucilaginosa DY-18	3
Rudanella_lutea_DSM_19387	Rudanella lutea DSM 19387	3
Ruminococcaceae_bacterium_D16	Ruminococcaceae bacterium D16	2
Ruminococcus_albus_7	Ruminococcus albus 7 = DSM 20455	4
Ruminococcus_bicirculans_80_3	Ruminococcus bicirculans 80/3	4
Ruminococcus_bromii_L2_63	Ruminococcus bromii L2-63	3
